Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
>,10708180,gastric residual volumes,"Ten adult, critically ill, mechanically ventilated patients not tolerating a fiber-containing EN product defined as a single aspirated gastric residual volume >150 mL or two aspirated gastric residual volumes >120 mL during a 12-hr period.","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),,120,15818,DB00604,Cisapride
,10708180,mean residence time of absorption,"Metoclopramide and cisapride had a significantly shorter mean residence time of absorption than erythromycin (6.3+/-4.5 [SEM] mins and 10.9+/-5.8 vs. 30.1+/-4.5 mins, respectively [p<.05]).","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,6.3,15819,DB00604,Cisapride
,10708180,mean residence time of absorption,"Metoclopramide and cisapride had a significantly shorter mean residence time of absorption than erythromycin (6.3+/-4.5 [SEM] mins and 10.9+/-5.8 vs. 30.1+/-4.5 mins, respectively [p<.05]).","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,10.9,15820,DB00604,Cisapride
,10708180,mean residence time of absorption,"Metoclopramide and cisapride had a significantly shorter mean residence time of absorption than erythromycin (6.3+/-4.5 [SEM] mins and 10.9+/-5.8 vs. 30.1+/-4.5 mins, respectively [p<.05]).","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,30.1,15821,DB00604,Cisapride
,10708180,time to peak concentration,"Metoclopramide (9.7+/-15.3 mins) had a significantly shorter time to peak concentration compared with erythromycin and placebo (60.7+/-8.1 and 50.9+/-13.5 mins, respectively [p<.05]).","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,9.7,15822,DB00604,Cisapride
,10708180,time to peak concentration,"Metoclopramide (9.7+/-15.3 mins) had a significantly shorter time to peak concentration compared with erythromycin and placebo (60.7+/-8.1 and 50.9+/-13.5 mins, respectively [p<.05]).","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,60.7,15823,DB00604,Cisapride
,10708180,time to peak concentration,"Metoclopramide (9.7+/-15.3 mins) had a significantly shorter time to peak concentration compared with erythromycin and placebo (60.7+/-8.1 and 50.9+/-13.5 mins, respectively [p<.05]).","Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,50.9,15824,DB00604,Cisapride
,10708180,time to onset of absorption,The time to onset of absorption was significantly shorter for metoclopramide vs. cisapride (5.7+/-4.5 vs. 22.9+/-5.7 mins [p<.05]).,"Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,5.7,15825,DB00604,Cisapride
,10708180,time to onset of absorption,The time to onset of absorption was significantly shorter for metoclopramide vs. cisapride (5.7+/-4.5 vs. 22.9+/-5.7 mins [p<.05]).,"Sequential single doses of cisapride, erythromycin, and metoclopramide in critically ill patients intolerant to enteral nutrition: a randomized, placebo-controlled, crossover study. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10708180/),min,22.9,15826,DB00604,Cisapride
,10579471,time of the peak concentration,The time of the peak concentration of cisapride was prolonged from 1.5 to 2.5 hours (P < .05) and the elimination half-life from 6.8 to 8.4 hours (P < .05) by grapefruit juice.,Repeated consumption of grapefruit juice considerably increases plasma concentrations of cisapride. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10579471/),h,1.5 to 2.5,16279,DB00604,Cisapride
