Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8930778,oral bioavailability,"Clemastine showed a first-pass reduction in the extent of absorption, with oral bioavailability calculated as 39.2 +/- 12.4%.",The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),%,39.2,35367,DB00283,Clemastine
,8930778,volume of distribution,"Extravascular distribution of drug was suggested by the high volume of distribution (799 +/- 315 L) and low Cmax (0.577 +/- 0.252 ng/mL/mg) observed at 4.77 +/- 2.26 hours after administration, and by the biphasic decline in plasma concentration.",The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),l,799,35368,DB00283,Clemastine
,8930778,Cmax,"Extravascular distribution of drug was suggested by the high volume of distribution (799 +/- 315 L) and low Cmax (0.577 +/- 0.252 ng/mL/mg) observed at 4.77 +/- 2.26 hours after administration, and by the biphasic decline in plasma concentration.",The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),[ng] / [mg·ml],0.577,35369,DB00283,Clemastine
,8930778,terminal elimination half-life (t1/2),The terminal elimination half-life (t1/2) of clemastine was 21.3 +/- 11.6 hours.,The pharmacokinetics and bioavailability of clemastine and phenylpropanolamine in single-component and combination formulations. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8930778/),h,21.3,35370,DB00283,Clemastine
,29385232,plasma half-life,"2B3-201 was shown to have a plasma half-life between 24 and 37 h and caused a prolonged decrease in the lymphocyte count, adrenocorticotropic hormone and osteocalcin, and a rise in fasting glucose.",Glutathione-PEGylated liposomal methylprednisolone in comparison to free methylprednisolone: slow release characteristics and prolonged lymphocyte depression in a first-in-human study. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29385232/),h,24 and 37,61204,DB00283,Clemastine
,15214951,clearance,Clemastine clearance was high (median: 2.1 L h(-1) kg(-1)) and the volume of distribution large (13.4 L kg(-1)).,Clinical pharmacology of clemastine in healthy dogs. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15214951/),[l] / [h·kg],2.1,68252,DB00283,Clemastine
,15214951,volume of distribution,Clemastine clearance was high (median: 2.1 L h(-1) kg(-1)) and the volume of distribution large (13.4 L kg(-1)).,Clinical pharmacology of clemastine in healthy dogs. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15214951/),[l] / [kg],13.4,68253,DB00283,Clemastine
,15214951,half-life,The half-life after intravenous administration was 3.8 h and the plasma protein binding level in vitro was 98%.,Clinical pharmacology of clemastine in healthy dogs. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15214951/),h,3.8,68254,DB00283,Clemastine
,15214951,plasma protein binding level,The half-life after intravenous administration was 3.8 h and the plasma protein binding level in vitro was 98%.,Clinical pharmacology of clemastine in healthy dogs. ,fm enzyme-Q5,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15214951/),%,98,68255,DB00283,Clemastine
,15214951,bioavailability,"After oral administration, the bioavailability was only 3%.",Clinical pharmacology of clemastine in healthy dogs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15214951/),%,3,68256,DB00283,Clemastine
,15664345,total run time,Chromatographic separation used a C18 reversed phase polymer column giving an extremely fast total run time of 2 min.,High-performance liquid chromatographic-tandem mass spectrometric method for the determination of clemastine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15664345/),min,2,130193,DB00283,Clemastine
,15664345,lower limit of detection,The lower limit of detection proved to be 0.01 ng/ml for clemastine.,High-performance liquid chromatographic-tandem mass spectrometric method for the determination of clemastine in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15664345/),[ng] / [ml],0.01,130194,DB00283,Clemastine
,239546,Total body clearance,Total body clearance of aminopyrine as obtained after an oral test dose increases more than twofold from 251 to 551 ml/min upon phenobarbital treatment.,Comparison of methods to study enzyme induction in man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/239546/),[ml] / [min],251,195875,DB00283,Clemastine
,239546,Total body clearance,Total body clearance of aminopyrine as obtained after an oral test dose increases more than twofold from 251 to 551 ml/min upon phenobarbital treatment.,Comparison of methods to study enzyme induction in man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/239546/),[ml] / [min],551,195876,DB00283,Clemastine
,12667185,half-life,"The most prominent feature of drug disposition after intravenous dose of 50 microg/kg bw was a very rapid initial decline in plasma concentration, followed by a terminal phase with a half-life of 5.4 h.",Pharmacokinetics and pharmacodynamics of clemastine in healthy horses. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12667185/),h,5.4,252870,DB00283,Clemastine
,12667185,Vss,"The volume of distribution was large, Vss = 3.8 L/kg, and the total body clearance 0.79 L/h kg.",Pharmacokinetics and pharmacodynamics of clemastine in healthy horses. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12667185/),[l] / [kg],3.8,252871,DB00283,Clemastine
,12667185,total body clearance,"The volume of distribution was large, Vss = 3.8 L/kg, and the total body clearance 0.79 L/h kg.",Pharmacokinetics and pharmacodynamics of clemastine in healthy horses. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12667185/),[l] / [h·kg],0.79,252872,DB00283,Clemastine
,12667185,oral bioavailability,"Notably, oral bioavailability was only 3.4%.",Pharmacokinetics and pharmacodynamics of clemastine in healthy horses. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12667185/),%,3.4,252873,DB00283,Clemastine
,12667185,effect duration,The effect maximum (measured as reduction in histamine-induced cutaneous wheal formation) was 65% (compared with controls where saline was injected) and the effect duration after i.v. dose was approximately 5 h.,Pharmacokinetics and pharmacodynamics of clemastine in healthy horses. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12667185/),h,5,252874,DB00283,Clemastine
