Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
>,27111637,clearance,"These BsAb molecules displayed inferior in vivo pharmacokinetic properties, including a rapid clearance (> 0.5 mL/hr/kg) and short half-life relative to their mAb counterparts.",Aberrant bispecific antibody pharmacokinetics linked to liver sinusoidal endothelium clearance mechanism in cynomolgus monkeys. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27111637/),[ml] / [h·kg],0.5,809,DB00720,Clodronate
,1839447,half-life,"The peak clodronate concentration in plasma was reached within 5 min., and the drug was eliminated with a half-life of about 1.5 hr regardless of administration route.","Pharmacokinetics of clodronate after single intravenous, intramuscular and subcutaneous injections in rats. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1839447/),h,1.5,25115,DB00720,Clodronate
,1839447,Bioavailabilities,"Bioavailabilities after intramuscular and subcutaneous administration were 105% and 89%, respectively.","Pharmacokinetics of clodronate after single intravenous, intramuscular and subcutaneous injections in rats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1839447/),%,105,25116,DB00720,Clodronate
,1839447,Bioavailabilities,"Bioavailabilities after intramuscular and subcutaneous administration were 105% and 89%, respectively.","Pharmacokinetics of clodronate after single intravenous, intramuscular and subcutaneous injections in rats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1839447/),%,89,25117,DB00720,Clodronate
,8808223,Blood flow,"Blood flow was 205 +/- 15 ml/min, dialysate flow 523 +/- 29 ml/min.",Removal of clodronate by haemodialysis in end-stage renal disease patients. ,Q-Q54,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8808223/),[ml] / [min],205,26317,DB00720,Clodronate
,8808223,dial,"Blood flow was 205 +/- 15 ml/min, dialysate flow 523 +/- 29 ml/min.",Removal of clodronate by haemodialysis in end-stage renal disease patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8808223/),[ml] / [min],523,26318,DB00720,Clodronate
,8808223,clearance,The clearance of clodronate (86 +/- 10 ml/min) remained unchanged during HD.,Removal of clodronate by haemodialysis in end-stage renal disease patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8808223/),[ml] / [min],86,26319,DB00720,Clodronate
,9974186,tissue-to-plasma ratio,"At 24 hr, the mean tissue-to-plasma ratio of tiludronate for aorta was 1.2-1.6.",Pharmacokinetics of bisphosphonates in rabbits. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9974186/),,1.2-1.6,30424,DB00720,Clodronate
,32003488,Maximum plasma concentration,"Maximum plasma concentration of clodronate 210 ± 68.2 ng/mL occurred at approximately 34.8 ± 0.2 minutes after administration, while peak synovial concentration (57.7 ± 32.8 ng/mL) occurred at 2.67 ± 2.32 hours after administration and peak urine concentration (88 358.2 ± 79 521.4 ng/mL) occurred at 2.67 ± 2.58 hours post administration.","Pharmacokinetics and pharmacodynamics of clodronate disodium evaluated in plasma, synovial fluid and urine. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32003488/),[ng] / [ml],210,43201,DB00720,Clodronate
,32003488,peak synovial concentration,"Maximum plasma concentration of clodronate 210 ± 68.2 ng/mL occurred at approximately 34.8 ± 0.2 minutes after administration, while peak synovial concentration (57.7 ± 32.8 ng/mL) occurred at 2.67 ± 2.32 hours after administration and peak urine concentration (88 358.2 ± 79 521.4 ng/mL) occurred at 2.67 ± 2.58 hours post administration.","Pharmacokinetics and pharmacodynamics of clodronate disodium evaluated in plasma, synovial fluid and urine. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32003488/),[ng] / [ml],57.7,43202,DB00720,Clodronate
