Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12791647,overall response rate,"Twenty patients (32%) achieved complete response (CR), 1 had a partial response (PR), and 9 (15%) achieved CR but without platelet recovery (CRp), for an overall response rate of 48%.",Phase 2 clinical and pharmacologic study of clofarabine in patients with refractory or relapsed acute leukemia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12791647/),%,48,22618,DB00631,Clofarabine
,25724157,unbound fraction,The median unbound fraction of clofarabine in mouse plasma was 0.79.,Preclinical examination of clofarabine in pediatric ependymoma: intratumoral concentrations insufficient to warrant further study. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25724157/),,0.79,26597,DB00631,Clofarabine
,25724157,"unbound tumor to plasma partition coefficient (K pt,uu","The unbound tumor to plasma partition coefficient (K pt,uu: ratio of tumor to plasma AUCu,0-inf) of clofarabine was 0.12 ± 0.05.",Preclinical examination of clofarabine in pediatric ependymoma: intratumoral concentrations insufficient to warrant further study. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25724157/),,0.12,26598,DB00631,Clofarabine
,25724157,IC50,The model-predicted mean tumor ECF clofarabine concentrations were below the in vitro 1-h IC50 (407 ng/mL) for ependymoma neurospheres.,Preclinical examination of clofarabine in pediatric ependymoma: intratumoral concentrations insufficient to warrant further study. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25724157/),[ng] / [ml],407,26599,DB00631,Clofarabine
,14695132,maximum tolerated dose,The maximum tolerated dose was 40 mg/m2/day for 5 days.,Pharmacokinetics and pharmacodynamics of plasma clofarabine and cellular clofarabine triphosphate in patients with acute leukemias. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14695132/),mg,40,42492,DB00631,Clofarabine
,20347037,clearance,"Clofarabine clearance was significantly reduced upon co-administration with, cimetidine (0.83+/-0.22-->0.32+/-0.058mL/min).",Renal excretion of clofarabine: assessment of dose-linearity and role of renal transport systems on drug excretion. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20347037/),[ml] / [min],0.83,43396,DB00631,Clofarabine
,20347037,clearance,"Clofarabine clearance was significantly reduced upon co-administration with, cimetidine (0.83+/-0.22-->0.32+/-0.058mL/min).",Renal excretion of clofarabine: assessment of dose-linearity and role of renal transport systems on drug excretion. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20347037/),[ml] / [min],0.32,43397,DB00631,Clofarabine
,20347037,clearance,"In vivo data correlated with IPK results as clofarabine clearance decreased 61% (20.2-7.80mL/min/kg), upon co-administration with cimetidine in rats.",Renal excretion of clofarabine: assessment of dose-linearity and role of renal transport systems on drug excretion. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20347037/),[ml] / [kg·min],20.2-7.80,43398,DB00631,Clofarabine
,31002993,clearance (CL),"Final parameter estimates for clo-fara were consistent with previous reports and were as follows: clearance (CL), 23 L/h/15 kg; volume of the central compartment, 42 L/15 kg; volume of peripheral compartment, 47 L/15 kg; and intercompartmental CL, 9.8 L/h/15 kg.",Population Pharmacokinetics of Clofarabine as Part of Pretransplantation Conditioning in Pediatric Subjects before Hematopoietic Cell Transplantation. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31002993/),[l] / [15·h·kg],23,48454,DB00631,Clofarabine
,31002993,volume of the central compartment,"Final parameter estimates for clo-fara were consistent with previous reports and were as follows: clearance (CL), 23 L/h/15 kg; volume of the central compartment, 42 L/15 kg; volume of peripheral compartment, 47 L/15 kg; and intercompartmental CL, 9.8 L/h/15 kg.",Population Pharmacokinetics of Clofarabine as Part of Pretransplantation Conditioning in Pediatric Subjects before Hematopoietic Cell Transplantation. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31002993/),[l] / [15·kg],42,48455,DB00631,Clofarabine
