Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10991959,hepatic clearance,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ",CLH-Q25,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),[ml] / [min],10.4,727,DB00636,Clofibrate
,10991959,apparent intrinsic clearance,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ",CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),[ml] / [min],94.1,728,DB00636,Clofibrate
,10991959,hepatic extraction ratio,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ",EH-Q39,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),[ml] / [min],94.1,729,DB00636,Clofibrate
,10991959,biliary excretion half-life,"Mean +/- S. D. hepatic clearance, apparent intrinsic clearance, hepatic extraction ratio, and biliary excretion half-life of GG were 10.4 +/- 1.4 ml/min, 94.1 +/- 17.9 ml/min, 0.346 +/- 0.046, and 30.9 +/- 4.9 min, respectively, and approximately 73% of GG was excreted into bile.","Hepatic disposition of the acyl glucuronide 1-O-gemfibrozil-beta-D-glucuronide: effects of clofibric acid, acetaminophen, and acetaminophen glucuronide. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10991959/),min,30.9,730,DB00636,Clofibrate
,28216581,apparent permeability,"The apparent permeability in everted sac rat intestine model was 8.73 × 10-6 cm/s in duodenum and 1.62 × 10-5 cm/s in jejunum, suggesting that Compound 1 has low permeability.",Biopharmaceutical Characterization and Bioavailability Study of a Tetrazole Analog of Clofibric Acid in Rat. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28216581/),[cm] / [s],8.73 × 10-6,1774,DB00636,Clofibrate
,28216581,apparent permeability,"The apparent permeability in everted sac rat intestine model was 8.73 × 10-6 cm/s in duodenum and 1.62 × 10-5 cm/s in jejunum, suggesting that Compound 1 has low permeability.",Biopharmaceutical Characterization and Bioavailability Study of a Tetrazole Analog of Clofibric Acid in Rat. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28216581/),[cm] / [s],1.62 × 10-5,1775,DB00636,Clofibrate
,28216581,Elimination constant,"Elimination constant after an oral administration of 50 μg/kg in Wistar rat was 1.81 h-1, absorption constant was 3.05 h-1, Cmax was 3.57 μg/mL at 0.33 h, AUC0-α was 956.54 μ/mL·h and distribution volume was 419.4 mL.",Biopharmaceutical Characterization and Bioavailability Study of a Tetrazole Analog of Clofibric Acid in Rat. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28216581/),1/[h],1.81,1776,DB00636,Clofibrate
,28216581,absorption constant,"Elimination constant after an oral administration of 50 μg/kg in Wistar rat was 1.81 h-1, absorption constant was 3.05 h-1, Cmax was 3.57 μg/mL at 0.33 h, AUC0-α was 956.54 μ/mL·h and distribution volume was 419.4 mL.",Biopharmaceutical Characterization and Bioavailability Study of a Tetrazole Analog of Clofibric Acid in Rat. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28216581/),1/[h],3.05,1777,DB00636,Clofibrate
,28216581,Cmax,"Elimination constant after an oral administration of 50 μg/kg in Wistar rat was 1.81 h-1, absorption constant was 3.05 h-1, Cmax was 3.57 μg/mL at 0.33 h, AUC0-α was 956.54 μ/mL·h and distribution volume was 419.4 mL.",Biopharmaceutical Characterization and Bioavailability Study of a Tetrazole Analog of Clofibric Acid in Rat. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28216581/),[μg] / [ml],3.57,1778,DB00636,Clofibrate
,28216581,AUC0-α,"Elimination constant after an oral administration of 50 μg/kg in Wistar rat was 1.81 h-1, absorption constant was 3.05 h-1, Cmax was 3.57 μg/mL at 0.33 h, AUC0-α was 956.54 μ/mL·h and distribution volume was 419.4 mL.",Biopharmaceutical Characterization and Bioavailability Study of a Tetrazole Analog of Clofibric Acid in Rat. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28216581/),[μ] / [h·ml],956.54,1779,DB00636,Clofibrate
