Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19180993,distribution,"The distribution and elimination half-life (t(1/2alpha) and t(1/2beta)) of 131I-rhFIX were 0.82 and 9.34 h, respectively.",Biodistribution and pharmacokinetics of transgenic pig-produced recombinant human factor IX (rhFIX) in rats. ,CL12-Q30,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19180993/),h,0.82,251,DB00100,Coagulation Factor IX
,19180993,t(1/2beta)),"The distribution and elimination half-life (t(1/2alpha) and t(1/2beta)) of 131I-rhFIX were 0.82 and 9.34 h, respectively.",Biodistribution and pharmacokinetics of transgenic pig-produced recombinant human factor IX (rhFIX) in rats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/19180993/),h,9.34,252,DB00100,Coagulation Factor IX
,19180993,maximum concentration in the plasma (Cmax),The maximum concentration in the plasma (Cmax) and the area under the concentration versus time curve (AUC(INF)) of 131I-rhFIX in rats were 3.09% injected dose (ID)/g and 15.3 h x % ID/g.,Biodistribution and pharmacokinetics of transgenic pig-produced recombinant human factor IX (rhFIX) in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19180993/),%,3.09,253,DB00100,Coagulation Factor IX
,19180993,area under the concentration versus time curve (AUC(INF)),The maximum concentration in the plasma (Cmax) and the area under the concentration versus time curve (AUC(INF)) of 131I-rhFIX in rats were 3.09% injected dose (ID)/g and 15.3 h x % ID/g.,Biodistribution and pharmacokinetics of transgenic pig-produced recombinant human factor IX (rhFIX) in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19180993/),%·h,15.3,254,DB00100,Coagulation Factor IX
≥,33086400,trough concentrations,Emicizumab trough concentrations ≥ 50 µg/mL were maintained throughout the study.,Pharmacokinetics and Pharmacodynamics of Emicizumab in Persons with Hemophilia A with Factor VIII Inhibitors: HAVEN 1 Study. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33086400/),[μg] / [ml],50,1988,DB00100,Coagulation Factor IX
at,28688133,trough level,Background Patients with severe hemophilia B regularly administer prophylactic intravenous doses of clotting factor IX concentrate to maintain a trough level of at least 0.01 IU mL-1 in order to prevent joint bleeds.,In silico evaluation of limited blood sampling strategies for individualized recombinant factor IX prophylaxis in hemophilia B patients. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28688133/),[iu] / [ml],0.01,3658,DB00100,Coagulation Factor IX
,33540485,mean residence time,DalcA demonstrated a 24-fold greater potency over BeneFIX and longer mean residence time (33.8 h).,"Safety, pharmacokinetics, and pharmacodynamics of a next-generation subcutaneously administered coagulation factor IX variant, dalcinonacog alfa, in previously treated hemophilia B patients. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33540485/),h,33.8,4681,DB00100,Coagulation Factor IX
,33540485,bioavailability,"SC bioavailability 8.2% to 20.3%, beta half-life 53.9 to 106.9 h and Tmax 24 to 48 h.","Safety, pharmacokinetics, and pharmacodynamics of a next-generation subcutaneously administered coagulation factor IX variant, dalcinonacog alfa, in previously treated hemophilia B patients. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33540485/),%,8.2,4682,DB00100,Coagulation Factor IX
,33540485,beta half-life,"SC bioavailability 8.2% to 20.3%, beta half-life 53.9 to 106.9 h and Tmax 24 to 48 h.","Safety, pharmacokinetics, and pharmacodynamics of a next-generation subcutaneously administered coagulation factor IX variant, dalcinonacog alfa, in previously treated hemophilia B patients. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/33540485/),h,53.9 to 106.9,4683,DB00100,Coagulation Factor IX
,33540485,Tmax,"SC bioavailability 8.2% to 20.3%, beta half-life 53.9 to 106.9 h and Tmax 24 to 48 h.","Safety, pharmacokinetics, and pharmacodynamics of a next-generation subcutaneously administered coagulation factor IX variant, dalcinonacog alfa, in previously treated hemophilia B patients. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33540485/),h,24 to 48,4684,DB00100,Coagulation Factor IX
