Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,23507688,run time,Reversed-phase chromatography using a gradient elution with methanol and 0.04% formic acid solution (pH 3.5) was used for separation in a run time of 5 min.,Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),min,5,1583,DB00318,Codeine
,23507688,m/,"The analytes were detected in the positive ion mode using multiple reaction monitoring (MRM) of the transitions at m/z 300.4→215.2 for codeine, 286.2→152.0 for morphine, and 462.2→286.2 for M3G and M6G.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),,300.4,1584,DB00318,Codeine
,23507688,m/,"The analytes were detected in the positive ion mode using multiple reaction monitoring (MRM) of the transitions at m/z 300.4→215.2 for codeine, 286.2→152.0 for morphine, and 462.2→286.2 for M3G and M6G.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),,215.2,1585,DB00318,Codeine
,23507688,m/,"The analytes were detected in the positive ion mode using multiple reaction monitoring (MRM) of the transitions at m/z 300.4→215.2 for codeine, 286.2→152.0 for morphine, and 462.2→286.2 for M3G and M6G.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),,286.2,1586,DB00318,Codeine
,23507688,m/,"The analytes were detected in the positive ion mode using multiple reaction monitoring (MRM) of the transitions at m/z 300.4→215.2 for codeine, 286.2→152.0 for morphine, and 462.2→286.2 for M3G and M6G.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),,152.0,1587,DB00318,Codeine
,23507688,m/,"The analytes were detected in the positive ion mode using multiple reaction monitoring (MRM) of the transitions at m/z 300.4→215.2 for codeine, 286.2→152.0 for morphine, and 462.2→286.2 for M3G and M6G.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),,462.2,1588,DB00318,Codeine
,23507688,m/,"The analytes were detected in the positive ion mode using multiple reaction monitoring (MRM) of the transitions at m/z 300.4→215.2 for codeine, 286.2→152.0 for morphine, and 462.2→286.2 for M3G and M6G.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),,286.2,1589,DB00318,Codeine
,23507688,response,"The method has the following performance characteristics: a reliable response range of 0.05-80 ng/ml for codeine, M3G and M6G and a response range of 0.05-5.0 ng/ml for morphine with correlation coefficients (r) of >0.997 for all analytes.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),[ng] / [ml],0.05-80,1590,DB00318,Codeine
,23507688,response range,"The method has the following performance characteristics: a reliable response range of 0.05-80 ng/ml for codeine, M3G and M6G and a response range of 0.05-5.0 ng/ml for morphine with correlation coefficients (r) of >0.997 for all analytes.",Simultaneous analysis of codeine and its active metabolites in human plasma using liquid chromatography-tandem mass spectrometry: application to a pharmacokinetic study after oral administration of codeine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23507688/),[ng] / [ml],0.05-5.0,1591,DB00318,Codeine
,8032582,half-life,"Furthermore, the similar half-life of both drugs (2-2.5 h) is advantageous for a fixed drug combination.",Pharmacokinetic evaluation of two ibuprofen-codeine combinations. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8032582/),h,2-2.5,2335,DB00318,Codeine
,7205649,volume of distribution,The mean volume of distribution is 7.58 +/- 0.87 liters/kg; the mean elimination T 1/2 is 88.6 +/- 1.9 min and the plasma clearance is 59.3 +/- 1.4 ml/min/kg.,Methadone: radioimmunoassay and pharmacokinetics in the rat. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7205649/),[l] / [kg],7.58,3860,DB00318,Codeine
,7205649,elimination T 1/2,The mean volume of distribution is 7.58 +/- 0.87 liters/kg; the mean elimination T 1/2 is 88.6 +/- 1.9 min and the plasma clearance is 59.3 +/- 1.4 ml/min/kg.,Methadone: radioimmunoassay and pharmacokinetics in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7205649/),min,88.6,3861,DB00318,Codeine
,7205649,plasma clearance,The mean volume of distribution is 7.58 +/- 0.87 liters/kg; the mean elimination T 1/2 is 88.6 +/- 1.9 min and the plasma clearance is 59.3 +/- 1.4 ml/min/kg.,Methadone: radioimmunoassay and pharmacokinetics in the rat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7205649/),[ml] / [kg·min],59.3,3862,DB00318,Codeine
,9725479,relative bioavailabilities,"The relative bioavailabilities of codeine and ibuprofen (alone or in association) were 106 +/- 24% (mean +/- sd) and 101 +/- 19%, respectively.",Comparative bioavailability study of codeine and ibuprofen after administration of the two products alone or in association to 24 healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9725479/),%,106,6999,DB00318,Codeine
,9725479,relative bioavailabilities,"The relative bioavailabilities of codeine and ibuprofen (alone or in association) were 106 +/- 24% (mean +/- sd) and 101 +/- 19%, respectively.",Comparative bioavailability study of codeine and ibuprofen after administration of the two products alone or in association to 24 healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9725479/),%,101,7000,DB00318,Codeine
,2401756,peak codeine plasma concentrations,The mean peak codeine plasma concentrations and tmax (time to reach maximum plasma codeine concentrations) were 88.1 ng/mL and 1.2 hours.,Plasma codeine and morphine concentrations after a single oral dose of codeine phosphate. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2401756/),[ng] / [ml],88.1,8582,DB00318,Codeine
,2401756,tmax (,The mean peak codeine plasma concentrations and tmax (time to reach maximum plasma codeine concentrations) were 88.1 ng/mL and 1.2 hours.,Plasma codeine and morphine concentrations after a single oral dose of codeine phosphate. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2401756/),[ng] / [ml],88.1,8583,DB00318,Codeine
,2401756,time to reach maximum plasma codeine concentrations),The mean peak codeine plasma concentrations and tmax (time to reach maximum plasma codeine concentrations) were 88.1 ng/mL and 1.2 hours.,Plasma codeine and morphine concentrations after a single oral dose of codeine phosphate. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2401756/),h,1.2,8584,DB00318,Codeine
,2401756,maximum concentrations,Mean maximum concentrations of metabolically produced morphine was 2.7 +/- 0.6 ng/mL.,Plasma codeine and morphine concentrations after a single oral dose of codeine phosphate. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2401756/),[ng] / [ml],2.7,8585,DB00318,Codeine
,27300254,half-life,"Erythrocyte sequestration (half-life = 50.2 ± 18.5 h, mean ± SD, n = 6), resulted in the acetazolamide microdose exhibiting a substantially longer plasma half-life (24.5 ± 5.6 hours, n = 10) than previously reported for therapeutic doses (3-6 hours).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,50.2,8778,DB00318,Codeine
,27300254,plasma half-life,"Erythrocyte sequestration (half-life = 50.2 ± 18.5 h, mean ± SD, n = 6), resulted in the acetazolamide microdose exhibiting a substantially longer plasma half-life (24.5 ± 5.6 hours, n = 10) than previously reported for therapeutic doses (3-6 hours).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,24.5,8779,DB00318,Codeine
,27300254,plasma half-life,"Erythrocyte sequestration (half-life = 50.2 ± 18.5 h, mean ± SD, n = 6), resulted in the acetazolamide microdose exhibiting a substantially longer plasma half-life (24.5 ± 5.6 hours, n = 10) than previously reported for therapeutic doses (3-6 hours).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,3-6,8780,DB00318,Codeine
,27300254,half-life,"After cessation of dosing, the rate of urinary elimination decreased significantly (F3,23 = 247: P < 0.05, n = 6) in a predictable manner with low intersubject variability and a half-life of 16.1 ± 3.8 h (n = 10).",A Pharmacokinetic Study Examining Acetazolamide as a Novel Adherence Marker for Clinical Trials. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27300254/),h,16.1,8781,DB00318,Codeine
,23165127,hair elimination half-lives,"Assuming a rate of hair growth of 1cm/month, the mean hair elimination half-lives of 6-AM, MOR and COD were 0.88 months (95% CI, 0.74-1.03), 0.73 months (95% CI, 0.64-0.81), and 0.61 months (95% CI, 0.54-0.69), respectively.","Disappearance of 6-acetylmorphine, morphine and codeine from human scalp hair after discontinuation of opiate abuse. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/23165127/),month,0.88,10593,DB00318,Codeine
,23165127,hair elimination half-lives,"Assuming a rate of hair growth of 1cm/month, the mean hair elimination half-lives of 6-AM, MOR and COD were 0.88 months (95% CI, 0.74-1.03), 0.73 months (95% CI, 0.64-0.81), and 0.61 months (95% CI, 0.54-0.69), respectively.","Disappearance of 6-acetylmorphine, morphine and codeine from human scalp hair after discontinuation of opiate abuse. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/23165127/),month,0.73,10594,DB00318,Codeine
