Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10543318,terminal half-life,"Following the repeated-dose regimen, the terminal half-life was not significantly different (2.7 (0.3) h) from that predicted from a single-dose (2.8 (0.2) h).",Single- and repeated-dose pharmacokinetics of intramuscular thiocolchicoside in healthy volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10543318/),h,2.7,1373,DB01394,Colchicine
,10543318,terminal half-life,"Following the repeated-dose regimen, the terminal half-life was not significantly different (2.7 (0.3) h) from that predicted from a single-dose (2.8 (0.2) h).",Single- and repeated-dose pharmacokinetics of intramuscular thiocolchicoside in healthy volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10543318/),h,2.8,1374,DB01394,Colchicine
,10543318,accumulation ratio,"The accumulation ratio, based on the repeated-dose/single-dose ratio of AUCtau was approximately 1.25.",Single- and repeated-dose pharmacokinetics of intramuscular thiocolchicoside in healthy volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10543318/),,1.25,1375,DB01394,Colchicine
,10543318,CLT/f,"A decrease of CLT/f was found between day 1 (24.1 (5.2) l/h) and day 7 (19.9 (3.4) l/h), suggesting that moderate time-related alterations occur in the pharmacokinetics of thiocolchicoside, which may be due to a change in its CL(NR) (CL(R) was constant) or to the extent of bioavailability, explained by enterohepatic recirculation.",Single- and repeated-dose pharmacokinetics of intramuscular thiocolchicoside in healthy volunteers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10543318/),[l] / [h],24.1,1376,DB01394,Colchicine
,10543318,CLT/f,"A decrease of CLT/f was found between day 1 (24.1 (5.2) l/h) and day 7 (19.9 (3.4) l/h), suggesting that moderate time-related alterations occur in the pharmacokinetics of thiocolchicoside, which may be due to a change in its CL(NR) (CL(R) was constant) or to the extent of bioavailability, explained by enterohepatic recirculation.",Single- and repeated-dose pharmacokinetics of intramuscular thiocolchicoside in healthy volunteers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10543318/),[l] / [h],19.9,1377,DB01394,Colchicine
,9387046,maximum tolerated dose,The maximum tolerated dose was 14.4 mg/m2.,A phase I trial and pharmacokinetic evaluation of CI-980 in patients with advanced solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9387046/),[mg] / [m2],14.4,1889,DB01394,Colchicine
,9387046,T1/2,"Mean pharmacokinetic parameter values: T1/2 = 5.52 hours, plasma clearance 1163 mL/min/m2, and Vdss 376 L/m2.",A phase I trial and pharmacokinetic evaluation of CI-980 in patients with advanced solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9387046/),h,5.52,1890,DB01394,Colchicine
,9387046,plasma clearance,"Mean pharmacokinetic parameter values: T1/2 = 5.52 hours, plasma clearance 1163 mL/min/m2, and Vdss 376 L/m2.",A phase I trial and pharmacokinetic evaluation of CI-980 in patients with advanced solid tumors. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9387046/),[ml] / [m2·min],1163,1891,DB01394,Colchicine
,9387046,Vdss,"Mean pharmacokinetic parameter values: T1/2 = 5.52 hours, plasma clearance 1163 mL/min/m2, and Vdss 376 L/m2.",A phase I trial and pharmacokinetic evaluation of CI-980 in patients with advanced solid tumors. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9387046/),[l] / [m2],376,1892,DB01394,Colchicine
,22753019,peak plasma concentration (C(max)),"There were no statistically significant (P < 0.05) differences in mean colchicine pharmacokinetic parameters between young and elderly subjects, including peak plasma concentration (C(max)) (2.53 vs. 2.56 ng/mL), time to C(max) (1.25 vs. 1.25 hours), area under the plasma concentration-time curve to infinity (22.29 vs. 25.01 ng/h/mL), elimination half-life (25.4 vs. 30.1 hours), oral clearance (0.40 vs. 0.35 L/h/kg), and apparent volume of distribution (14.3 vs. 14.8 L/kg), respectively.",Are dosing adjustments required for colchicine in the elderly compared with younger patients? ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22753019/),[ng] / [ml],2.53,10656,DB01394,Colchicine
