Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3429612,ED50s,"The induction of cleft palate demonstrated a linear dose-response by probit analysis: The ED50s were 143.6 mg/kg and 512.0 mg/kg for B10A and B10 mice, respectively.",Hydrocortisone-induced embryotoxicity and embryonic drug disposition in H-2 congenic mice. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3429612/),[mg] / [kg],143.6,485,DB01380,Cortisone acetate
,3429612,ED50s,"The induction of cleft palate demonstrated a linear dose-response by probit analysis: The ED50s were 143.6 mg/kg and 512.0 mg/kg for B10A and B10 mice, respectively.",Hydrocortisone-induced embryotoxicity and embryonic drug disposition in H-2 congenic mice. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3429612/),[mg] / [kg],512.0,486,DB01380,Cortisone acetate
,21336389,flow-rate,"Chromatographic separation was carried out on a Nucleosil 100 C(18) analytical column using a mixture of acetonitrile and water (30 : 70, v/v) as a mobile phase at a flow-rate of 1 mL min(-1).","Simultaneous determination of urinary cortisol, cortisone and corticosterone in parachutists, depressed patients and healthy controls in view of biomedical and pharmacokinetic studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21336389/),[ml] / [min],1,14882,DB01380,Cortisone acetate
above,21336389,absolute recoveries,The absolute recoveries of glucocorticoids were above 94.6%.,"Simultaneous determination of urinary cortisol, cortisone and corticosterone in parachutists, depressed patients and healthy controls in view of biomedical and pharmacokinetic studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21336389/),%,94.6,14883,DB01380,Cortisone acetate
,21336389,limits of detection (LOD),"The limits of detection (LOD) and quantification (LOQ) were 0.5 and 2 ng mL(-1), respectively, for all analytes.","Simultaneous determination of urinary cortisol, cortisone and corticosterone in parachutists, depressed patients and healthy controls in view of biomedical and pharmacokinetic studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21336389/),[ng] / [ml],0.5,14884,DB01380,Cortisone acetate
,21336389,quantification (LOQ),"The limits of detection (LOD) and quantification (LOQ) were 0.5 and 2 ng mL(-1), respectively, for all analytes.","Simultaneous determination of urinary cortisol, cortisone and corticosterone in parachutists, depressed patients and healthy controls in view of biomedical and pharmacokinetic studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21336389/),[ng] / [ml],2,14885,DB01380,Cortisone acetate
,23594227,time at which maximal concentration,"Doses ≥3 mg were rapidly absorbed (time at which maximal concentration was achieved in plasma, 1.1-1.8 h).",Pharmacokinetic-pharmacodynamic studies of the 11β-hydroxysteroid dehydrogenase type 1 inhibitor MK-0916 in healthy subjects. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23594227/),h,1.1-1.8,27194,DB01380,Cortisone acetate
,23594227,trough plasma concentration,"In subjects dosed with 6 mg MK-0916 once daily for 14 days, the mean trough plasma concentration was 240 nm and in vivo cortisone-to-cortisol conversion was inhibited by 84%.",Pharmacokinetic-pharmacodynamic studies of the 11β-hydroxysteroid dehydrogenase type 1 inhibitor MK-0916 in healthy subjects. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23594227/),nm,240,27195,DB01380,Cortisone acetate
,23594227,IC50,The relationship between plasma MK-0916 and hepatic 11β-hydroxysteroid dehydrogenase type 1 inhibition was well represented by a simple Emax model with an IC50 of 70.4 nm.,Pharmacokinetic-pharmacodynamic studies of the 11β-hydroxysteroid dehydrogenase type 1 inhibitor MK-0916 in healthy subjects. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23594227/),nm,70.4,27196,DB01380,Cortisone acetate
,17266194,Ki,"This compound had a Ki of 22 nM, possessed low in vivo clearance, and showed a 91% inhibition of adipose 11beta-HSD1 enzymatic activity in a mouse ex vivo pharmacodynamic model.","2-(S)-phenethylaminothiazolones as potent, orally efficacious inhibitors of 11beta-hydroxysteriod dehydrogenase type 1. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17266194/),nM,22,51362,DB01380,Cortisone acetate
,7131291,ratio,This placental conversion of cortisol to cortisone and the further metabolism and conjugation of cortisol by the fetoplacental unit resulted in a fetal to maternal plasma cortisol ratio of 0.2.,Comparison of the transplacental pharmacokinetics of cortisol and triamcinolone acetonide in the rhesus monkey. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7131291/),,0.2,51824,DB01380,Cortisone acetate
,7131291,ratio,"In contrast, the lack of placental or fetoplacental metabolism of TAC resulted in a fetal to maternal plasma TAC ratio of 0.6.",Comparison of the transplacental pharmacokinetics of cortisol and triamcinolone acetonide in the rhesus monkey. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7131291/),,0.6,51825,DB01380,Cortisone acetate
,6691888,Peak cortisol levels,Peak cortisol levels of 1518 +/- 190 nmol 1(-1) (mean +/- s.e. mean) and 739 +/- 74 nmol 1(-1) were found 1.46 +/- 0.25 and 1.79 +/- 0.16 h after oral cortisol and cortisone acetate respectively.,Plasma cortisol delivery from oral cortisol and cortisone acetate: relative bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6691888/),nM,1518,61438,DB01380,Cortisone acetate
,6691888,Peak cortisol levels,Peak cortisol levels of 1518 +/- 190 nmol 1(-1) (mean +/- s.e. mean) and 739 +/- 74 nmol 1(-1) were found 1.46 +/- 0.25 and 1.79 +/- 0.16 h after oral cortisol and cortisone acetate respectively.,Plasma cortisol delivery from oral cortisol and cortisone acetate: relative bioavailability. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6691888/),nM,739,61439,DB01380,Cortisone acetate
,6691888,relative bioavailability,"The relative bioavailability of oral cortisol and cortisone acetate varied widely (cortisol 26-91%, mean 54 +/- 6.9%, cortisone acetate 21-95%, mean 44 +/- 6.5%) but despite this wide variation there was, in individual subjects, a highly significant correlation between the bioavailability of the two steroids (r = 0.870, P less than 0.001).",Plasma cortisol delivery from oral cortisol and cortisone acetate: relative bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6691888/),%,26-91,61440,DB01380,Cortisone acetate
,6691888,relative bioavailability,"The relative bioavailability of oral cortisol and cortisone acetate varied widely (cortisol 26-91%, mean 54 +/- 6.9%, cortisone acetate 21-95%, mean 44 +/- 6.5%) but despite this wide variation there was, in individual subjects, a highly significant correlation between the bioavailability of the two steroids (r = 0.870, P less than 0.001).",Plasma cortisol delivery from oral cortisol and cortisone acetate: relative bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6691888/),%,54,61441,DB01380,Cortisone acetate
,6691888,relative bioavailability,"The relative bioavailability of oral cortisol and cortisone acetate varied widely (cortisol 26-91%, mean 54 +/- 6.9%, cortisone acetate 21-95%, mean 44 +/- 6.5%) but despite this wide variation there was, in individual subjects, a highly significant correlation between the bioavailability of the two steroids (r = 0.870, P less than 0.001).",Plasma cortisol delivery from oral cortisol and cortisone acetate: relative bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6691888/),%,21-95,61442,DB01380,Cortisone acetate
,6691888,relative bioavailability,"The relative bioavailability of oral cortisol and cortisone acetate varied widely (cortisol 26-91%, mean 54 +/- 6.9%, cortisone acetate 21-95%, mean 44 +/- 6.5%) but despite this wide variation there was, in individual subjects, a highly significant correlation between the bioavailability of the two steroids (r = 0.870, P less than 0.001).",Plasma cortisol delivery from oral cortisol and cortisone acetate: relative bioavailability. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6691888/),%,44,61443,DB01380,Cortisone acetate
,8583374,Area under the curves (AUC),"Area under the curves (AUC) of prednisolone before and after the treatment decreased from 0.94 to 0.78 mg h L-1 (P < 0.05) in the Sho-saiko-To group, increased from 0.92 to 1.06 mg h L-1 (P < 0.01) in the Saiboku-To group, and did not change in the Sairei-To group.",Different effects of traditional Chinese medicines containing similar herbal constituents on prednisolone pharmacokinetics. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8583374/),[h·mg] / [l],0.94,73046,DB01380,Cortisone acetate
