Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,29092731,t<sub>lag</sub>,"Median t<sub>max</sub> was not significantly different (p > 0.05), and median t<sub>lag</sub> was the same (1 hour).",Bioequivalence of cyclobenzaprine hydrochloride extended-release capsule taken intact or sprinkled over applesauce . ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29092731/),h,1,13402,DB00924,Cyclobenzaprine
,19243711,AUC(0-168),"Mean observed values for dose-dependent pharmacokinetic parameters of CER 15 and 30 mg were as follows: AUC(0-168), 318.3 and 736.6 ng . h/mL, respectively; AUC(0-infinity)), 354.1 and 779.9 ng . h/mL; and C(max), 8.3 and 19.9 ng/mL.","A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),[h·ng] / [ml],318.3,37636,DB00924,Cyclobenzaprine
,19243711,AUC(0-168),"Mean observed values for dose-dependent pharmacokinetic parameters of CER 15 and 30 mg were as follows: AUC(0-168), 318.3 and 736.6 ng . h/mL, respectively; AUC(0-infinity)), 354.1 and 779.9 ng . h/mL; and C(max), 8.3 and 19.9 ng/mL.","A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),[h·ng] / [ml],736.6,37637,DB00924,Cyclobenzaprine
,19243711,AUC(0-infinity)),"Mean observed values for dose-dependent pharmacokinetic parameters of CER 15 and 30 mg were as follows: AUC(0-168), 318.3 and 736.6 ng . h/mL, respectively; AUC(0-infinity)), 354.1 and 779.9 ng . h/mL; and C(max), 8.3 and 19.9 ng/mL.","A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),[h·ng] / [ml],354.1,37638,DB00924,Cyclobenzaprine
,19243711,AUC(0-infinity)),"Mean observed values for dose-dependent pharmacokinetic parameters of CER 15 and 30 mg were as follows: AUC(0-168), 318.3 and 736.6 ng . h/mL, respectively; AUC(0-infinity)), 354.1 and 779.9 ng . h/mL; and C(max), 8.3 and 19.9 ng/mL.","A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),[h·ng] / [ml],779.9,37639,DB00924,Cyclobenzaprine
,19243711,C(max),"Mean observed values for dose-dependent pharmacokinetic parameters of CER 15 and 30 mg were as follows: AUC(0-168), 318.3 and 736.6 ng . h/mL, respectively; AUC(0-infinity)), 354.1 and 779.9 ng . h/mL; and C(max), 8.3 and 19.9 ng/mL.","A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),[ng] / [ml],8.3,37640,DB00924,Cyclobenzaprine
,19243711,C(max),"Mean observed values for dose-dependent pharmacokinetic parameters of CER 15 and 30 mg were as follows: AUC(0-168), 318.3 and 736.6 ng . h/mL, respectively; AUC(0-infinity)), 354.1 and 779.9 ng . h/mL; and C(max), 8.3 and 19.9 ng/mL.","A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),[ng] / [ml],19.9,37641,DB00924,Cyclobenzaprine
,19243711,Tmax,Median observed Tmax was 6.0 hours for both CER doses; mean t(1/2) was 33.4 hours for CER 15 mg and 32.0 hours for CER 30 mg.,"A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),h,6.0,37642,DB00924,Cyclobenzaprine
,19243711,t(1/2),Median observed Tmax was 6.0 hours for both CER doses; mean t(1/2) was 33.4 hours for CER 15 mg and 32.0 hours for CER 30 mg.,"A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),h,33.4,37643,DB00924,Cyclobenzaprine
,19243711,t(1/2),Median observed Tmax was 6.0 hours for both CER doses; mean t(1/2) was 33.4 hours for CER 15 mg and 32.0 hours for CER 30 mg.,"A pharmacokinetic comparison of single doses of once-daily cyclobenzaprine extended-release 15 mg and 30 mg: a randomized, double-blind, two-period crossover study in healthy volunteers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19243711/),h,32.0,37644,DB00924,Cyclobenzaprine
