Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21487100,steady-state plasma exposure,A dose of 60 mg/kg in mice produced a human equivalent sorafenib steady-state plasma exposure of 10 μM.,Activity of the multikinase inhibitor sorafenib in combination with cytarabine in acute myeloid leukemia. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21487100/),μM,10,297,DB00987,Cytarabine
,8453688,plasma levels,"ARA-C levels were not significantly changed in comparison with those obtained in a prior study of ARA-C with THU (ARA-C plasma levels at 3 h, 2630 +/- 1170 ng/ml).","Therapy of refractory/relapsed acute myeloid leukemia and blast crisis of chronic myeloid leukemia with the combination of cytosine arabinoside, tetrahydrouridine, and carboplatin. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8453688/),ng,2630,345,DB00987,Cytarabine
greater,6850654,plasma final half-life,Cytarabine distribution was bi- or tri-compartmental; plasma final half-life was greater than 4 hrs in six patients.,High-dose cytarabine in acute leukemia: toxicity and pharmacokinetics. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6850654/),h,4,4978,DB00987,Cytarabine
,26391155,t,"In NHL patients, cumulative higher trough concentrations over the eight administrations of the first cycle (TotC min, categorized by the median 58.71 mg/L) had significant prognostic value regarding the 5-year progression-free survival (PFS: 73.6 vs 46.5 %, P = 0.015) and 5-year overall survival (OS: 74.0 vs 52.2 %, P = 0.034).",Etoposide pharmacokinetics impact the outcomes of lymphoma patients treated with BEAM regimen and ASCT: a multicenter study of the LYmphoma Study Association (LYSA). ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26391155/),[mg] / [l],58.71,5582,DB00987,Cytarabine
,9835899,Css plasma concentrations,"The Css plasma concentrations of ara-C and ara-U averaged 10.33 +/- 0.81 microM and 139.14 +/- 17.8 microM, respectively.",Pharmacology of cytarabine given as a continuous infusion followed by mitoxantrone with and without amsacrine/etoposide as reinduction chemotherapy for relapsed or refractory pediatric acute myeloid leukemia. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9835899/),μM,10.33,12079,DB00987,Cytarabine
,9835899,Css plasma concentrations,"The Css plasma concentrations of ara-C and ara-U averaged 10.33 +/- 0.81 microM and 139.14 +/- 17.8 microM, respectively.",Pharmacology of cytarabine given as a continuous infusion followed by mitoxantrone with and without amsacrine/etoposide as reinduction chemotherapy for relapsed or refractory pediatric acute myeloid leukemia. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9835899/),μM,139.14,12080,DB00987,Cytarabine
,8926681,retention,"Ara-CTP retention, however, was significantly lower in T-ALL (37 +/- 15%, n = 8) compared to non-T-ALL (67 +/- 25%, n = 33; p < 0.003).",[Intracellular retention of cytarabine-triphosphate (Ara-CTP) in blasts of children with acute lymphoblastic leukemia. Correlation with clinical course parameters]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8926681/),%,37,18591,DB00987,Cytarabine
,8926681,retention,"Ara-CTP retention, however, was significantly lower in T-ALL (37 +/- 15%, n = 8) compared to non-T-ALL (67 +/- 25%, n = 33; p < 0.003).",[Intracellular retention of cytarabine-triphosphate (Ara-CTP) in blasts of children with acute lymphoblastic leukemia. Correlation with clinical course parameters]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8926681/),%,67,18592,DB00987,Cytarabine
,8926681,retention,"Ara-CTP retention was also significantly different in children with and without persistence of peripheral blast cells after one week of prednison treatment (71 +/- 30%, n = 9 and 53 +/- 19%, n = 21; p = 0.031) as well as in children with and without complete bone marrow remission on day 15 of the ALL-BFM treatment protocol (66 +/- 17%, n = 19 and 43 +/- 18%, n = 11; p = 0.018).",[Intracellular retention of cytarabine-triphosphate (Ara-CTP) in blasts of children with acute lymphoblastic leukemia. Correlation with clinical course parameters]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8926681/),%,71,18593,DB00987,Cytarabine
,8926681,retention,"Ara-CTP retention was also significantly different in children with and without persistence of peripheral blast cells after one week of prednison treatment (71 +/- 30%, n = 9 and 53 +/- 19%, n = 21; p = 0.031) as well as in children with and without complete bone marrow remission on day 15 of the ALL-BFM treatment protocol (66 +/- 17%, n = 19 and 43 +/- 18%, n = 11; p = 0.018).",[Intracellular retention of cytarabine-triphosphate (Ara-CTP) in blasts of children with acute lymphoblastic leukemia. Correlation with clinical course parameters]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8926681/),%,53,18594,DB00987,Cytarabine
