Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22589159,extraction recoveries,The extraction recoveries were from 74.0 to 95.8%.,Simultaneous determination of six isoflavonoids in rat plasma after administration of total flavonoid from Gegen by ultra-HPLC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22589159/),%,74.0 to 95.8,24828,DB02115,Daidzin
,23774247,flow rate,"The plasma samples were processed by protein precipitation with methanol, and chromatographed on a Thermo Syncronis C18 column (10cm×2.1mm, 1.7μm) by gradient elution at a flow rate of 0.25mL/min, and detected with a triple quadrupole tandem mass spectrometer by selected reaction monitoring via electrospray ionization source with positive ionization mode.","Pharmacokinetic comparisons of puerarin, daidzin and the glucuronide metabolite of puerarin after administration of total flavonoid from Gegen alone and total flavonoid from Gegen combined with total saponin from Sanqi in rats under different physiological states. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23774247/),[ml] / [min],0.25,34800,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,471/297,40685,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,471/255,40686,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,447/271,40687,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,823/453,40688,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,419/257,40689,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,336/320,40690,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,352/336,40691,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,338,40692,DB02115,Daidzin
,25746576,mass transition ion-pairs (m/z),"The optimized mass transition ion-pairs (m/z) for quantitation were 471/297 for puerarin, 471/255 for daidzin, 447/271 for baicalin, 823/453 for glycyrrhizic acid, 419/257 for liquiritin, 336/320 for berberine, 352/336 for palmatine, 338/322 for jateorhizine and 611/303 for hesperidin.","Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),,611,40693,DB02115,Daidzin
,25746576,extraction recoveries,The extraction recoveries were ranged from 60.4 to 93.3%.,"Comparative pharmacokinetics of puerarin, daidzin, baicalin, glycyrrhizic acid, liquiritin, berberine, palmatine and jateorhizine by liquid chromatography-mass spectrometry after oral administration of Gegenqinlian decoction and active components alignment (ACA) to rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25746576/),%,60.4 to 93.3,40694,DB02115,Daidzin
,23557122,zeta potentials,Their zeta potentials were about +25 mV at pH 5.5 and -23 mV at pH 7.4.,TPGS emulsified zein nanoparticles enhanced oral bioavailability of daidzin: in vitro characteristics and in vivo performance. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23557122/),mv,+,60086,DB02115,Daidzin
,23557122,zeta potentials,Their zeta potentials were about +25 mV at pH 5.5 and -23 mV at pH 7.4.,TPGS emulsified zein nanoparticles enhanced oral bioavailability of daidzin: in vitro characteristics and in vivo performance. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23557122/),mv,25,60087,DB02115,Daidzin
,23557122,zeta potentials,Their zeta potentials were about +25 mV at pH 5.5 and -23 mV at pH 7.4.,TPGS emulsified zein nanoparticles enhanced oral bioavailability of daidzin: in vitro characteristics and in vivo performance. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23557122/),mv,-,60088,DB02115,Daidzin
,23557122,zeta potentials,Their zeta potentials were about +25 mV at pH 5.5 and -23 mV at pH 7.4.,TPGS emulsified zein nanoparticles enhanced oral bioavailability of daidzin: in vitro characteristics and in vivo performance. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23557122/),mv,23,60089,DB02115,Daidzin
,23557122,Cmax,"A pharmacokinetic study demonstrated that the Cmax of daidzein in mice after oral administration of daidzin loaded TZN was 5.66 ± 0.16 μM, which was improved by 2.64-fold compared with that of daidzin solution (2.14 ± 0.04 μM).",TPGS emulsified zein nanoparticles enhanced oral bioavailability of daidzin: in vitro characteristics and in vivo performance. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23557122/),μM,5.66,60090,DB02115,Daidzin
,23557122,Cmax,"A pharmacokinetic study demonstrated that the Cmax of daidzein in mice after oral administration of daidzin loaded TZN was 5.66 ± 0.16 μM, which was improved by 2.64-fold compared with that of daidzin solution (2.14 ± 0.04 μM).",TPGS emulsified zein nanoparticles enhanced oral bioavailability of daidzin: in vitro characteristics and in vivo performance. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23557122/),μM,2.14,60091,DB02115,Daidzin
,15883431,K(i),"S-equol has a high affinity for estrogen receptor beta (K(i) = 0.73 nmol/L), whereas R-equol is relatively inactive.","S-equol, a potent ligand for estrogen receptor beta, is the exclusive enantiomeric form of the soy isoflavone metabolite produced by human intestinal bacterial flora. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15883431/),[nM] / [l],0.73,99802,DB02115,Daidzin
,27569047,extraction recoveries,The extraction recoveries of the eight flavonoids were from 91.4 to 100.5% and the matrix effects ranged from 89.8 to 103.8%.,"A UPLC-MS/MS approach for simultaneous determination of eight flavonoids in rat plasma, and its application to pharmacokinetic studies of Fu-Zhu-Jiang-Tang tablet in rats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27569047/),%,91.4 to 100.5,109381,DB02115,Daidzin
,9848524,Recoveries,"Recoveries of conjugates of genistein, daidzein, and equol were 24%, 66%, and 28% of the amounts ingested in women, respectively, and 15%, 47%, and 15%, respectively, of those in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),%,24,123865,DB02115,Daidzin
,9848524,Recoveries,"Recoveries of conjugates of genistein, daidzein, and equol were 24%, 66%, and 28% of the amounts ingested in women, respectively, and 15%, 47%, and 15%, respectively, of those in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),%,66,123866,DB02115,Daidzin
,9848524,Recoveries,"Recoveries of conjugates of genistein, daidzein, and equol were 24%, 66%, and 28% of the amounts ingested in women, respectively, and 15%, 47%, and 15%, respectively, of those in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),%,28,123867,DB02115,Daidzin
,9848524,Recoveries,"Recoveries of conjugates of genistein, daidzein, and equol were 24%, 66%, and 28% of the amounts ingested in women, respectively, and 15%, 47%, and 15%, respectively, of those in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),%,15,123868,DB02115,Daidzin
,9848524,Recoveries,"Recoveries of conjugates of genistein, daidzein, and equol were 24%, 66%, and 28% of the amounts ingested in women, respectively, and 15%, 47%, and 15%, respectively, of those in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),%,47,123869,DB02115,Daidzin
,9848524,Absorption rate constants (k(e)),Absorption rate constants (k(e)) of the isoflavones were estimated to be 0.24-0.50 h(-1).,Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.24-0.50,123870,DB02115,Daidzin
,9848524,elimination rates (k(e)),"The elimination rates (k(e)) for genistein, daidzein, and equol were 0.1, 0.16, and 0.08 h(-1), respectively, in women and 0.19, 0.25, and 0.13 h(-1), respectively, in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.1,123871,DB02115,Daidzin
,9848524,elimination rates (k(e)),"The elimination rates (k(e)) for genistein, daidzein, and equol were 0.1, 0.16, and 0.08 h(-1), respectively, in women and 0.19, 0.25, and 0.13 h(-1), respectively, in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.16,123872,DB02115,Daidzin
,9848524,elimination rates (k(e)),"The elimination rates (k(e)) for genistein, daidzein, and equol were 0.1, 0.16, and 0.08 h(-1), respectively, in women and 0.19, 0.25, and 0.13 h(-1), respectively, in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.08,123873,DB02115,Daidzin
,9848524,elimination rates (k(e)),"The elimination rates (k(e)) for genistein, daidzein, and equol were 0.1, 0.16, and 0.08 h(-1), respectively, in women and 0.19, 0.25, and 0.13 h(-1), respectively, in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.19,123874,DB02115,Daidzin
,9848524,elimination rates (k(e)),"The elimination rates (k(e)) for genistein, daidzein, and equol were 0.1, 0.16, and 0.08 h(-1), respectively, in women and 0.19, 0.25, and 0.13 h(-1), respectively, in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.25,123875,DB02115,Daidzin
,9848524,elimination rates (k(e)),"The elimination rates (k(e)) for genistein, daidzein, and equol were 0.1, 0.16, and 0.08 h(-1), respectively, in women and 0.19, 0.25, and 0.13 h(-1), respectively, in men.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),1/[h],0.13,123876,DB02115,Daidzin
,9848524,excretion half-life,"Thus, the excretion half-life values of genistein were longer in women (7, 4, and 9 h, respectively) than in men (4, 3, and 5 h, respectively) after the first soy ingestion.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),h,7,123877,DB02115,Daidzin
,9848524,excretion half-life,"Thus, the excretion half-life values of genistein were longer in women (7, 4, and 9 h, respectively) than in men (4, 3, and 5 h, respectively) after the first soy ingestion.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),h,4,123878,DB02115,Daidzin
,9848524,excretion half-life,"Thus, the excretion half-life values of genistein were longer in women (7, 4, and 9 h, respectively) than in men (4, 3, and 5 h, respectively) after the first soy ingestion.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),h,9,123879,DB02115,Daidzin
,9848524,excretion half-life,"Thus, the excretion half-life values of genistein were longer in women (7, 4, and 9 h, respectively) than in men (4, 3, and 5 h, respectively) after the first soy ingestion.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),h,3,123880,DB02115,Daidzin
,9848524,excretion half-life,"Thus, the excretion half-life values of genistein were longer in women (7, 4, and 9 h, respectively) than in men (4, 3, and 5 h, respectively) after the first soy ingestion.",Sex and long-term soy diets affect the metabolism and excretion of soy isoflavones in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9848524/),h,5,123881,DB02115,Daidzin
,18071265,aqueous solubility,The aqueous solubility of the complexes of IFE with beta-CD (2.0 mg/ml) was about 26 times that of IFE itself (0.076 mg/ml).,Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[mg] / [ml],2.0,124996,DB02115,Daidzin
,18071265,aqueous solubility,The aqueous solubility of the complexes of IFE with beta-CD (2.0 mg/ml) was about 26 times that of IFE itself (0.076 mg/ml).,Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[mg] / [ml],0.076,124997,DB02115,Daidzin
,18071265,AUC,"After the oral administration, the AUC values for daidzein, genistein and glycitein were 340, 11 and 28 microg x min/ml, respectively.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[min·μg] / [ml],340,124998,DB02115,Daidzin
,18071265,AUC,"After the oral administration, the AUC values for daidzein, genistein and glycitein were 340, 11 and 28 microg x min/ml, respectively.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[min·μg] / [ml],11,124999,DB02115,Daidzin
,18071265,AUC,"After the oral administration, the AUC values for daidzein, genistein and glycitein were 340, 11 and 28 microg x min/ml, respectively.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[min·μg] / [ml],28,125000,DB02115,Daidzin
,18071265,AUC,"In contrast, the respective AUC values after the administration of IFE-beta-CD were 430, 20 and 48 microg x min/ml.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[min·μg] / [ml],430,125001,DB02115,Daidzin
,18071265,AUC,"In contrast, the respective AUC values after the administration of IFE-beta-CD were 430, 20 and 48 microg x min/ml.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[min·μg] / [ml],20,125002,DB02115,Daidzin
,18071265,AUC,"In contrast, the respective AUC values after the administration of IFE-beta-CD were 430, 20 and 48 microg x min/ml.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),[min·μg] / [ml],48,125003,DB02115,Daidzin
,18071265,bioavailability,"The bioavailability of daidzein in IFE-beta-CD was increased to 126% by the formation of inclusion complexes with beta-CD, compared with that in IFE.",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),%,126,125004,DB02115,Daidzin
,18071265,bioavailability,"Furthermore, the bioavailability of genistein and glycitein in IFE-beta-CD formulation was significantly higher by up to 180% and 170%, respectively, compared with that of IFE p=0.008 and p=0.028, respectively).",Enhanced bioavailability of soy isoflavones by complexation with beta-cyclodextrin in rats. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18071265/),%,180,125005,DB02115,Daidzin
