Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16151471,t(1/2),The t(1/2) was 26 hours (range 10 to 50).,Single-dose darbepoetin administration to anemic preterm neonates. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16151471/),h,26,22171,DB00012,Darbepoetin alfa
,16151471,biovailability-normalized clearance,The biovailability-normalized clearance was 19 ml/hour/kg (range 5 to 54).,Single-dose darbepoetin administration to anemic preterm neonates. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16151471/),[ml] / [h·kg],19,22172,DB00012,Darbepoetin alfa
,12426518,terminal half-life,"At week 12, the terminal half-life was 23.4 hours with darbepoetin alfa once weekly, 18.3 hours with darbepoetin alfa 3 times weekly, and 8.0 hours with epoetin 3 times weekly.",Pharmacokinetics and pharmacodynamics of darbepoetin alfa and epoetin in patients undergoing dialysis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12426518/),h,23.4,35166,DB00012,Darbepoetin alfa
,12426518,terminal half-life,"At week 12, the terminal half-life was 23.4 hours with darbepoetin alfa once weekly, 18.3 hours with darbepoetin alfa 3 times weekly, and 8.0 hours with epoetin 3 times weekly.",Pharmacokinetics and pharmacodynamics of darbepoetin alfa and epoetin in patients undergoing dialysis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12426518/),h,18.3,35167,DB00012,Darbepoetin alfa
,12426518,terminal half-life,"At week 12, the terminal half-life was 23.4 hours with darbepoetin alfa once weekly, 18.3 hours with darbepoetin alfa 3 times weekly, and 8.0 hours with epoetin 3 times weekly.",Pharmacokinetics and pharmacodynamics of darbepoetin alfa and epoetin in patients undergoing dialysis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12426518/),h,8.0,35168,DB00012,Darbepoetin alfa
,15070102,relative bioavailability,"After a single injection, darbepoetin alfa was detected in serum through 4 weeks for all microsphere formulations tested in vivo, although relative bioavailability was higher for spray-freeze drying (28%) compared with spray drying (21%; p = 0.08) as were yields (73-82% vs. 34-57%, respectively).",Poly(lactide-co-glycolide) microsphere formulations of darbepoetin alfa: spray drying is an alternative to encapsulation by spray-freeze drying. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15070102/),%,28,35491,DB00012,Darbepoetin alfa
,15070102,relative bioavailability,"After a single injection, darbepoetin alfa was detected in serum through 4 weeks for all microsphere formulations tested in vivo, although relative bioavailability was higher for spray-freeze drying (28%) compared with spray drying (21%; p = 0.08) as were yields (73-82% vs. 34-57%, respectively).",Poly(lactide-co-glycolide) microsphere formulations of darbepoetin alfa: spray drying is an alternative to encapsulation by spray-freeze drying. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15070102/),%,21,35492,DB00012,Darbepoetin alfa
,15070102,relative bioavailability,"After a single injection, darbepoetin alfa was detected in serum through 4 weeks for all microsphere formulations tested in vivo, although relative bioavailability was higher for spray-freeze drying (28%) compared with spray drying (21%; p = 0.08) as were yields (73-82% vs. 34-57%, respectively).",Poly(lactide-co-glycolide) microsphere formulations of darbepoetin alfa: spray drying is an alternative to encapsulation by spray-freeze drying. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15070102/),%,73-82,35493,DB00012,Darbepoetin alfa
,15070102,relative bioavailability,"After a single injection, darbepoetin alfa was detected in serum through 4 weeks for all microsphere formulations tested in vivo, although relative bioavailability was higher for spray-freeze drying (28%) compared with spray drying (21%; p = 0.08) as were yields (73-82% vs. 34-57%, respectively).",Poly(lactide-co-glycolide) microsphere formulations of darbepoetin alfa: spray drying is an alternative to encapsulation by spray-freeze drying. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15070102/),%,34-57,35494,DB00012,Darbepoetin alfa
,15070102,yields,"After a single injection, darbepoetin alfa was detected in serum through 4 weeks for all microsphere formulations tested in vivo, although relative bioavailability was higher for spray-freeze drying (28%) compared with spray drying (21%; p = 0.08) as were yields (73-82% vs. 34-57%, respectively).",Poly(lactide-co-glycolide) microsphere formulations of darbepoetin alfa: spray drying is an alternative to encapsulation by spray-freeze drying. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15070102/),%,73-82,35495,DB00012,Darbepoetin alfa
,15070102,yields,"After a single injection, darbepoetin alfa was detected in serum through 4 weeks for all microsphere formulations tested in vivo, although relative bioavailability was higher for spray-freeze drying (28%) compared with spray drying (21%; p = 0.08) as were yields (73-82% vs. 34-57%, respectively).",Poly(lactide-co-glycolide) microsphere formulations of darbepoetin alfa: spray drying is an alternative to encapsulation by spray-freeze drying. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15070102/),%,34-57,35496,DB00012,Darbepoetin alfa
,16945116,CL,"The typical values of CL and V(1) were 0.0807 l h(-1) and 2.51 l, respectively.",Population pharmacokinetics of darbepoetin alfa in haemodialysis and peritoneal dialysis patients after intravenous administration. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16945116/),[l] / [h],0.0807,36478,DB00012,Darbepoetin alfa
,16945116,V(1),"The typical values of CL and V(1) were 0.0807 l h(-1) and 2.51 l, respectively.",Population pharmacokinetics of darbepoetin alfa in haemodialysis and peritoneal dialysis patients after intravenous administration. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16945116/),l,2.51,36479,DB00012,Darbepoetin alfa
,20881221,Absolute bioavailability,"Absolute bioavailability, total mean absorption time, clearance, and volume of distribution were estimated to be 44%, 52 h, 3.4 L/d/70 kg, and 5.9 L/70 kg, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),%,44,37390,DB00012,Darbepoetin alfa
,20881221,total mean absorption time,"Absolute bioavailability, total mean absorption time, clearance, and volume of distribution were estimated to be 44%, 52 h, 3.4 L/d/70 kg, and 5.9 L/70 kg, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),h,52,37391,DB00012,Darbepoetin alfa
,20881221,total mean absorption time,"Absolute bioavailability, total mean absorption time, clearance, and volume of distribution were estimated to be 44%, 52 h, 3.4 L/d/70 kg, and 5.9 L/70 kg, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),[l] / [70·d·kg],3.4,37392,DB00012,Darbepoetin alfa
,20881221,clearance,"Absolute bioavailability, total mean absorption time, clearance, and volume of distribution were estimated to be 44%, 52 h, 3.4 L/d/70 kg, and 5.9 L/70 kg, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),h,52,37393,DB00012,Darbepoetin alfa
,20881221,volume of distribution,"Absolute bioavailability, total mean absorption time, clearance, and volume of distribution were estimated to be 44%, 52 h, 3.4 L/d/70 kg, and 5.9 L/70 kg, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),[l] / [70·kg],5.9,37394,DB00012,Darbepoetin alfa
,20881221,pot,"The estimates of drug potency, efficacy, and RBC life span were 0.41 ng/mL, 64%, and 77 days, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),[ng] / [ml],0.41,37395,DB00012,Darbepoetin alfa
,20881221,efficacy,"The estimates of drug potency, efficacy, and RBC life span were 0.41 ng/mL, 64%, and 77 days, respectively.",Exposure-response modeling of darbepoetin alfa in anemic patients with chronic kidney disease not receiving dialysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20881221/),%,64,37396,DB00012,Darbepoetin alfa
