Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28747995,Ki,"Considering a typical dosing regimen and applying the obtained Ki values of 0.72 µM (darifenacin, 15 mg daily) and 7.2 µM [propiverine, 30 mg daily, immediate release (IR)] for the inhibition of CYP2D6 yielded a predicted 1.9-fold and 1.4-fold increase in the area under the curve (AUC) of debrisoquine (CYP2D6 substrate), respectively.",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,0.72,620,DB04840,Debrisoquin
,28747995,Ki,"Considering a typical dosing regimen and applying the obtained Ki values of 0.72 µM (darifenacin, 15 mg daily) and 7.2 µM [propiverine, 30 mg daily, immediate release (IR)] for the inhibition of CYP2D6 yielded a predicted 1.9-fold and 1.4-fold increase in the area under the curve (AUC) of debrisoquine (CYP2D6 substrate), respectively.",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,7.2,621,DB04840,Debrisoquin
,28747995,Ki,"Due to the inhibition of the particular intestinal CYP3A4, the obtained Ki values of 14 µM of propiverine (30 mg daily, IR) resulted in a predicted doubling of the AUC for midazolam (CYP3A4 substrate).",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,14,622,DB04840,Debrisoquin
,2493353,elimination half-life,Estimated mean elimination half-life of glyburide was 3.3 +/- 1.1 hours for EM and 2.5 +/- 0.4 hours for PM.,The metabolism of glyburide in subjects of known debrisoquin phenotype. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2493353/),h,3.3,2489,DB04840,Debrisoquin
,2493353,elimination half-life,Estimated mean elimination half-life of glyburide was 3.3 +/- 1.1 hours for EM and 2.5 +/- 0.4 hours for PM.,The metabolism of glyburide in subjects of known debrisoquin phenotype. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2493353/),h,2.5,2490,DB04840,Debrisoquin
,2493353,apparent elimination half-life,"In one subject (EM), with reduced excretion of 30H, glyburide was detected in plasma at 24 and 30 hours and the apparent elimination half-life was 9.3 hours.",The metabolism of glyburide in subjects of known debrisoquin phenotype. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2493353/),h,9.3,2491,DB04840,Debrisoquin
,3234461,maximum plasma concentrations,"Oxybutynin was rapidly absorbed, maximum plasma concentrations (8 ng.ml-1) being reached in less than 1 h.",The pharmacokinetics of oxybutynin in man. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3234461/),[ng] / [ml],8,8047,DB04840,Debrisoquin
,3234461,absolute systemic availability,The absolute systemic availability averaged 6% and the tablet and solution forms displayed similar relative systemic availability.,The pharmacokinetics of oxybutynin in man. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3234461/),%,6,8048,DB04840,Debrisoquin
,3234461,elimination half-life,"Plasma concentrations of oxybutynin fell biexponentially, the elimination half-life being about 2 h.",The pharmacokinetics of oxybutynin in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3234461/),h,2,8049,DB04840,Debrisoquin
,2861095,systemic availability,In extensive metabolizers the systemic availability of bufuralol was 43%.,Effect of oxidative polymorphism (debrisoquine/sparteine type) on hepatic first-pass metabolism of bufuralol. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2861095/),%,43,9600,DB04840,Debrisoquin
,2702801,total oral clearance,The total oral clearance of propranolol increased about fourfold in both phenotypes from 219.2 +/- 52.8 to 976.7 L/hr in the EMs and from 75.0 +/- 12.6 to 289.8 +/- 78.2 L/hr in the PMs.,Influence of debrisoquin phenotype on the inducibility of propranolol metabolism. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2702801/),[l] / [h],219.2,12007,DB04840,Debrisoquin
