Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17564707,maximum observed plasma concentration (Cmax),"The mean maximum observed plasma concentration (Cmax), 64.8-77.0 ng/ml, and the mean area under the plasma concentration-time curve (AUC0-infinity), 152-163 ng h/ml, were unchanged during dosing of decitabine for 3 days.",Pharmacokinetics of decitabine administered as a 3-h infusion to patients with acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS). ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17564707/),[ng] / [ml],64.8-77.0,28257,DB01262,Decitabine
,17564707,area under the plasma concentration-time curve (AUC0-infinity),"The mean maximum observed plasma concentration (Cmax), 64.8-77.0 ng/ml, and the mean area under the plasma concentration-time curve (AUC0-infinity), 152-163 ng h/ml, were unchanged during dosing of decitabine for 3 days.",Pharmacokinetics of decitabine administered as a 3-h infusion to patients with acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS). ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17564707/),[h·ng] / [ml],152-163,28258,DB01262,Decitabine
,17564707,terminal phase elimination half-life,"The mean values for terminal phase elimination half-life (0.62-0.78 h), total body clearance (125-132 l/h per m2), and volume of distribution at steady state (62.7-89.2 l/m2), remained unchanged during the every 8 h dosing (P>0.05).",Pharmacokinetics of decitabine administered as a 3-h infusion to patients with acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS). ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17564707/),h,0.62-0.78,28259,DB01262,Decitabine
,17564707,total body clearance,"The mean values for terminal phase elimination half-life (0.62-0.78 h), total body clearance (125-132 l/h per m2), and volume of distribution at steady state (62.7-89.2 l/m2), remained unchanged during the every 8 h dosing (P>0.05).",Pharmacokinetics of decitabine administered as a 3-h infusion to patients with acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS). ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17564707/),[l] / [h·m2],125-132,28260,DB01262,Decitabine
,17564707,volume of distribution at steady state,"The mean values for terminal phase elimination half-life (0.62-0.78 h), total body clearance (125-132 l/h per m2), and volume of distribution at steady state (62.7-89.2 l/m2), remained unchanged during the every 8 h dosing (P>0.05).",Pharmacokinetics of decitabine administered as a 3-h infusion to patients with acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS). ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17564707/),[l] / [m2],62.7-89.2,28261,DB01262,Decitabine
,2425959,peak plasma concentrations,"For 75 and 100 mg/m2 given as 1-h infusions, mean peak plasma concentrations of 0.93 and 2.01 microM, respectively, were attained.",Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2425959/),μM,0.93,31094,DB01262,Decitabine
,2425959,peak plasma concentrations,"For 75 and 100 mg/m2 given as 1-h infusions, mean peak plasma concentrations of 0.93 and 2.01 microM, respectively, were attained.",Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2425959/),μM,2.01,31095,DB01262,Decitabine
,2425959,peak plasma drug concentrations,"In one case at 30 mg/m2 and another at 60 mg/m2, peak plasma drug concentrations were determined to be 0.244 and 0.409 microM, respectively.",Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2425959/),μM,0.244,31096,DB01262,Decitabine
,2425959,peak plasma drug concentrations,"In one case at 30 mg/m2 and another at 60 mg/m2, peak plasma drug concentrations were determined to be 0.244 and 0.409 microM, respectively.",Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2425959/),μM,0.409,31097,DB01262,Decitabine
,2425959,t1/2 alpha,"Following cessation of the infusion rapid disappearance of drug from plasma was observed with a t1/2 alpha and t1/2 beta of 7 and 35 min, respectively.",Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2425959/),min,7,31098,DB01262,Decitabine
,2425959,t1/2 beta,"Following cessation of the infusion rapid disappearance of drug from plasma was observed with a t1/2 alpha and t1/2 beta of 7 and 35 min, respectively.",Phase I and pharmacokinetic study of 5-aza-2'-deoxycytidine (NSC 127716) in cancer patients. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2425959/),min,35,31099,DB01262,Decitabine
,18221921,limit of detection,"The limit of detection was determined as 1.0 and 0.125ngml(-1) and lower limits of quantitation were 10 and 1ngml(-1) for decitabine and SAHA, respectively.","Simultaneous determination of decitabine and vorinostat (Suberoylanalide hydroxamic acid, SAHA) by liquid chromatography tandem mass spectrometry for clinical studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18221921/),1/[ngml],1.0,33544,DB01262,Decitabine
,18221921,limit of detection,"The limit of detection was determined as 1.0 and 0.125ngml(-1) and lower limits of quantitation were 10 and 1ngml(-1) for decitabine and SAHA, respectively.","Simultaneous determination of decitabine and vorinostat (Suberoylanalide hydroxamic acid, SAHA) by liquid chromatography tandem mass spectrometry for clinical studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18221921/),1/[ngml],0.125,33545,DB01262,Decitabine
,18221921,limit of detection,"The limit of detection was determined as 1.0 and 0.125ngml(-1) and lower limits of quantitation were 10 and 1ngml(-1) for decitabine and SAHA, respectively.","Simultaneous determination of decitabine and vorinostat (Suberoylanalide hydroxamic acid, SAHA) by liquid chromatography tandem mass spectrometry for clinical studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18221921/),1/[ngml],10,33546,DB01262,Decitabine
,18221921,limit of detection,"The limit of detection was determined as 1.0 and 0.125ngml(-1) and lower limits of quantitation were 10 and 1ngml(-1) for decitabine and SAHA, respectively.","Simultaneous determination of decitabine and vorinostat (Suberoylanalide hydroxamic acid, SAHA) by liquid chromatography tandem mass spectrometry for clinical studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18221921/),1/[ngml],1,33547,DB01262,Decitabine
