Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
higher,26460073,recoveries,Calibration curves in spiked plasma (recoveries higher than 80%) were linear over the concentration range 150-5000 ng/mL for both VX and O-DVX.,Development of an enantioselective assay for simultaneous separation of venlafaxine and O-desmethylvenlafaxine by micellar electrokinetic chromatography-tandem mass spectrometry: Application to the analysis of drug-drug interaction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26460073/),%,80,11133,DB06700,Desvenlafaxine
,26460073,limit of detection (LOD),"The limit of detection (LOD) was found to be as low as 30 ng/mL and 21 ng/mL for O-DVX and VX, respectively.",Development of an enantioselective assay for simultaneous separation of venlafaxine and O-desmethylvenlafaxine by micellar electrokinetic chromatography-tandem mass spectrometry: Application to the analysis of drug-drug interaction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26460073/),[ng] / [ml],30,11134,DB06700,Desvenlafaxine
,26460073,limit of detection (LOD),"The limit of detection (LOD) was found to be as low as 30 ng/mL and 21 ng/mL for O-DVX and VX, respectively.",Development of an enantioselective assay for simultaneous separation of venlafaxine and O-desmethylvenlafaxine by micellar electrokinetic chromatography-tandem mass spectrometry: Application to the analysis of drug-drug interaction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26460073/),[ng] / [ml],21,11135,DB06700,Desvenlafaxine
,25069798,Cmax,"Venlafaxine Cmax was increased by 22% in the presence of ticagrelor (121.83 ng/mL [90% CI, 111.80-132.75]).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],121.83,30557,DB06700,Desvenlafaxine
,25069798,AUC0-τ,"ODV AUC0-τ and Cmax were unaffected by coadministration with ticagrelor (98.71 ng · h/mL [90% CI, 96.61-100.85] and 101.44 ng/mL [90% CI, 98.34-104.65], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[h·ng] / [ml],98.71,30558,DB06700,Desvenlafaxine
,25069798,Cmax,"ODV AUC0-τ and Cmax were unaffected by coadministration with ticagrelor (98.71 ng · h/mL [90% CI, 96.61-100.85] and 101.44 ng/mL [90% CI, 98.34-104.65], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],101.44,30559,DB06700,Desvenlafaxine
,25069798,Cmax,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],96.54,30560,DB06700,Desvenlafaxine
,25069798,Cmax,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],106.39,30561,DB06700,Desvenlafaxine
,25069798,AUC0-∞,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[h·ng] / [ml],89.67,30562,DB06700,Desvenlafaxine
,25069798,AUC0-∞,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[h·ng] / [ml],106.32,30563,DB06700,Desvenlafaxine
