Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16080280,maximum plasma concentrations,"For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[ng] / [ml],3.36,2,DB00586,Diclofenac
,16080280,"C(max, 0-12)","For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[ng] / [ml],3.36,3,DB00586,Diclofenac
,16080280,"C(max, 12-24)","For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[ng] / [ml],3.73,4,DB00586,Diclofenac
,16080280,"C(max, 0-24)","For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[ng] / [ml],3.84,5,DB00586,Diclofenac
,16080280,areas under the plasma concentration-time curve (AUC),"For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[h·ng] / [ml],31.11,6,DB00586,Diclofenac
,16080280,AUC(0-12,"For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[h·ng] / [ml],31.11,7,DB00586,Diclofenac
,16080280,AUC(12.24),"For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[h·ng] / [ml],34.83,8,DB00586,Diclofenac
,16080280,AUC(0-24),"For the test preparation, maximum plasma concentrations of 3.36 ng/ml (C(max, 0-12)), 3.73 ng/ml (C(max, 12-24)) and 3.84 ng/ml (C(max, 0-24)) as well as areas under the plasma concentration-time curve (AUC) of 31.11 ng x h/ml (AUC(0-12), 34.83 ng x h/ml (AUC(12.24)) and 65.94 ng x h/ml (AUC(0-24)) were determined.",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[h·ng] / [ml],65.94,9,DB00586,Diclofenac
,16080280,"C(max, 0-12)","For the reference preparation, these values were 1.55 ng/ml (C(max, 0-12)), 1.45 ng/ml (C(max, 12-24) and 1.57 ng/ml (C(max, 0-24)) as well as 13.28 ng x h/ml (AUC(0-12)), 12.68 ng x h/ml (AUC(12-24)) and 25.96 ng x h/ml (AUC(0-24)).",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[ng] / [ml],1.55,10,DB00586,Diclofenac
,16080280,"C(max, 12-24","For the reference preparation, these values were 1.55 ng/ml (C(max, 0-12)), 1.45 ng/ml (C(max, 12-24) and 1.57 ng/ml (C(max, 0-24)) as well as 13.28 ng x h/ml (AUC(0-12)), 12.68 ng x h/ml (AUC(12-24)) and 25.96 ng x h/ml (AUC(0-24)).",Determination of the transdermal bioavailability of a newly developed diclofenac sodium patch in comparison with a reference preparation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16080280/),[ng] / [ml],1.45,11,DB00586,Diclofenac
