Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30659611,Tmax,"DHE plasma levels following INP104 1.45 mg administration reached 93% of Cmax by 20 minutes and were comparable to IV DHE 1.0 mg by 30 minutes (1219 ng/mL for INP104 vs 1224 ng/mL for IV DHE), which was the Tmax for INP104.","STOP 101: A Phase 1, Randomized, Open-Label, Comparative Bioavailability Study of INP104, Dihydroergotamine Mesylate (DHE) Administered Intranasally by a I123 Precision Olfactory Delivery (POD® ) Device, in Healthy Adult Subjects. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30659611/),[ng] / [ml],1219,19228,DB00320,Dihydroergotamine
,30659611,Tmax,"DHE plasma levels following INP104 1.45 mg administration reached 93% of Cmax by 20 minutes and were comparable to IV DHE 1.0 mg by 30 minutes (1219 ng/mL for INP104 vs 1224 ng/mL for IV DHE), which was the Tmax for INP104.","STOP 101: A Phase 1, Randomized, Open-Label, Comparative Bioavailability Study of INP104, Dihydroergotamine Mesylate (DHE) Administered Intranasally by a I123 Precision Olfactory Delivery (POD® ) Device, in Healthy Adult Subjects. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30659611/),[ng] / [ml],1224,19229,DB00320,Dihydroergotamine
,30659611,Cmax,"In comparison, the Cmax for Migranal was 299.6 pg/mL (approximately 4-fold less than INP104) and occurred at 47 minutes, 17 minutes later than INP104.","STOP 101: A Phase 1, Randomized, Open-Label, Comparative Bioavailability Study of INP104, Dihydroergotamine Mesylate (DHE) Administered Intranasally by a I123 Precision Olfactory Delivery (POD® ) Device, in Healthy Adult Subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30659611/),[pg] / [ml],299.6,19230,DB00320,Dihydroergotamine
,30659611,AUC0-inf,"Plasma DHE AUC0-inf were 6275, 7490, and 2199 h*pg/mL for INP104, IV DHE, and Migranal, respectively.","STOP 101: A Phase 1, Randomized, Open-Label, Comparative Bioavailability Study of INP104, Dihydroergotamine Mesylate (DHE) Administered Intranasally by a I123 Precision Olfactory Delivery (POD® ) Device, in Healthy Adult Subjects. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30659611/),[h·pg] / [ml],6275,19231,DB00320,Dihydroergotamine
,30659611,AUC0-inf,"Plasma DHE AUC0-inf were 6275, 7490, and 2199 h*pg/mL for INP104, IV DHE, and Migranal, respectively.","STOP 101: A Phase 1, Randomized, Open-Label, Comparative Bioavailability Study of INP104, Dihydroergotamine Mesylate (DHE) Administered Intranasally by a I123 Precision Olfactory Delivery (POD® ) Device, in Healthy Adult Subjects. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30659611/),[h·pg] / [ml],7490,19232,DB00320,Dihydroergotamine
,30659611,AUC0-inf,"Plasma DHE AUC0-inf were 6275, 7490, and 2199 h*pg/mL for INP104, IV DHE, and Migranal, respectively.","STOP 101: A Phase 1, Randomized, Open-Label, Comparative Bioavailability Study of INP104, Dihydroergotamine Mesylate (DHE) Administered Intranasally by a I123 Precision Olfactory Delivery (POD® ) Device, in Healthy Adult Subjects. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30659611/),[h·pg] / [ml],2199,19233,DB00320,Dihydroergotamine
,403149,invasion half-life,The mean invasion half-life was 0.5 hours (range 0.32-1.12 hours).,Comparative pharmacokinetic investigations with tritium-labeled ergot alkaloids after oral and intravenous administration man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/403149/),h,0.5,20609,DB00320,Dihydroergotamine
,403149,elimination half-lives,"The mean elimination half-lives ranged from 1.4-6.2 hours for the alpha-phase and from 13 to 50 hours for the beta-phase, the longest values being observed with bromocriptine.",Comparative pharmacokinetic investigations with tritium-labeled ergot alkaloids after oral and intravenous administration man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/403149/),h,1.4-6.2,20610,DB00320,Dihydroergotamine
,403149,elimination half-lives,"The mean elimination half-lives ranged from 1.4-6.2 hours for the alpha-phase and from 13 to 50 hours for the beta-phase, the longest values being observed with bromocriptine.",Comparative pharmacokinetic investigations with tritium-labeled ergot alkaloids after oral and intravenous administration man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/403149/),h,13 to 50,20611,DB00320,Dihydroergotamine
,1653135,Bioavailability,Bioavailability was nearly 100% after subcutaneous administration and averaged 14% after oral administration.,"The clinical pharmacology, pharmacokinetics and metabolism of sumatriptan. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1653135/),%,100,23503,DB00320,Dihydroergotamine
