Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,20561830,run time,Chromatographic separation was achieved in a run time of 3.5 min on a C(18) column under isocratic conditions.,"Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),min,3.5,43373,DB00985,Dimenhydrinate
,20561830,m/z,"The protonated precursor to product ion transitions monitored for VP, AVA and IS were m/z 351.4-->280.2, 323.2-->280.2 and 256.2-->167.3 respectively.","Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),,351.4,43374,DB00985,Dimenhydrinate
,20561830,m/z,"The protonated precursor to product ion transitions monitored for VP, AVA and IS were m/z 351.4-->280.2, 323.2-->280.2 and 256.2-->167.3 respectively.","Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),,280.2,43375,DB00985,Dimenhydrinate
,20561830,m/z,"The protonated precursor to product ion transitions monitored for VP, AVA and IS were m/z 351.4-->280.2, 323.2-->280.2 and 256.2-->167.3 respectively.","Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),,323.2,43376,DB00985,Dimenhydrinate
,20561830,m/z,"The protonated precursor to product ion transitions monitored for VP, AVA and IS were m/z 351.4-->280.2, 323.2-->280.2 and 256.2-->167.3 respectively.","Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),,280.2,43377,DB00985,Dimenhydrinate
,20561830,m/z,"The protonated precursor to product ion transitions monitored for VP, AVA and IS were m/z 351.4-->280.2, 323.2-->280.2 and 256.2-->167.3 respectively.","Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),,256.2,43378,DB00985,Dimenhydrinate
,20561830,m/z,"The protonated precursor to product ion transitions monitored for VP, AVA and IS were m/z 351.4-->280.2, 323.2-->280.2 and 256.2-->167.3 respectively.","Determination of vinpocetine and its primary metabolite, apovincaminic acid, in rat plasma by liquid chromatography-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20561830/),,167.3,43379,DB00985,Dimenhydrinate
,17452029,flow rate,"Reverse-phase HPLC separation was accomplished on a Zorbax SB-C18 column (100 mm x 3.0 mm, 3.5 microm) with a mobile phase composed of methanol-water-formic acid (65:35:0.5, v/v/v) at a flow rate of 0.2 mL/min.",Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of D-amphetamine and diphenhydramine in beagle dog plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17452029/),[ml] / [min],0.2,43873,DB00985,Dimenhydrinate
,17452029,total run time,The method had a chromatographic total run time of 5 min.,Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of D-amphetamine and diphenhydramine in beagle dog plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17452029/),min,5,43874,DB00985,Dimenhydrinate
,17452029,m/,"A Varian 1200 L electrospray tandem mass spectrometer equipped with an electrospray ionization source was operated in selected reaction monitoring (SRM) mode with the precursor-to-product ion transitions m/z 136.0-->91.0 (D-amphetamine), 256.0-->167.0 (diphenhydramine) and 166.1-->148.0 (IS) used for quantitation.",Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of D-amphetamine and diphenhydramine in beagle dog plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17452029/),,136.0,43875,DB00985,Dimenhydrinate
,17452029,m/,"A Varian 1200 L electrospray tandem mass spectrometer equipped with an electrospray ionization source was operated in selected reaction monitoring (SRM) mode with the precursor-to-product ion transitions m/z 136.0-->91.0 (D-amphetamine), 256.0-->167.0 (diphenhydramine) and 166.1-->148.0 (IS) used for quantitation.",Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of D-amphetamine and diphenhydramine in beagle dog plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17452029/),,91.0,43876,DB00985,Dimenhydrinate
,17452029,m/,"A Varian 1200 L electrospray tandem mass spectrometer equipped with an electrospray ionization source was operated in selected reaction monitoring (SRM) mode with the precursor-to-product ion transitions m/z 136.0-->91.0 (D-amphetamine), 256.0-->167.0 (diphenhydramine) and 166.1-->148.0 (IS) used for quantitation.",Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of D-amphetamine and diphenhydramine in beagle dog plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17452029/),,256.0,43877,DB00985,Dimenhydrinate
,17452029,m/,"A Varian 1200 L electrospray tandem mass spectrometer equipped with an electrospray ionization source was operated in selected reaction monitoring (SRM) mode with the precursor-to-product ion transitions m/z 136.0-->91.0 (D-amphetamine), 256.0-->167.0 (diphenhydramine) and 166.1-->148.0 (IS) used for quantitation.",Development and validation of a liquid chromatography/tandem mass spectrometry assay for the simultaneous determination of D-amphetamine and diphenhydramine in beagle dog plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17452029/),,166.1,43878,DB00985,Dimenhydrinate
,21251889,total run time,"The total run time was 9.0 min and the elution of SASP, SP and 5-ASA was at 4.8 min, 2.5 min and 2.0 min, respectively.",Determination of sulphasalazine and its main metabolite sulphapyridine and 5-aminosalicylic acid in human plasma by liquid chromatography/tandem mass spectrometry and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21251889/),min,9.0,59775,DB00985,Dimenhydrinate
,21251889,elution,"The total run time was 9.0 min and the elution of SASP, SP and 5-ASA was at 4.8 min, 2.5 min and 2.0 min, respectively.",Determination of sulphasalazine and its main metabolite sulphapyridine and 5-aminosalicylic acid in human plasma by liquid chromatography/tandem mass spectrometry and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21251889/),min,4.8,59776,DB00985,Dimenhydrinate
,21251889,elution,"The total run time was 9.0 min and the elution of SASP, SP and 5-ASA was at 4.8 min, 2.5 min and 2.0 min, respectively.",Determination of sulphasalazine and its main metabolite sulphapyridine and 5-aminosalicylic acid in human plasma by liquid chromatography/tandem mass spectrometry and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21251889/),min,2.5,59777,DB00985,Dimenhydrinate
,21251889,elution,"The total run time was 9.0 min and the elution of SASP, SP and 5-ASA was at 4.8 min, 2.5 min and 2.0 min, respectively.",Determination of sulphasalazine and its main metabolite sulphapyridine and 5-aminosalicylic acid in human plasma by liquid chromatography/tandem mass spectrometry and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21251889/),min,2.0,59778,DB00985,Dimenhydrinate
,17442639,m/z,"The selected reaction monitoring (SRM) was set using precursor ion and product ion combinations of m/z 256.0>167.0 and m/z 325.0>109.0 for I and II, respectively.",Determination of dimenhydrinate in human plasma by liquid chromatography-electrospray tandem mass spectrometry: application to a relative bioavailability study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442639/),,256.0,64109,DB00985,Dimenhydrinate
>,17442639,m/z,"The selected reaction monitoring (SRM) was set using precursor ion and product ion combinations of m/z 256.0>167.0 and m/z 325.0>109.0 for I and II, respectively.",Determination of dimenhydrinate in human plasma by liquid chromatography-electrospray tandem mass spectrometry: application to a relative bioavailability study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442639/),,167.0,64110,DB00985,Dimenhydrinate
>,17442639,m/z,"The selected reaction monitoring (SRM) was set using precursor ion and product ion combinations of m/z 256.0>167.0 and m/z 325.0>109.0 for I and II, respectively.",Determination of dimenhydrinate in human plasma by liquid chromatography-electrospray tandem mass spectrometry: application to a relative bioavailability study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442639/),,325.0,64111,DB00985,Dimenhydrinate
>,17442639,m/z,"The selected reaction monitoring (SRM) was set using precursor ion and product ion combinations of m/z 256.0>167.0 and m/z 325.0>109.0 for I and II, respectively.",Determination of dimenhydrinate in human plasma by liquid chromatography-electrospray tandem mass spectrometry: application to a relative bioavailability study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442639/),,109.0,64112,DB00985,Dimenhydrinate
,17442639,limit of quantification (LOQ),"The limit of quantification (LOQ) was 0.4 ng/mL, the dynamic range being 0.4-200 ng/mL.",Determination of dimenhydrinate in human plasma by liquid chromatography-electrospray tandem mass spectrometry: application to a relative bioavailability study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17442639/),[ng] / [ml],0.4,64113,DB00985,Dimenhydrinate
,2328304,peak plasma concentrations,"Mean peak plasma concentrations after sublingual administration were slightly lower than after oral dosage (38.3 vs 47.8 ng ml-1), and the time of peak concentration was similar (2.6 vs 2.3 h after dose).","Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),[ng] / [ml],38.3,154753,DB00985,Dimenhydrinate
,2328304,peak plasma concentrations,"Mean peak plasma concentrations after sublingual administration were slightly lower than after oral dosage (38.3 vs 47.8 ng ml-1), and the time of peak concentration was similar (2.6 vs 2.3 h after dose).","Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),[ng] / [ml],47.8,154754,DB00985,Dimenhydrinate
,2328304,time of peak concentration,"Mean peak plasma concentrations after sublingual administration were slightly lower than after oral dosage (38.3 vs 47.8 ng ml-1), and the time of peak concentration was similar (2.6 vs 2.3 h after dose).","Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),h,2.6,154755,DB00985,Dimenhydrinate
,2328304,time of peak concentration,"Mean peak plasma concentrations after sublingual administration were slightly lower than after oral dosage (38.3 vs 47.8 ng ml-1), and the time of peak concentration was similar (2.6 vs 2.3 h after dose).","Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),h,2.3,154756,DB00985,Dimenhydrinate
,2328304,total area under the plasma concentration-time curve (AUC),The mean total area under the plasma concentration-time curve (AUC) for sublingual administration was slightly but not significantly smaller than after oral dosage (221 vs 270 h ng ml-1).,"Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),[h·ng] / [ml],221,154757,DB00985,Dimenhydrinate
,2328304,total area under the plasma concentration-time curve (AUC),The mean total area under the plasma concentration-time curve (AUC) for sublingual administration was slightly but not significantly smaller than after oral dosage (221 vs 270 h ng ml-1).,"Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),[h·ng] / [ml],270,154758,DB00985,Dimenhydrinate
,2328304,Systemic availability,"Systemic availability of diphenhydramine after sublingual dimenhydrinate, measured by the ratio of oral AUC to intravenous AUC, was slightly less than after oral dimenhydrinate (0.58 vs 0.69, NS), and both were significantly less than 1.0.","Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),,0.58,154759,DB00985,Dimenhydrinate
,2328304,Systemic availability,"Systemic availability of diphenhydramine after sublingual dimenhydrinate, measured by the ratio of oral AUC to intravenous AUC, was slightly less than after oral dimenhydrinate (0.58 vs 0.69, NS), and both were significantly less than 1.0.","Diphenhydramine kinetics following intravenous, oral, and sublingual dimenhydrinate administration. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2328304/),,0.69,154760,DB00985,Dimenhydrinate
,16719539,constant rate,The remainder is released at a constant rate of approximately 5 microg/hour.,Transdermal scopolamine for prevention of motion sickness : clinical pharmacokinetics and therapeutic applications. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16719539/),[μg] / [h],5,174190,DB00985,Dimenhydrinate
,16719539,steady state,TTS-S attains that concentration after 6 hours; a steady state of about 100 pg/mL is achieved 8-12 hours after application.,Transdermal scopolamine for prevention of motion sickness : clinical pharmacokinetics and therapeutic applications. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16719539/),[pg] / [ml],100,174191,DB00985,Dimenhydrinate
,12851661,AUC(0-24h),Analytical data revealed the following kinetic parameters: AUC(0-24h): 155.2h x ng x ml(-1); AUC(0-infinity): 195.3 h x ng x ml(-1); Mean resident time: 16 h; t(1/2): 10 h; C(max): 14.5 ng x ml(-1); t(max): 2.6 h; and plasma clearance: 9.0 ml x min(-1) x kg(-1).,Pharmacokinetics of diphenhydramine in healthy volunteers with a dimenhydrinate 25 mg chewing gum formulation. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12851661/),[h·ng] / [ml],155.2,182433,DB00985,Dimenhydrinate
,12851661,AUC(0-infinity),Analytical data revealed the following kinetic parameters: AUC(0-24h): 155.2h x ng x ml(-1); AUC(0-infinity): 195.3 h x ng x ml(-1); Mean resident time: 16 h; t(1/2): 10 h; C(max): 14.5 ng x ml(-1); t(max): 2.6 h; and plasma clearance: 9.0 ml x min(-1) x kg(-1).,Pharmacokinetics of diphenhydramine in healthy volunteers with a dimenhydrinate 25 mg chewing gum formulation. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12851661/),[h·ng] / [ml],195.3,182434,DB00985,Dimenhydrinate
