Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,33773271,Tmax,PK data showed CSF MMF concentration 11% of plasma with Tmax of plasma at 5 hr and Tmax of CSF at 7 hr.,A pharmacokinetic and biomarker study of delayed-release dimethyl fumarate in subjects with secondary progressive multiple sclerosis: evaluation of cerebrospinal fluid penetration and the effects on exploratory biomarkers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33773271/),h,5,627,DB08908,Dimethyl fumarate
,33773271,Tmax,PK data showed CSF MMF concentration 11% of plasma with Tmax of plasma at 5 hr and Tmax of CSF at 7 hr.,A pharmacokinetic and biomarker study of delayed-release dimethyl fumarate in subjects with secondary progressive multiple sclerosis: evaluation of cerebrospinal fluid penetration and the effects on exploratory biomarkers. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33773271/),h,7,628,DB08908,Dimethyl fumarate
,27983793,PDI,"The developed DMF-tocopherol acetate NLCs offered an average size of 69.70 nm, PDI of 0.317, and a zeta potential of -9.71 mV.","Enhanced Brain Delivery of Dimethyl Fumarate Employing Tocopherol-Acetate-Based Nanolipidic Carriers: Evidence from Pharmacokinetic, Biodistribution, and Cellular Uptake Studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27983793/),,0.317,78063,DB08908,Dimethyl fumarate
,27983793,zeta potential,"The developed DMF-tocopherol acetate NLCs offered an average size of 69.70 nm, PDI of 0.317, and a zeta potential of -9.71 mV.","Enhanced Brain Delivery of Dimethyl Fumarate Employing Tocopherol-Acetate-Based Nanolipidic Carriers: Evidence from Pharmacokinetic, Biodistribution, and Cellular Uptake Studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27983793/),m,-,78064,DB08908,Dimethyl fumarate
,27983793,zeta potential,"The developed DMF-tocopherol acetate NLCs offered an average size of 69.70 nm, PDI of 0.317, and a zeta potential of -9.71 mV.","Enhanced Brain Delivery of Dimethyl Fumarate Employing Tocopherol-Acetate-Based Nanolipidic Carriers: Evidence from Pharmacokinetic, Biodistribution, and Cellular Uptake Studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27983793/),m,9.71,78065,DB08908,Dimethyl fumarate
,26849839,recovery,"Quantitative determination of fampridine (FAM), teriflunomide (TFM) and dimethyl fumarate (DMF) was performed in human plasma with the recovery values in the range of 85-115%.","Comparison of LC-UV and LC-MS methods for simultaneous determination of teriflunomide, dimethyl fumarate and fampridine in human plasma: application to rat pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26849839/),%,85-115,116139,DB08908,Dimethyl fumarate
,26849839,flow rate,The method utilizes an XBridge C18 silica column and a gradient elution with mobile phase consisting of ammonium formate and acetonitrile at a flow rate of 0.5 mL min(-1) .,"Comparison of LC-UV and LC-MS methods for simultaneous determination of teriflunomide, dimethyl fumarate and fampridine in human plasma: application to rat pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26849839/),[ml] / [min],0.5,116140,DB08908,Dimethyl fumarate
,26849839,detection,"With LC-MS, the detection and quantification limits for all of the analytes were 1 and 5 ng, respectively.","Comparison of LC-UV and LC-MS methods for simultaneous determination of teriflunomide, dimethyl fumarate and fampridine in human plasma: application to rat pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26849839/),ng,1,116141,DB08908,Dimethyl fumarate
,26849839,q,"With LC-MS, the detection and quantification limits for all of the analytes were 1 and 5 ng, respectively.","Comparison of LC-UV and LC-MS methods for simultaneous determination of teriflunomide, dimethyl fumarate and fampridine in human plasma: application to rat pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26849839/),ng,1,116142,DB08908,Dimethyl fumarate
,26849839,q,"With LC-MS, the detection and quantification limits for all of the analytes were 1 and 5 ng, respectively.","Comparison of LC-UV and LC-MS methods for simultaneous determination of teriflunomide, dimethyl fumarate and fampridine in human plasma: application to rat pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26849839/),ng,5,116143,DB08908,Dimethyl fumarate
