Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,10579149,apparent oral clearance,Disulfiram treatment decreased 6-hydroxychlorzoxazone formation clearance by nearly 95% but effected only a modest decrease in vesnarinone apparent oral clearance (5.7 +/- 1.0 vs. 5.0 +/- 0.5 ml/min; p = 0.022).,Effect of disulfiram-mediated CYP2E1 inhibition on the disposition of vesnarinone. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10579149/),[ml] / [min],5.7,14005,DB00822,Disulfiram
,10579149,apparent oral clearance,Disulfiram treatment decreased 6-hydroxychlorzoxazone formation clearance by nearly 95% but effected only a modest decrease in vesnarinone apparent oral clearance (5.7 +/- 1.0 vs. 5.0 +/- 0.5 ml/min; p = 0.022).,Effect of disulfiram-mediated CYP2E1 inhibition on the disposition of vesnarinone. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10579149/),[ml] / [min],5.0,14006,DB00822,Disulfiram
,10579149,Cmax,"The Cmax of OPC-18692 was increased approximately 7-fold, and the area under the plasma concentration-time curve was increased 18-fold (2.9 +/- 0.9 vs. 53.7 +/- 33.2 micrograms.h/ml; p = 0.006).",Effect of disulfiram-mediated CYP2E1 inhibition on the disposition of vesnarinone. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10579149/),[h·μg] / [ml],2.9,14007,DB00822,Disulfiram
,10579149,area under the plasma concentration-time curve,"The Cmax of OPC-18692 was increased approximately 7-fold, and the area under the plasma concentration-time curve was increased 18-fold (2.9 +/- 0.9 vs. 53.7 +/- 33.2 micrograms.h/ml; p = 0.006).",Effect of disulfiram-mediated CYP2E1 inhibition on the disposition of vesnarinone. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10579149/),[h·μg] / [ml],2.9,14008,DB00822,Disulfiram
,10579149,area under the plasma concentration-time curve,"The Cmax of OPC-18692 was increased approximately 7-fold, and the area under the plasma concentration-time curve was increased 18-fold (2.9 +/- 0.9 vs. 53.7 +/- 33.2 micrograms.h/ml; p = 0.006).",Effect of disulfiram-mediated CYP2E1 inhibition on the disposition of vesnarinone. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10579149/),[h·μg] / [ml],53.7,14009,DB00822,Disulfiram
,8595092,minimum absorption,"Based on the excretion of radioactivity in urine, the minimum absorption was about 73%.","Fate and distribution of [14C]S-(N,N-diethyldithiocarbamoyl)-N-acetyl-L-cysteine, an antimutagenic mixed disulfide from disulfiram, in rats. ",ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8595092/),%,73,27870,DB00822,Disulfiram
,8595092,Cmax,"Mean Cmax value for N,N-diethyldithiocarbamate (DDTC) after oral dose of AC-DDTC (20 mg/kg) was 3.8 +/- 0.2 nmol/ml at 15 min and the mean residence time was 47.1 +/- 2.8 min.","Fate and distribution of [14C]S-(N,N-diethyldithiocarbamoyl)-N-acetyl-L-cysteine, an antimutagenic mixed disulfide from disulfiram, in rats. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8595092/),[nM] / [ml],3.8,27871,DB00822,Disulfiram
,8595092,mean residence time,"Mean Cmax value for N,N-diethyldithiocarbamate (DDTC) after oral dose of AC-DDTC (20 mg/kg) was 3.8 +/- 0.2 nmol/ml at 15 min and the mean residence time was 47.1 +/- 2.8 min.","Fate and distribution of [14C]S-(N,N-diethyldithiocarbamoyl)-N-acetyl-L-cysteine, an antimutagenic mixed disulfide from disulfiram, in rats. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8595092/),min,47.1,27872,DB00822,Disulfiram
,8513656,elimination clearance,"Disulfiram pretreatment markedly decreased chlorzoxazone elimination clearance to 15% of control values (from 3.28 +/- 1.40 to 0.49 +/- 0.07 ml/kg/min, p < 0.005), prolonged the elimination half-life (from 0.92 +/- 0.32 to 5.1 +/- 0.9 hours, p < 0.001), and caused a twofold increase in peak plasma chlorzoxazone concentrations (20.6 +/- 9.9 versus 38.7 +/- 10.3 micrograms/ml, p < 0.001).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),[ml] / [kg·min],3.28,40734,DB00822,Disulfiram
,8513656,elimination clearance,"Disulfiram pretreatment markedly decreased chlorzoxazone elimination clearance to 15% of control values (from 3.28 +/- 1.40 to 0.49 +/- 0.07 ml/kg/min, p < 0.005), prolonged the elimination half-life (from 0.92 +/- 0.32 to 5.1 +/- 0.9 hours, p < 0.001), and caused a twofold increase in peak plasma chlorzoxazone concentrations (20.6 +/- 9.9 versus 38.7 +/- 10.3 micrograms/ml, p < 0.001).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),[ml] / [kg·min],0.49,40735,DB00822,Disulfiram
,8513656,elimination half-life,"Disulfiram pretreatment markedly decreased chlorzoxazone elimination clearance to 15% of control values (from 3.28 +/- 1.40 to 0.49 +/- 0.07 ml/kg/min, p < 0.005), prolonged the elimination half-life (from 0.92 +/- 0.32 to 5.1 +/- 0.9 hours, p < 0.001), and caused a twofold increase in peak plasma chlorzoxazone concentrations (20.6 +/- 9.9 versus 38.7 +/- 10.3 micrograms/ml, p < 0.001).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),h,0.92,40736,DB00822,Disulfiram
,8513656,elimination half-life,"Disulfiram pretreatment markedly decreased chlorzoxazone elimination clearance to 15% of control values (from 3.28 +/- 1.40 to 0.49 +/- 0.07 ml/kg/min, p < 0.005), prolonged the elimination half-life (from 0.92 +/- 0.32 to 5.1 +/- 0.9 hours, p < 0.001), and caused a twofold increase in peak plasma chlorzoxazone concentrations (20.6 +/- 9.9 versus 38.7 +/- 10.3 micrograms/ml, p < 0.001).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),h,5.1,40737,DB00822,Disulfiram
,8513656,peak plasma chlorzoxazone concentrations,"Disulfiram pretreatment markedly decreased chlorzoxazone elimination clearance to 15% of control values (from 3.28 +/- 1.40 to 0.49 +/- 0.07 ml/kg/min, p < 0.005), prolonged the elimination half-life (from 0.92 +/- 0.32 to 5.1 +/- 0.9 hours, p < 0.001), and caused a twofold increase in peak plasma chlorzoxazone concentrations (20.6 +/- 9.9 versus 38.7 +/- 10.3 micrograms/ml, p < 0.001).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),[μg] / [ml],20.6,40738,DB00822,Disulfiram
,8513656,peak plasma chlorzoxazone concentrations,"Disulfiram pretreatment markedly decreased chlorzoxazone elimination clearance to 15% of control values (from 3.28 +/- 1.40 to 0.49 +/- 0.07 ml/kg/min, p < 0.005), prolonged the elimination half-life (from 0.92 +/- 0.32 to 5.1 +/- 0.9 hours, p < 0.001), and caused a twofold increase in peak plasma chlorzoxazone concentrations (20.6 +/- 9.9 versus 38.7 +/- 10.3 micrograms/ml, p < 0.001).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),[μg] / [ml],38.7,40739,DB00822,Disulfiram
,8513656,formation clearance,"Disulfiram also profoundly decreased the formation clearance of 6-hydroxychlorzoxazone, from 2.30 +/- 0.93 to 0.17 +/- 0.05 ml/kg/min (p < 0.005).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),[ml] / [kg·min],2.30,40740,DB00822,Disulfiram
,8513656,formation clearance,"Disulfiram also profoundly decreased the formation clearance of 6-hydroxychlorzoxazone, from 2.30 +/- 0.93 to 0.17 +/- 0.05 ml/kg/min (p < 0.005).",Single-dose disulfiram inhibition of chlorzoxazone metabolism: a clinical probe for P450 2E1. ,CLint -Q3,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8513656/),[ml] / [kg·min],0.17,40741,DB00822,Disulfiram
,3005541,clearance,The results showed that the clearance of alcohol was 0.0226 l/min/kg and the elimination rate constant of acetaldehyde from the liver compartment was very large and 35 min-1.,"Effects of diethyldithiocarbamate, a metabolite of disulfiram, on the pharmacokinetics of alcohol and acetaldehyde in the rat. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3005541/),[l] / [kg·min],0.0226,41252,DB00822,Disulfiram
,3005541,elimination rate constant,The results showed that the clearance of alcohol was 0.0226 l/min/kg and the elimination rate constant of acetaldehyde from the liver compartment was very large and 35 min-1.,"Effects of diethyldithiocarbamate, a metabolite of disulfiram, on the pharmacokinetics of alcohol and acetaldehyde in the rat. ",k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3005541/),1/[min],35,41253,DB00822,Disulfiram
