Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,31055183,flow,"Protein precipitation was performed on 10 μL of plasma and 2 μL of urine samples using dofetilide-D4 as an internal standard, and separation of the analyte was accomplished on a C18 analytical column with the flow of 0.40 mL/min.","Development and validation of a UPLC-MS/MS analytical method for dofetilide in mouse plasma and urine, and its application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31055183/),[ml] / [min],0.40,38240,DB00204,Dofetilide
,31055183,recovery,"The intra-day and inter-day precisions, and accuracies obtained from a 5-day validation ranged from 3.00 to 7.10%, 3.80-7.20%, and 93.0-106% for plasma, and 3.50-9.00%, 3.70-10.0%, 87.0-106% for urine, while the recovery of dofetilide was 93.7% and 97.4% in plasma and urine, respectively.","Development and validation of a UPLC-MS/MS analytical method for dofetilide in mouse plasma and urine, and its application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31055183/),%,93.7,38241,DB00204,Dofetilide
,31055183,recovery,"The intra-day and inter-day precisions, and accuracies obtained from a 5-day validation ranged from 3.00 to 7.10%, 3.80-7.20%, and 93.0-106% for plasma, and 3.50-9.00%, 3.70-10.0%, 87.0-106% for urine, while the recovery of dofetilide was 93.7% and 97.4% in plasma and urine, respectively.","Development and validation of a UPLC-MS/MS analytical method for dofetilide in mouse plasma and urine, and its application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31055183/),%,97.4,38242,DB00204,Dofetilide
,31055183,absolute bioavailability,Pharmacokinetic studies illustrate that the absolute bioavailability of dofetilide in the FVB strain mice is 34.5%.,"Development and validation of a UPLC-MS/MS analytical method for dofetilide in mouse plasma and urine, and its application to pharmacokinetic study. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31055183/),%,34.5,38243,DB00204,Dofetilide
,17689270,CE10ms,"In the conscious telemetered, conscious paced, and anesthetized dog models, the mean CE10ms values were 1.4, 4.0, and 2.5 nM for dofetilide and 1300, 1800, and 12,200 nM for moxifloxacin.",Comparison of the QT interval response during sinus and paced rhythm in conscious and anesthetized beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17689270/),nM,1.4,41849,DB00204,Dofetilide
,17689270,CE10ms,"In the conscious telemetered, conscious paced, and anesthetized dog models, the mean CE10ms values were 1.4, 4.0, and 2.5 nM for dofetilide and 1300, 1800, and 12,200 nM for moxifloxacin.",Comparison of the QT interval response during sinus and paced rhythm in conscious and anesthetized beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17689270/),nM,4.0,41850,DB00204,Dofetilide
,17689270,CE10ms,"In the conscious telemetered, conscious paced, and anesthetized dog models, the mean CE10ms values were 1.4, 4.0, and 2.5 nM for dofetilide and 1300, 1800, and 12,200 nM for moxifloxacin.",Comparison of the QT interval response during sinus and paced rhythm in conscious and anesthetized beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17689270/),nM,2.5,41851,DB00204,Dofetilide
,17689270,CE10ms,"In the conscious telemetered, conscious paced, and anesthetized dog models, the mean CE10ms values were 1.4, 4.0, and 2.5 nM for dofetilide and 1300, 1800, and 12,200 nM for moxifloxacin.",Comparison of the QT interval response during sinus and paced rhythm in conscious and anesthetized beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17689270/),nM,1300,41852,DB00204,Dofetilide
,17689270,CE10ms,"In the conscious telemetered, conscious paced, and anesthetized dog models, the mean CE10ms values were 1.4, 4.0, and 2.5 nM for dofetilide and 1300, 1800, and 12,200 nM for moxifloxacin.",Comparison of the QT interval response during sinus and paced rhythm in conscious and anesthetized beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17689270/),nM,1800,41853,DB00204,Dofetilide
,17689270,CE10ms,"In the conscious telemetered, conscious paced, and anesthetized dog models, the mean CE10ms values were 1.4, 4.0, and 2.5 nM for dofetilide and 1300, 1800, and 12,200 nM for moxifloxacin.",Comparison of the QT interval response during sinus and paced rhythm in conscious and anesthetized beagle dogs. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17689270/),nM,"12,200",41854,DB00204,Dofetilide
