Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3410586,t 1/2,"In CHF patients t 1/2 of total epinine was significantly higher than in NS (4.1 +/- 0.2 h vs 3.1 +/- 0.2 h, mean +/- SE).",Ibopamine kinetics after a single oral dose in patients with congestive heart failure. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3410586/),h,4.1,778,DB00988,Dopamine
,3410586,t 1/2,"In CHF patients t 1/2 of total epinine was significantly higher than in NS (4.1 +/- 0.2 h vs 3.1 +/- 0.2 h, mean +/- SE).",Ibopamine kinetics after a single oral dose in patients with congestive heart failure. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3410586/),h,3.1,779,DB00988,Dopamine
,3410586,total urinary recoveries,"The mean +/- SE total urinary recoveries in the 24 h after dosing, expressed as percentages of the administered dose, were 60 +/- 3 in CHF patients and 69 +/- 4 in NS.",Ibopamine kinetics after a single oral dose in patients with congestive heart failure. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3410586/),,60,780,DB00988,Dopamine
,3410586,total urinary recoveries,"The mean +/- SE total urinary recoveries in the 24 h after dosing, expressed as percentages of the administered dose, were 60 +/- 3 in CHF patients and 69 +/- 4 in NS.",Ibopamine kinetics after a single oral dose in patients with congestive heart failure. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3410586/),,69,781,DB00988,Dopamine
,22219221,half-life,Plasma concentration of GSK598809 was maximal 2-3 hours postdose and decreased with a half-life of roughly 20 hours.,Pharmacokinetics and central nervous system effects of the novel dopamine D3 receptor antagonist GSK598809 and intravenous alcohol infusion at pseudo-steady state. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22219221/),h,20,1119,DB00988,Dopamine
,22881235,el,"The selected HME film formulation (DOM2) exhibited a tensile strength (0.72 Kg/mm(2)), elongation at break (28.4% mm(2)), in vivo residence time (120 min), peak detachment force (1.55 N), work of adhesion (1.49 mJ), swelling index (210.2%), erosion (10.5%) and in vitro drug release of 84.8% in 2 h.",Oral transmucosal delivery of domperidone from immediate release films produced via hot-melt extrusion technology. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22881235/),%·mm(2),28.4,2027,DB00988,Dopamine
,22881235,residence time,"The selected HME film formulation (DOM2) exhibited a tensile strength (0.72 Kg/mm(2)), elongation at break (28.4% mm(2)), in vivo residence time (120 min), peak detachment force (1.55 N), work of adhesion (1.49 mJ), swelling index (210.2%), erosion (10.5%) and in vitro drug release of 84.8% in 2 h.",Oral transmucosal delivery of domperidone from immediate release films produced via hot-melt extrusion technology. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22881235/),min,120,2028,DB00988,Dopamine
,22881235,peak detachment force,"The selected HME film formulation (DOM2) exhibited a tensile strength (0.72 Kg/mm(2)), elongation at break (28.4% mm(2)), in vivo residence time (120 min), peak detachment force (1.55 N), work of adhesion (1.49 mJ), swelling index (210.2%), erosion (10.5%) and in vitro drug release of 84.8% in 2 h.",Oral transmucosal delivery of domperidone from immediate release films produced via hot-melt extrusion technology. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22881235/),n,1.55,2029,DB00988,Dopamine
,22881235,work of adhesion,"The selected HME film formulation (DOM2) exhibited a tensile strength (0.72 Kg/mm(2)), elongation at break (28.4% mm(2)), in vivo residence time (120 min), peak detachment force (1.55 N), work of adhesion (1.49 mJ), swelling index (210.2%), erosion (10.5%) and in vitro drug release of 84.8% in 2 h.",Oral transmucosal delivery of domperidone from immediate release films produced via hot-melt extrusion technology. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22881235/),mj,1.49,2030,DB00988,Dopamine
,19101918,flow rate,"Chromatographic separation was operated with 0.2% ammonia solution:acetonitrile (20:80, v/v) at a flow rate of 0.50 mL/min on a Hypurity C(18) column with a total run time of 3.2 min.",Highly sensitive method for the determination of ropinirole with a lower limit of quantitation of 3.45 pg/mL in human plasma by LC-ESI-MS/MS: application to a clinical pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19101918/),[ml] / [min],0.50,2584,DB00988,Dopamine
