Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9029437,KI,"The data are well fitted into the equilibrium expression for KI of dorzolamide against CA II at 37 degrees C, as 8 x 10(-9) M.","Ocular absorption, blood levels, and excretion of dorzolamide, a topically active carbonic anhydrase inhibitor. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029437/),M,8 x 10(-9),10792,DB00869,Dorzolamide
,9029437,renal excretion,"At steady state, renal excretion was 1.3 mg/day and the renal clearance 90 ml/min.","Ocular absorption, blood levels, and excretion of dorzolamide, a topically active carbonic anhydrase inhibitor. ",FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029437/),[mg] / [d],1.3,10793,DB00869,Dorzolamide
,9029437,renal clearance,"At steady state, renal excretion was 1.3 mg/day and the renal clearance 90 ml/min.","Ocular absorption, blood levels, and excretion of dorzolamide, a topically active carbonic anhydrase inhibitor. ",CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9029437/),[ml] / [min],90,10794,DB00869,Dorzolamide
<,10229490,t,"Each concentration-time curve had a bi-phasic trend; the rapid initial phase (t<8 min.) corresponds to the nonproductive losses of Trusopt from the tears (k10 = 0.24+/-0.04 min(-1), and the slower later phase (t>20 min.) is the result of transfer of the drug from the corneal epithelium to the stroma (k23 = 0.0047+/-0.0004 min(-1).",Non-invasive assessment of ocular pharmacokinetics using Confocal Raman Spectroscopy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10229490/),min,8,92584,DB00869,Dorzolamide
,10229490,k10,"Each concentration-time curve had a bi-phasic trend; the rapid initial phase (t<8 min.) corresponds to the nonproductive losses of Trusopt from the tears (k10 = 0.24+/-0.04 min(-1), and the slower later phase (t>20 min.) is the result of transfer of the drug from the corneal epithelium to the stroma (k23 = 0.0047+/-0.0004 min(-1).",Non-invasive assessment of ocular pharmacokinetics using Confocal Raman Spectroscopy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10229490/),1/[min],0.24,92585,DB00869,Dorzolamide
>,10229490,t,"Each concentration-time curve had a bi-phasic trend; the rapid initial phase (t<8 min.) corresponds to the nonproductive losses of Trusopt from the tears (k10 = 0.24+/-0.04 min(-1), and the slower later phase (t>20 min.) is the result of transfer of the drug from the corneal epithelium to the stroma (k23 = 0.0047+/-0.0004 min(-1).",Non-invasive assessment of ocular pharmacokinetics using Confocal Raman Spectroscopy. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10229490/),min,20,92586,DB00869,Dorzolamide
,10229490,k23,"Each concentration-time curve had a bi-phasic trend; the rapid initial phase (t<8 min.) corresponds to the nonproductive losses of Trusopt from the tears (k10 = 0.24+/-0.04 min(-1), and the slower later phase (t>20 min.) is the result of transfer of the drug from the corneal epithelium to the stroma (k23 = 0.0047+/-0.0004 min(-1).",Non-invasive assessment of ocular pharmacokinetics using Confocal Raman Spectroscopy. ,"K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10229490/),1/[min],0.0047,92587,DB00869,Dorzolamide
,10229490,rate of k12,Drug absorption into the corneal epithelium occurred at a rate of k12 = 0.034+/-0.006 min(-1).,Non-invasive assessment of ocular pharmacokinetics using Confocal Raman Spectroscopy. ,"K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10229490/),1/[min],0.034,92588,DB00869,Dorzolamide
,10359348,half-life of absorption,Mean half-life of absorption was 1.2 hours and for elimination 3.0 hours.,Population pharmacokinetics of 2% topical dorzolamide in the aqueous humor of humans. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10359348/),h,1.2,133343,DB00869,Dorzolamide
,10359348,elimination,Mean half-life of absorption was 1.2 hours and for elimination 3.0 hours.,Population pharmacokinetics of 2% topical dorzolamide in the aqueous humor of humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10359348/),h,3.0,133344,DB00869,Dorzolamide
,7720769,half life,Topically applied dorzolamide was slowly taken up in erythrocytes and eliminated with a half life of approximately 120 days.,Whole-blood pharmacokinetics and metabolic effects of the topical carbonic anhydrase inhibitor dorzolamide. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7720769/),d,120,155341,DB00869,Dorzolamide
>,11929320,half-life,The very slow elimination (half-life >4 months) of both substances takes place via the renal route.,Clinical pharmacokinetics of dorzolamide. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11929320/),month,4,238656,DB00869,Dorzolamide
,25159439,flow rate,"The chromatographic separation was achieved on Gemini C18 column using a mobile phase of ACN: 30 mmol L(-1) potassium dihydrogen phosphate buffer containing 0.1% triethylamine, pH 3.5 (20:80, v/v) at a flow rate of 1 mL min(-1) and UV detection at 254 and 295 nm for DOR and TIM, respectively.",Simultaneous determination of dorzolomide and timolol in aqueous humor: a novel salting out liquid-liquid microextraction combined with HPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25159439/),[ml] / [min],1,257449,DB00869,Dorzolamide
,25159439,limits of quantitation,"The described method showed better separation with enhanced sensitivities than the previously reported methods with limits of quantitation of 8.75 and 10.32 ng mL(-1) in aqueous solution and 15.97 and 23.53 ng mL(-1) in AH for DOR and TIM, respectively.",Simultaneous determination of dorzolomide and timolol in aqueous humor: a novel salting out liquid-liquid microextraction combined with HPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25159439/),[ng] / [ml],8.75,257450,DB00869,Dorzolamide
,25159439,limits of quantitation,"The described method showed better separation with enhanced sensitivities than the previously reported methods with limits of quantitation of 8.75 and 10.32 ng mL(-1) in aqueous solution and 15.97 and 23.53 ng mL(-1) in AH for DOR and TIM, respectively.",Simultaneous determination of dorzolomide and timolol in aqueous humor: a novel salting out liquid-liquid microextraction combined with HPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25159439/),[ng] / [ml],10.32,257451,DB00869,Dorzolamide
,25159439,limits of quantitation,"The described method showed better separation with enhanced sensitivities than the previously reported methods with limits of quantitation of 8.75 and 10.32 ng mL(-1) in aqueous solution and 15.97 and 23.53 ng mL(-1) in AH for DOR and TIM, respectively.",Simultaneous determination of dorzolomide and timolol in aqueous humor: a novel salting out liquid-liquid microextraction combined with HPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25159439/),[ng] / [ml],15.97,257452,DB00869,Dorzolamide
,25159439,limits of quantitation,"The described method showed better separation with enhanced sensitivities than the previously reported methods with limits of quantitation of 8.75 and 10.32 ng mL(-1) in aqueous solution and 15.97 and 23.53 ng mL(-1) in AH for DOR and TIM, respectively.",Simultaneous determination of dorzolomide and timolol in aqueous humor: a novel salting out liquid-liquid microextraction combined with HPLC. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25159439/),[ng] / [ml],23.53,257453,DB00869,Dorzolamide
