Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,23831756,THC ratios,"During ad libitum smoking, OF/P THC ratios were high (median, 6.1; range, 0.2-348.5) within 1 h after last smoking, decreasing to 0.1-20.7 (median, 2.1) by 13.0-17.1 h.",Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23831756/),,6.1,2323,DB00470,Dronabinol
,23831756,THC ratios,"During ad libitum smoking, OF/P THC ratios were high (median, 6.1; range, 0.2-348.5) within 1 h after last smoking, decreasing to 0.1-20.7 (median, 2.1) by 13.0-17.1 h.",Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23831756/),,2.1,2324,DB00470,Dronabinol
,23831756,THC ratios,"OF/P THC ratios also decreased during 5-days oral THC dosing, and after the smoked cannabis challenge, median OF/P THC ratios decreased from 1.4 to 5.5 (0.04-245.6) at 0.25 h to 0.12 to 0.17 (0.04-5.1) at 10.5 h post-smoking.",Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23831756/),,1.4,2325,DB00470,Dronabinol
,23831756,THC ratios,"OF/P THC ratios also decreased during 5-days oral THC dosing, and after the smoked cannabis challenge, median OF/P THC ratios decreased from 1.4 to 5.5 (0.04-245.6) at 0.25 h to 0.12 to 0.17 (0.04-5.1) at 10.5 h post-smoking.",Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23831756/),,5.5,2326,DB00470,Dronabinol
,23831756,THC ratios,"OF/P THC ratios also decreased during 5-days oral THC dosing, and after the smoked cannabis challenge, median OF/P THC ratios decreased from 1.4 to 5.5 (0.04-245.6) at 0.25 h to 0.12 to 0.17 (0.04-5.1) at 10.5 h post-smoking.",Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23831756/),,0.12,2327,DB00470,Dronabinol
,23831756,THC ratios,"OF/P THC ratios also decreased during 5-days oral THC dosing, and after the smoked cannabis challenge, median OF/P THC ratios decreased from 1.4 to 5.5 (0.04-245.6) at 0.25 h to 0.12 to 0.17 (0.04-5.1) at 10.5 h post-smoking.",Oral fluid/plasma cannabinoid ratios following controlled oral THC and smoked cannabis administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23831756/),,0.17,2328,DB00470,Dronabinol
,28188235,Cmax,"OF THC maximum concentrations (Cmax) were similar in frequent as compared to occasional smokers, while blood THC Cmax were higher in frequent [mean (range) 17.7 (8.0-36.1) μg/L] smokers compared to occasional [8.2 (3.2-14.3) μg/L] smokers.",Cannabis Edibles: Blood and Oral Fluid Cannabinoid Pharmacokinetics and Evaluation of Oral Fluid Screening Devices for Predicting Δ9-Tetrahydrocannabinol in Blood and Oral Fluid following Cannabis Brownie Administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28188235/),[μg] / [l],17.7,2472,DB00470,Dronabinol
,28188235,Cmax,"OF THC maximum concentrations (Cmax) were similar in frequent as compared to occasional smokers, while blood THC Cmax were higher in frequent [mean (range) 17.7 (8.0-36.1) μg/L] smokers compared to occasional [8.2 (3.2-14.3) μg/L] smokers.",Cannabis Edibles: Blood and Oral Fluid Cannabinoid Pharmacokinetics and Evaluation of Oral Fluid Screening Devices for Predicting Δ9-Tetrahydrocannabinol in Blood and Oral Fluid following Cannabis Brownie Administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28188235/),[μg] / [l],8.2,2473,DB00470,Dronabinol
,18695931,maximal concentrations (Cmax),"Mean maximal concentrations (Cmax) were 135.1, 202.9 and 231.0 microg/L for THC and 9.2, 16.4 and 15.8 microg/L for 11-OH-THC after smoking a 29.3-, 49.1- and 69.4-mg THC cigarette, respectively.",Delta-9-tetrahydrocannabinol (THC) serum concentrations and pharmacological effects in males after smoking a combination of tobacco and cannabis containing up to 69 mg THC. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18695931/),[μg] / [l],135.1,5235,DB00470,Dronabinol
,18695931,maximal concentrations (Cmax),"Mean maximal concentrations (Cmax) were 135.1, 202.9 and 231.0 microg/L for THC and 9.2, 16.4 and 15.8 microg/L for 11-OH-THC after smoking a 29.3-, 49.1- and 69.4-mg THC cigarette, respectively.",Delta-9-tetrahydrocannabinol (THC) serum concentrations and pharmacological effects in males after smoking a combination of tobacco and cannabis containing up to 69 mg THC. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18695931/),[μg] / [l],202.9,5236,DB00470,Dronabinol
