Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3425871,Elimination half-life,Elimination half-life ranged from 0.72 to 15.06 h.,[The pharmacokinetics of midazolam in various kinds of anesthesia]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3425871/),h,0.72 to 15.06,3654,DB00450,Droperidol
,3425871,Cl,Cl ranged from 2.5 to 12.8 ml/min per kilogram.,[The pharmacokinetics of midazolam in various kinds of anesthesia]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3425871/),[ml] / [kg·min],2.5 to 12.8,3655,DB00450,Droperidol
,3425871,t1/2el,Four patients (= 9%) had a t1/2el of 7-15 h; in 16 cases we found secondary concentration peaks.,[The pharmacokinetics of midazolam in various kinds of anesthesia]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3425871/),h,7-15,3656,DB00450,Droperidol
up to,3425871,half-life,"In accordance with others, we found some patients with a half-life of up to 15 h, which might reflect the influence of the anesthesia itself.",[The pharmacokinetics of midazolam in various kinds of anesthesia]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3425871/),h,15,3657,DB00450,Droperidol
,3963455,half-life,"The mean (+/- SD) half-life for the rapid (t 1/2 pi) and slow distribution t 1/2 alpha) phases was 1.4 +/- 0.5 min and 14.3 +/- 6.5 min, respectively.",The pharmacokinetics of droperidol in anesthetized patients. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3963455/),min,1.4,9735,DB00450,Droperidol
,3963455,half-life,"The mean (+/- SD) half-life for the rapid (t 1/2 pi) and slow distribution t 1/2 alpha) phases was 1.4 +/- 0.5 min and 14.3 +/- 6.5 min, respectively.",The pharmacokinetics of droperidol in anesthetized patients. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3963455/),min,14.3,9736,DB00450,Droperidol
,3963455,"elimination half-life, t 1/2 beta","The mean elimination half-life, t 1/2 beta was 103.8 +/- 20.2 min.",The pharmacokinetics of droperidol in anesthetized patients. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3963455/),min,103.8,9737,DB00450,Droperidol
,3963455,total body clearance,"The mean (+/- SD) total body clearance was 14.1 +/- 4.4 ml X min-1 X kg-1, and the total apparent volume of distribution (Vd beta) was 2.04 +/- 0.50 l/kg.",The pharmacokinetics of droperidol in anesthetized patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3963455/),[ml] / [kg·min],14.1,9738,DB00450,Droperidol
,3963455,total apparent volume of distribution (Vd beta),"The mean (+/- SD) total body clearance was 14.1 +/- 4.4 ml X min-1 X kg-1, and the total apparent volume of distribution (Vd beta) was 2.04 +/- 0.50 l/kg.",The pharmacokinetics of droperidol in anesthetized patients. ,Vb-Q62,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3963455/),[l] / [kg],2.04,9739,DB00450,Droperidol
,8564666,E,"The ED50 value of thiopentone decreased up to 15 minutes after DBP (about 1.1 mg.kg-1 in both age groups) and increased after 30, 45 and 60 minutes, the increase being higher in the patients aged 40 to 50.",[Influence of droperidol on the hypnotic effect of thiopental]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8564666/),,1,24823,DB00450,Droperidol
