Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2169210,plasma clearance,"When elderly patients were compared with younger controls, the elderly exhibited a statistically significant decreased plasma clearance (5.9 +/- 2 versus 12.1 +/- 4 mL.kg-1.min-1) and a prolonged elimination half-life (84.2 +/- 17 versus 56.6 +/- 16 min).",Pharmacokinetics and pharmacodynamics of edrophonium in elderly surgical patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2169210/),[ml] / [kg·min],5.9,104161,DB01010,Edrophonium
,2169210,plasma clearance,"When elderly patients were compared with younger controls, the elderly exhibited a statistically significant decreased plasma clearance (5.9 +/- 2 versus 12.1 +/- 4 mL.kg-1.min-1) and a prolonged elimination half-life (84.2 +/- 17 versus 56.6 +/- 16 min).",Pharmacokinetics and pharmacodynamics of edrophonium in elderly surgical patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2169210/),[ml] / [kg·min],12.1,104162,DB01010,Edrophonium
,2169210,elimination half-life,"When elderly patients were compared with younger controls, the elderly exhibited a statistically significant decreased plasma clearance (5.9 +/- 2 versus 12.1 +/- 4 mL.kg-1.min-1) and a prolonged elimination half-life (84.2 +/- 17 versus 56.6 +/- 16 min).",Pharmacokinetics and pharmacodynamics of edrophonium in elderly surgical patients. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2169210/),min,84.2,104163,DB01010,Edrophonium
,2169210,elimination half-life,"When elderly patients were compared with younger controls, the elderly exhibited a statistically significant decreased plasma clearance (5.9 +/- 2 versus 12.1 +/- 4 mL.kg-1.min-1) and a prolonged elimination half-life (84.2 +/- 17 versus 56.6 +/- 16 min).",Pharmacokinetics and pharmacodynamics of edrophonium in elderly surgical patients. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2169210/),min,56.6,104164,DB01010,Edrophonium
,2169210,maximum duration of action,The maximum duration of action of edrophonium in both groups was very brief (1.3-2.2 min).,Pharmacokinetics and pharmacodynamics of edrophonium in elderly surgical patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2169210/),min,1.3-2.2,104165,DB01010,Edrophonium
,3524957,Plasma clearances,Plasma clearances of the reversible quaternary cholinesterase inhibitors are in the range 0.5 to 1.0 L/h/kg and their apparent volumes of distribution range from 0.5 to 1.7 L/kg.,Clinical pharmacokinetics of cholinesterase inhibitors. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3524957/),[l] / [h·kg],0.5 to 1.0,120227,DB01010,Edrophonium
,3524957,apparent volumes of distribution,Plasma clearances of the reversible quaternary cholinesterase inhibitors are in the range 0.5 to 1.0 L/h/kg and their apparent volumes of distribution range from 0.5 to 1.7 L/kg.,Clinical pharmacokinetics of cholinesterase inhibitors. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3524957/),[l] / [kg],0.5 to 1.7,120228,DB01010,Edrophonium
,3524957,plasma elimination half-lives,"Accordingly, the drugs have short plasma elimination half-lives, in the order of 30 to 90 minutes.",Clinical pharmacokinetics of cholinesterase inhibitors. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3524957/),min,30 to 90,120229,DB01010,Edrophonium
,3524957,peak plasma concentrations,"One to two hours after oral administration of 60 mg pyridostigmine, peak plasma concentrations of 40 to 60 micrograms/L are observed, whereas the plasma concentrations of neostigmine after a 30 mg oral dose are only 1 to 5 micrograms/L.",Clinical pharmacokinetics of cholinesterase inhibitors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3524957/),[μg] / [l],40 to 60,120230,DB01010,Edrophonium
,3524957,plasma concentrations,"One to two hours after oral administration of 60 mg pyridostigmine, peak plasma concentrations of 40 to 60 micrograms/L are observed, whereas the plasma concentrations of neostigmine after a 30 mg oral dose are only 1 to 5 micrograms/L.",Clinical pharmacokinetics of cholinesterase inhibitors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3524957/),[μg] / [l],1 to 5,120231,DB01010,Edrophonium
