Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21892641,flow rate,"Mobile phase was composed of 0.1% formic acid: methanol (40:60 v/v), with 0.5 mL/min flow rate.",Quantitative analysis of eletriptan in human plasma by HPLC-MS/MS and its application to pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21892641/),[ml] / [min],0.5,10852,DB00216,Eletriptan
,11221281,headache response rates,"In another large trial, headache response rates were significantly higher for both doses of eletriptan (64% for 40 mg and 67% for 80 mg) than for two doses of sumatriptan (50% for 50 mg and 53% for 100 mg).",Pharmacology and efficacy of eletriptan for the treatment of migraine attacks. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11221281/),%,64,36555,DB00216,Eletriptan
,11221281,headache response rates,"In another large trial, headache response rates were significantly higher for both doses of eletriptan (64% for 40 mg and 67% for 80 mg) than for two doses of sumatriptan (50% for 50 mg and 53% for 100 mg).",Pharmacology and efficacy of eletriptan for the treatment of migraine attacks. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11221281/),%,67,36556,DB00216,Eletriptan
,11221281,headache response rates,"In another large trial, headache response rates were significantly higher for both doses of eletriptan (64% for 40 mg and 67% for 80 mg) than for two doses of sumatriptan (50% for 50 mg and 53% for 100 mg).",Pharmacology and efficacy of eletriptan for the treatment of migraine attacks. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11221281/),%,50,36557,DB00216,Eletriptan
,11221281,headache response rates,"In another large trial, headache response rates were significantly higher for both doses of eletriptan (64% for 40 mg and 67% for 80 mg) than for two doses of sumatriptan (50% for 50 mg and 53% for 100 mg).",Pharmacology and efficacy of eletriptan for the treatment of migraine attacks. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11221281/),%,53,36558,DB00216,Eletriptan
,25488888,Фmax1B,"Our calculations showed that Фmax1B and Фmax1D were relatively high at 32.0-89.4% and 68.4-96.2%, respectively, suggesting that it is likely that a high occupancy is necessary to attain the clinical effect.",Theory-based analysis of clinical efficacy of triptans using receptor occupancy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25488888/),%,32.0-89.4,43895,DB00216,Eletriptan
,25488888,Фmax,"Our calculations showed that Фmax1B and Фmax1D were relatively high at 32.0-89.4% and 68.4-96.2%, respectively, suggesting that it is likely that a high occupancy is necessary to attain the clinical effect.",Theory-based analysis of clinical efficacy of triptans using receptor occupancy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25488888/),%,32.0-89.4,43896,DB00216,Eletriptan
,26242873,occup,"For Ф1D, it was indicated that all triptans obtained an occupancy of 80% or higher at maximum.",Theoretical analysis of headache recurrence in patients administered triptans for migraine based on receptor occupancy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26242873/),%,80,83156,DB00216,Eletriptan
,28618340,flow rate,A simple isocratic separation mode was used with a mobile phase consisted of acetonitrile and 10mM phosphate buffer adjusted to pH 3.0 (20:80; v/v) at flow rate 1.0mLmin-1.,Fast and efficient zirconia-based reversed phase chromatography for selective determination of triptans in rat plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28618340/),1/[mlmin],1.0,86345,DB00216,Eletriptan
,28618340,detection limits,The linearity range obtained for the developed HPLC method was 15-2000ngmL-1 with detection limits of 4.8- 6.2ngmL-1 for all the studied triptans.,Fast and efficient zirconia-based reversed phase chromatography for selective determination of triptans in rat plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28618340/),1/[ngml],4.8- 6.2,86346,DB00216,Eletriptan
