Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26543786,flow rate,"After protein precipitation extraction, the chromatography separation of analyte and internal standard named eltrombopag as an marketed analog of hetrombopag was performed on an Synergi Polar-RP column at the flow rate of 0.5 mL/min, and the determination was conducted on an API4000 triple quadrupole mass spectrometry in the multiple reaction monitoring mode using the respective [M+H](+) ions m/z 459.2 → 200.9 for hetrombopag and m/z 443.2 → 229.0 for IS.",Development and validation of a LC-MS/MS method for quantification of hetrombopag for pharmacokinetics study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26543786/),[ml] / [min],0.5,23675,DB06210,Eltrombopag
,25929594,PLTC,"Simulations showed that ~70% to 80% of steady-state PLTC response was achieved at week 2, and the percentages of patients who achieved a PLTC of 50 to 150 × 10(9) cells/L were comparable between weeks 2 and 6 with 12.5-, 25-, 50-, and 75-mg once-daily dosing.",Population Pharmacokinetic and Pharmacodynamic Modeling and Effects on Platelet Counts of Different Dosages of Eltrombopag in Chinese Patients With Chronic Primary Immune Thrombocytopenia. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25929594/),,50,32362,DB06210,Eltrombopag
>,25929594,PLTC,"No more than 5% of patients who underwent dose titration had a PLTC >250 × 10(9) cells/L throughout 24 weeks of treatment, compared with 3%, 7%, 16%, and 24% when the once-daily fixed doses of eltrombopag were given.",Population Pharmacokinetic and Pharmacodynamic Modeling and Effects on Platelet Counts of Different Dosages of Eltrombopag in Chinese Patients With Chronic Primary Immune Thrombocytopenia. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25929594/),[cells] / [l],250,32363,DB06210,Eltrombopag
,22409309,response rate,"The response rate (platelet count of ≥ 50,000 μL(-1) ) at week 6 of the 6-week double-blind phase was 60% in eltrombopag-treated patients and 0% in placebo-treated patients.",A lower starting dose of eltrombopag is efficacious in Japanese patients with previously treated chronic immune thrombocytopenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22409309/),%,60,76065,DB06210,Eltrombopag
,22409309,response rate,"The response rate (platelet count of ≥ 50,000 μL(-1) ) at week 6 of the 6-week double-blind phase was 60% in eltrombopag-treated patients and 0% in placebo-treated patients.",A lower starting dose of eltrombopag is efficacious in Japanese patients with previously treated chronic immune thrombocytopenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22409309/),%,0,76066,DB06210,Eltrombopag
,30171280,t1/2,"The geometric mean t1/2 was ≈ 21, ≈ 24, and ≈ 26 h, respectively, in cyclosporine 200 mg + eltrombopag, cyclosporine 600 mg + eltrombopag and eltrombopag alone groups.",Effect of cyclosporine coadministration on the pharmacokinetics of eltrombopag in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30171280/),h,21,133454,DB06210,Eltrombopag
,30171280,t1/2,"The geometric mean t1/2 was ≈ 21, ≈ 24, and ≈ 26 h, respectively, in cyclosporine 200 mg + eltrombopag, cyclosporine 600 mg + eltrombopag and eltrombopag alone groups.",Effect of cyclosporine coadministration on the pharmacokinetics of eltrombopag in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30171280/),h,24,133455,DB06210,Eltrombopag
,30171280,t1/2,"The geometric mean t1/2 was ≈ 21, ≈ 24, and ≈ 26 h, respectively, in cyclosporine 200 mg + eltrombopag, cyclosporine 600 mg + eltrombopag and eltrombopag alone groups.",Effect of cyclosporine coadministration on the pharmacokinetics of eltrombopag in healthy volunteers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30171280/),h,26,133456,DB06210,Eltrombopag
,29949502,clearance,"Ceftriaxone pharmacokinetics in healthy adults were described using a bicompartmental model, with a mean clearance of 0.96 L/h (CI95% 0.71-1.20) and AUC0-∞of 1106 mg.h/mL (CI95% 811-1400) for volunteers that received only ceftriaxone; clearance of 0.95 L/h (CI95% 0.77-1.13) and AUC0-∞ of 1083 mg.h/mL (CI95% 876-1290) for volunteers that received ceftriaxone plus 25 mg of eltrombopag and clearance of 0.96 L/h (CI95% 0.74-1.19) and AUC0-∞ of 1072 mg.h/mL (CI95% 872-1273) for volunteers that received ceftriaxone plus 50 mg of eltrombopag.",Therapeutic Doses of Eltrombopag do not Inhibit Hepatic BCRP in Healthy Volunteers: Intravenous Ceftriaxone as a Model. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29949502/),[l] / [h],0.96,142205,DB06210,Eltrombopag
,29949502,AUC0-∞,"Ceftriaxone pharmacokinetics in healthy adults were described using a bicompartmental model, with a mean clearance of 0.96 L/h (CI95% 0.71-1.20) and AUC0-∞of 1106 mg.h/mL (CI95% 811-1400) for volunteers that received only ceftriaxone; clearance of 0.95 L/h (CI95% 0.77-1.13) and AUC0-∞ of 1083 mg.h/mL (CI95% 876-1290) for volunteers that received ceftriaxone plus 25 mg of eltrombopag and clearance of 0.96 L/h (CI95% 0.74-1.19) and AUC0-∞ of 1072 mg.h/mL (CI95% 872-1273) for volunteers that received ceftriaxone plus 50 mg of eltrombopag.",Therapeutic Doses of Eltrombopag do not Inhibit Hepatic BCRP in Healthy Volunteers: Intravenous Ceftriaxone as a Model. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29949502/),[h·mg] / [ml],1106,142206,DB06210,Eltrombopag
