Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],297,180,DB00584,Enalapril
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],310,181,DB00584,Enalapril
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],28,182,DB00584,Enalapril
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],2,183,DB00584,Enalapril
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],294,184,DB00584,Enalapril
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],344,185,DB00584,Enalapril
,28639420,AUC,"The median AUC of enalaprilat in the control group was not significantly different from any of the other five groups (297 ng/ml x h in the control group versus 310, 282, 294, 344 and 306 ng/ml x h in groups 2-6, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),[ng] / [h·ml],306,186,DB00584,Enalapril
,28639420,terminal half-life,"The terminal half-life of enalaprilat was significantly longer in group 6 compared with the control group (26.7 hr versus 12.7 hr, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),h,26.7,187,DB00584,Enalapril
,28639420,terminal half-life,"The terminal half-life of enalaprilat was significantly longer in group 6 compared with the control group (26.7 hr versus 12.7 hr, respectively).",The Pharmacokinetics of Enalapril in Relation to CES1 Genotype in Healthy Danish Volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/28639420/),h,12.7,188,DB00584,Enalapril
,24127029,maximum plasma concentration,"In pigeons, after application of 2.5 mg/kg enalapril, the maximum plasma concentration was found in the first sample taken (388.2 ± 174.1 mg/kg).",[Examinations on the pharmacokinetics and compatibility of enalapril in racing pigeons]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24127029/),[mg] / [kg],388.2,4576,DB00584,Enalapril
