Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6861313,concentration,"An initial pharmacokinetic evaluation allowed design of a series of loading and maintenance infusions that produced plasma concentrations similar to those seen during encainide therapy in man (concentration after first maintenance dose, 149 +/- 27 ng/ml [+/- SE] and after second maintenance dose, 230 +/- 45 ng/ml).",Electrophysiologic actions of O-demethyl encainide: an active metabolite. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6861313/),[ng] / [ml],149,3659,DB01228,Encainide
,6861313,concentration,"An initial pharmacokinetic evaluation allowed design of a series of loading and maintenance infusions that produced plasma concentrations similar to those seen during encainide therapy in man (concentration after first maintenance dose, 149 +/- 27 ng/ml [+/- SE] and after second maintenance dose, 230 +/- 45 ng/ml).",Electrophysiologic actions of O-demethyl encainide: an active metabolite. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6861313/),[ng] / [ml],230,3660,DB01228,Encainide
,3081292,elimination t1/2,Extensive metabolizers of debrisoquin had a mean (+/- SD) encainide elimination t1/2 of 1.19 +/- 0.98 hours (range 0.25 to 3.4 hours).,Co-inheritance of the polymorphic metabolism of encainide and debrisoquin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3081292/),h,1.19,18449,DB01228,Encainide
,3081292,t1/2,Poor metabolizers of debrisoquin (two normal subjects and three family members) had a mean t1/2 of 13.2 +/- 0.73 hours (range 7.8 to 22.4 hours).,Co-inheritance of the polymorphic metabolism of encainide and debrisoquin. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3081292/),h,13.2,18450,DB01228,Encainide
,2123007,steady-state,"Plasma concentration data demonstrated that although encainide metabolism to ODE was partially impaired by quinidine, subsequent 3-methoxy-O-desmethyl encainide formation from ODE was virtually completely inhibited; thus steady-state plasma ODE remained unchanged whereas plasma encainide increased 10-fold (21 +/- 30 to 240 +/- 118 ng/ml; P less than .05).",Genetically determined steady-state interaction between encainide and quinidine in patients with arrhythmias. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2123007/),[ng] / [ml],21,23260,DB01228,Encainide
,2123007,steady-state,"Plasma concentration data demonstrated that although encainide metabolism to ODE was partially impaired by quinidine, subsequent 3-methoxy-O-desmethyl encainide formation from ODE was virtually completely inhibited; thus steady-state plasma ODE remained unchanged whereas plasma encainide increased 10-fold (21 +/- 30 to 240 +/- 118 ng/ml; P less than .05).",Genetically determined steady-state interaction between encainide and quinidine in patients with arrhythmias. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2123007/),[ng] / [ml],240,23261,DB01228,Encainide
,2805262,elimination half-life,Serial plasma sampling after programmed electrical stimulation indicated a minimum MODE elimination half-life of 8.2 +/- 5.4 hours.,"Antiarrhythmic efficacy, clinical electrophysiology, and pharmacokinetics of 3-methoxy-O-desmethyl encainide (MODE) in patients with inducible ventricular tachycardia or fibrillation. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2805262/),h,8.2,38944,DB01228,Encainide
,6767186,half-life,"Drug elimination was rapid (the half-life was 1.9 to 3.8 hours), but the margin between efficacy and side effects was sufficiently wide for therapy every six to 12 hours to be feasible in all 10 patients, with continuing outpatient treatment at six to 12 months.",Total suppression of ventricular arrhythmias by encainide. Pharmacokinetic and electrocardiographic characteristics. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6767186/),h,1.9 to 3.8,77626,DB01228,Encainide
,2510135,oral clearance,Diltiazem 90 mg every 8 hours for 5 days decreased the oral clearance of antipyrine from 2.34 to 1.86 L/hour (p less than 0.05) and increased half-life from 12.7 to 15.9 hours (p less than 0.05).,The effects of encainide versus diltiazem on the oxidative metabolic pathways of antipyrine. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2510135/),[l] / [h],2,84358,DB01228,Encainide
,2510135,half-life,Diltiazem 90 mg every 8 hours for 5 days decreased the oral clearance of antipyrine from 2.34 to 1.86 L/hour (p less than 0.05) and increased half-life from 12.7 to 15.9 hours (p less than 0.05).,The effects of encainide versus diltiazem on the oxidative metabolic pathways of antipyrine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2510135/),h,12,84359,DB01228,Encainide
