Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,14667957,Css,"The mean (SD) Css of eptifibatide was essentially identical when it was coadministered with either UFH or enoxaparin (1640 [227] ng/mL and 1610 (229) ng/mL, respectively).",Pharmacokinetic and pharmacodynamic properties of eptifabatide in healthy subjects receiving unfractionated heparin or the low-molecular-weight heparin enoxaparin. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14667957/),[ng] / [ml],1640,1032,DB01225,Enoxaparin
,14667957,Css,"The mean (SD) Css of eptifibatide was essentially identical when it was coadministered with either UFH or enoxaparin (1640 [227] ng/mL and 1610 (229) ng/mL, respectively).",Pharmacokinetic and pharmacodynamic properties of eptifabatide in healthy subjects receiving unfractionated heparin or the low-molecular-weight heparin enoxaparin. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14667957/),[ng] / [ml],1610,1033,DB01225,Enoxaparin
,11680668,oral clearance (CL),"The population estimates and 90% confidence intervals (CI) for oral clearance (CL) and apparent volume of distribution of the plasma compartment (Vc) were 0.0176 l/h/kg (CI = 0.012-0.023) and 0.098 l/kg (CI = 0.088 - 0.109), respectively.",Population pharmacodynamics in patients receiving tinzaparin for the prevention and treatment of deep vein thrombosis. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11680668/),[l] / [h·kg],0.0176,2486,DB01225,Enoxaparin
,11680668,apparent volume of distribution of the plasma compartment (Vc),"The population estimates and 90% confidence intervals (CI) for oral clearance (CL) and apparent volume of distribution of the plasma compartment (Vc) were 0.0176 l/h/kg (CI = 0.012-0.023) and 0.098 l/kg (CI = 0.088 - 0.109), respectively.",Population pharmacodynamics in patients receiving tinzaparin for the prevention and treatment of deep vein thrombosis. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11680668/),[l] / [kg],0.098,2487,DB01225,Enoxaparin
,11680668,elimination half-life,The elimination half-life was 3.9 h (CI = 2.5-5.2).,Population pharmacodynamics in patients receiving tinzaparin for the prevention and treatment of deep vein thrombosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11680668/),h,3.9,2488,DB01225,Enoxaparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],16.7,3377,DB01225,Enoxaparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],13.8,3378,DB01225,Enoxaparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],21.4,3379,DB01225,Enoxaparin
,7495071,CL/F,The apparent total body clearance of enoxaparin doses (CL/F = 16.7 +/- 5.5 and 13.8 +/- 3.2 ml/min) is significantly smaller than those of nadroparin (CL/F = 21.4 +/- 7.0 ml/min; p < 0.01) and dalteparin (CL/F = 33.3 +/- 11.8 ml/min; p < 0.001) while dalteparin apparent clearance is about 1.5-fold greater (p < 0.001) than that of nadroparin.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),[ml] / [min],33.3,3380,DB01225,Enoxaparin
,7495071,apparent elimination half life t1/2,These differences in the disposition profiles explain why the apparent elimination half life t1/2 values of the LMMHs compared here are different: dalteparin: 2.8 h; nadroparin: 3.7 h; and enoxaparin: 4.1 h.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),h,2.8,3381,DB01225,Enoxaparin
,7495071,apparent elimination half life t1/2,These differences in the disposition profiles explain why the apparent elimination half life t1/2 values of the LMMHs compared here are different: dalteparin: 2.8 h; nadroparin: 3.7 h; and enoxaparin: 4.1 h.,"Comparison of the pharmacokinetic profiles of three low molecular mass heparins--dalteparin, enoxaparin and nadroparin--administered subcutaneously in healthy volunteers (doses for prevention of thromboembolism). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7495071/),h,3.7,3382,DB01225,Enoxaparin
