Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2147839,half life,"The pharmacokinetic study showed the half life of enoximone to be 2.2 +/- 0.78 hours, the area under the curve to be 2,818 +/- 953, the volume of distribution to be 69.6 +/- 24 l and the total clearance to be 22.8 +/- 8.5 l/hour.",[Treatment of chronic cardiac insufficiency with intravenous bolus enoximone. Study of a pharmacokinetic-hemodynamic relation]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2147839/),h,2.2,11841,DB04880,Enoximone
,2147839,area under the curve,"The pharmacokinetic study showed the half life of enoximone to be 2.2 +/- 0.78 hours, the area under the curve to be 2,818 +/- 953, the volume of distribution to be 69.6 +/- 24 l and the total clearance to be 22.8 +/- 8.5 l/hour.",[Treatment of chronic cardiac insufficiency with intravenous bolus enoximone. Study of a pharmacokinetic-hemodynamic relation]. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2147839/),,"2,818",11842,DB04880,Enoximone
,2147839,volume of distribution,"The pharmacokinetic study showed the half life of enoximone to be 2.2 +/- 0.78 hours, the area under the curve to be 2,818 +/- 953, the volume of distribution to be 69.6 +/- 24 l and the total clearance to be 22.8 +/- 8.5 l/hour.",[Treatment of chronic cardiac insufficiency with intravenous bolus enoximone. Study of a pharmacokinetic-hemodynamic relation]. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2147839/),l,69.6,11843,DB04880,Enoximone
,2147839,total clearance,"The pharmacokinetic study showed the half life of enoximone to be 2.2 +/- 0.78 hours, the area under the curve to be 2,818 +/- 953, the volume of distribution to be 69.6 +/- 24 l and the total clearance to be 22.8 +/- 8.5 l/hour.",[Treatment of chronic cardiac insufficiency with intravenous bolus enoximone. Study of a pharmacokinetic-hemodynamic relation]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2147839/),[l] / [h],22.8,11844,DB04880,Enoximone
,2147839,half life,The half life of the metabolite was 4.45 +/- 1.05 hours.,[Treatment of chronic cardiac insufficiency with intravenous bolus enoximone. Study of a pharmacokinetic-hemodynamic relation]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2147839/),h,4.45,11845,DB04880,Enoximone
,10992825,clearance,"Fourteen patients who retained normal hepatic function had a median (95% confidence intervals) clearance of 9.7 (6.3-14.1) ml min-1 kg-1, elimination half-life of 5.2 (2.4-6.8) h and a volume of distribution of 3.6 (2.0-5.7) litre kg-1.",Enoximone pharmacokinetics in infants. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),[ml] / [kg·min],9.7,40368,DB04880,Enoximone
,10992825,elimination half-life,"Fourteen patients who retained normal hepatic function had a median (95% confidence intervals) clearance of 9.7 (6.3-14.1) ml min-1 kg-1, elimination half-life of 5.2 (2.4-6.8) h and a volume of distribution of 3.6 (2.0-5.7) litre kg-1.",Enoximone pharmacokinetics in infants. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),h,5.2,40369,DB04880,Enoximone
,10992825,volume of distribution,"Fourteen patients who retained normal hepatic function had a median (95% confidence intervals) clearance of 9.7 (6.3-14.1) ml min-1 kg-1, elimination half-life of 5.2 (2.4-6.8) h and a volume of distribution of 3.6 (2.0-5.7) litre kg-1.",Enoximone pharmacokinetics in infants. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),[l] / [kg],3.6,40370,DB04880,Enoximone
,10992825,clearance,"The six patients with significant hepatic dysfunction had a lower clearance, 5.7 (2.4-14.5) ml min-1 kg-1, and significantly longer elimination half-life, 7.6 (6.5-10.9) h (P = 0.02).",Enoximone pharmacokinetics in infants. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),[ml] / [kg·min],5.7,40371,DB04880,Enoximone
,10992825,elimination half-life,"The six patients with significant hepatic dysfunction had a lower clearance, 5.7 (2.4-14.5) ml min-1 kg-1, and significantly longer elimination half-life, 7.6 (6.5-10.9) h (P = 0.02).",Enoximone pharmacokinetics in infants. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),h,7.6,40372,DB04880,Enoximone
,10992825,elimination half-life,"Enoximone sulphoxide elimination half-life was significantly prolonged in three patients with renal dysfunction, 16.2 (10.5-17.7) h versus 6.9 (6.1-9.4) h (P = 0.03).",Enoximone pharmacokinetics in infants. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),h,16.2,40373,DB04880,Enoximone
,10992825,elimination half-life,"Enoximone sulphoxide elimination half-life was significantly prolonged in three patients with renal dysfunction, 16.2 (10.5-17.7) h versus 6.9 (6.1-9.4) h (P = 0.03).",Enoximone pharmacokinetics in infants. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10992825/),h,6.9,40374,DB04880,Enoximone
,2138170,Plasma concentrations,"Plasma concentrations of digoxin were 1.05 +/- 0.37 ng/mL before enoximone, 0.95 +/- 0.31 ng/mL at the end of the enoximone treatment period of 1 week and 0.95 +/- 0.36 ng/mL 1 week after cessation of enoximone treatment.",Lack of effect of enoximone on the pharmacokinetics of digoxin in patients with congestive heart failure. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2138170/),[ng] / [ml],1.05,40505,DB04880,Enoximone
,2138170,Plasma concentrations,"Plasma concentrations of digoxin were 1.05 +/- 0.37 ng/mL before enoximone, 0.95 +/- 0.31 ng/mL at the end of the enoximone treatment period of 1 week and 0.95 +/- 0.36 ng/mL 1 week after cessation of enoximone treatment.",Lack of effect of enoximone on the pharmacokinetics of digoxin in patients with congestive heart failure. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2138170/),[ng] / [ml],0.95,40506,DB04880,Enoximone
,2138170,Plasma concentrations,"Plasma concentrations of digoxin were 1.05 +/- 0.37 ng/mL before enoximone, 0.95 +/- 0.31 ng/mL at the end of the enoximone treatment period of 1 week and 0.95 +/- 0.36 ng/mL 1 week after cessation of enoximone treatment.",Lack of effect of enoximone on the pharmacokinetics of digoxin in patients with congestive heart failure. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2138170/),[ng] / [ml],0.95,40507,DB04880,Enoximone
,2960700,Absorption half-lives,"Absorption half-lives in patinets and normal volunteers averaged 17 minutes; the elimination half-life of enoximone in patients averaged 2.9 hours, and was slightly prolonged as compared with normal volunteers.",Oral enoximone pharmacokinetics in patients with congestive heart failure. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2960700/),min,17,53862,DB04880,Enoximone
