Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19167276,resolution factor,"Both the analytes were chromatographically separated with a resolution factor of 3.0 on a Gemini C18 (50mmx4.6mm, 5microm particle size) analytical column using 1% formic acid and methanol (50:50, v/v) as the mobile phase.",Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),,3.0,2873,DB00494,Entacapone
,19167276,selectivity factor (alpha),"The selectivity factor (alpha) of the column for the separation was 2.0, based on the capacity factors of 2.6 and 1.3 for (E)- and (Z)-isomers respectively.",Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),,2.0,2874,DB00494,Entacapone
,19167276,capacity factors,"The selectivity factor (alpha) of the column for the separation was 2.0, based on the capacity factors of 2.6 and 1.3 for (E)- and (Z)-isomers respectively.",Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),,2.6,2875,DB00494,Entacapone
,19167276,capacity factors,"The selectivity factor (alpha) of the column for the separation was 2.0, based on the capacity factors of 2.6 and 1.3 for (E)- and (Z)-isomers respectively.",Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),,1.3,2876,DB00494,Entacapone
,19167276,m,"The parent-->product ion transitions for both the isomers (m/z 306.1-->233.0) and IS (m/z 237.3-->194.2) were monitored on a triple quadrupole mass spectrometer, operating in the multiple reaction monitoring (MRM) and positive ion mode.",Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),,237.3,2877,DB00494,Entacapone
,19167276,process/extraction efficiency,Matrix effect was assessed by post-column analyte infusion experiment and the process/extraction efficiency found was 94.3% and 89.3% for (E)- and (Z)-isomers respectively.,Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),%,94.3,2878,DB00494,Entacapone
,19167276,process/extraction efficiency,Matrix effect was assessed by post-column analyte infusion experiment and the process/extraction efficiency found was 94.3% and 89.3% for (E)- and (Z)-isomers respectively.,Chromatographic separation of (E)- and (Z)-isomers of entacapone and their simultaneous quantitation in human plasma by LC-ESI-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19167276/),%,89.3,2879,DB00494,Entacapone
,8726541,duration of motor response,"The duration of motor response to levodopa increased significantly from 2.3 h to 3.2 h (i.e., by 39%) after a single dose and to 3.4 h (i.e., by 48%) after 4 weeks' medication with entacapone.","Effect of one month's treatment with peripherally acting catechol-O-methyltransferase inhibitor, entacapone, on pharmacokinetics and motor response to levodopa in advanced parkinsonian patients. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8726541/),h,2.3,12397,DB00494,Entacapone
,8726541,duration of motor response,"The duration of motor response to levodopa increased significantly from 2.3 h to 3.2 h (i.e., by 39%) after a single dose and to 3.4 h (i.e., by 48%) after 4 weeks' medication with entacapone.","Effect of one month's treatment with peripherally acting catechol-O-methyltransferase inhibitor, entacapone, on pharmacokinetics and motor response to levodopa in advanced parkinsonian patients. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8726541/),h,3.2,12398,DB00494,Entacapone
,8726541,duration of motor response,"The duration of motor response to levodopa increased significantly from 2.3 h to 3.2 h (i.e., by 39%) after a single dose and to 3.4 h (i.e., by 48%) after 4 weeks' medication with entacapone.","Effect of one month's treatment with peripherally acting catechol-O-methyltransferase inhibitor, entacapone, on pharmacokinetics and motor response to levodopa in advanced parkinsonian patients. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8726541/),h,3.4,12399,DB00494,Entacapone
,9754991,initial lag time,"After an initial lag time of 0.5 h, tolcapone was rapidly absorbed (peak plasma concentrations were reached within approximately 2 h) following either zero- or first-order absorption kinetics.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),h,0.5,17888,DB00494,Entacapone
,9754991,absolute bioavailability,The absolute bioavailability of an oral dose was approximately 60%.,"Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),%,60,17889,DB00494,Entacapone
,9754991,volume of distribution,"The volume of distribution was approximately 9 1, and the total clearance was approximately 71.h-l, resulting in a mean plasma half-life of 1.8 h.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),1,9,17890,DB00494,Entacapone
,9754991,total clearance,"The volume of distribution was approximately 9 1, and the total clearance was approximately 71.h-l, resulting in a mean plasma half-life of 1.8 h.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),h-l,71.,17891,DB00494,Entacapone
,9754991,plasma half-life,"The volume of distribution was approximately 9 1, and the total clearance was approximately 71.h-l, resulting in a mean plasma half-life of 1.8 h.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),h,1.8,17892,DB00494,Entacapone
,15965309,AUC,"The mean (+/-SD) plasma levodopa AUC was 39% (P = 0.0001) higher with entacapone (11,802 +/- 1454 ng/hour/mL) compared with placebo (8465 +/- 927 ng/hour/mL).",Entacapone increases levodopa exposure and reduces plasma levodopa variability when used with Sinemet CR. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15965309/),[ng] / [h·ml],"11,802",34890,DB00494,Entacapone
,15965309,AUC,"The mean (+/-SD) plasma levodopa AUC was 39% (P = 0.0001) higher with entacapone (11,802 +/- 1454 ng/hour/mL) compared with placebo (8465 +/- 927 ng/hour/mL).",Entacapone increases levodopa exposure and reduces plasma levodopa variability when used with Sinemet CR. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15965309/),[ng] / [h·ml],8465,34891,DB00494,Entacapone
,10901288,t1/2,"Both N-alkyl and N,N-dialkyl carbamate esters were relatively stable against chemical hydrolysis at pH 7.4 (t1/2 = 14.9-20.7 h), but hydrolyzed rapidly (t1/2 = 0.8-2.7 h) in human serum.","Synthesis and in vitro/in vivo evaluation of novel oral N-alkyl- and N,N-dialkyl-carbamate esters of entacapone. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10901288/),h,14.9-20.7,38421,DB00494,Entacapone
,10901288,t1/2,"Both N-alkyl and N,N-dialkyl carbamate esters were relatively stable against chemical hydrolysis at pH 7.4 (t1/2 = 14.9-20.7 h), but hydrolyzed rapidly (t1/2 = 0.8-2.7 h) in human serum.","Synthesis and in vitro/in vivo evaluation of novel oral N-alkyl- and N,N-dialkyl-carbamate esters of entacapone. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10901288/),h,0.8-2.7,38422,DB00494,Entacapone
