Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,18236785,area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),[h·ng] / [ml],14818.75,32039,DB00876,Eprosartan
,18236785,area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),[h·ng] / [ml],15081.62,32040,DB00876,Eprosartan
,18236785,peak plasma concentration (Cmax),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),[h·ng] / [ml],3664.25 x,32041,DB00876,Eprosartan
,18236785,time to Cmax (Tmax),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),h,1.63,32042,DB00876,Eprosartan
,18236785,elimination half-life (t(1/2)),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),h,8.03,32043,DB00876,Eprosartan
,18236785,apparent clearance (CL/F),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),[l] / [h],47.84,32044,DB00876,Eprosartan
,18236785,apparent volume of distribution of the central compartment (V/F),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),l,537.21,32045,DB00876,Eprosartan
,18236785,renal clearance (CLr),"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),[l] / [h],1.33,32046,DB00876,Eprosartan
,18236785,amount of,"The following pharmacokinetic parameters were elucidated after administration: the area under the plasma concentration versus time curve from 0 to 32 h (AUC0-32h) 14818.75 +/- 7312.11 ng x h/mL, the area under the plasma concentration versus time curve from 0 to infinite (AUC(0-infinity)) 15081.62 +/- 7379.63 ng x h/mL, peak plasma concentration (Cmax) 3664.25 x 1653.94 ng x h/mL, time to Cmax (Tmax) 1.63 +/- 0.46 h, elimination half-life (t(1/2)) 8.03 +/- 4.04 h, apparent clearance (CL/F) 47.84 +/- 19.21 L/h, apparent volume of distribution of the central compartment (V/F) 537.21 +/- 287.91 L, renal clearance (CLr) 1.33 +/- 0.41 L/h, amount of unchanged eprosartan excreted into urine 18.44 +/- 6.43 mg and fraction of unchanged eprosartan excreted into urine 3.07 +/- 1.07%.",Pharmacokinetics and urinary excretion of eprosartan in Chinese healthy volunteers of different gender. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18236785/),mg,18.44,32047,DB00876,Eprosartan
,10213525,bioavailability,"After oral administration of eprosartan to healthy volunteers, bioavailability is approximately 13%, with peak plasma concentrations occurring 1-2 hours after an oral dose in the fasted state.","Pharmacokinetics of eprosartan in healthy subjects, patients with hypertension, and special populations. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10213525/),%,13,33653,DB00876,Eprosartan
