Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11592620,elimination half-life,"The elimination half-life and the total clearance of ergovaline were found to be 56.83 +/- 13.48 min and 0.020 +/- 0.004 L/min x kg, respectively.",Toxicokinetics of ergovaline in the horse after an intravenous administration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11592620/),min,56.83,4212,DB00696,Ergotamine
,11592620,total clearance,"The elimination half-life and the total clearance of ergovaline were found to be 56.83 +/- 13.48 min and 0.020 +/- 0.004 L/min x kg, respectively.",Toxicokinetics of ergovaline in the horse after an intravenous administration. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11592620/),[l] / [kg·min],0.020,4213,DB00696,Ergotamine
,31975311,globule size,"The optimized formulation exhibited a mean globule size of 160 ± 6.5 nm, zeta potential of - 20.4 ± 1.23 mV, and drug content of 99.45 ± 1.9%.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),nm,160,7126,DB00696,Ergotamine
,31975311,zeta potential,"The optimized formulation exhibited a mean globule size of 160 ± 6.5 nm, zeta potential of - 20.4 ± 1.23 mV, and drug content of 99.45 ± 1.9%.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),mv,-,7127,DB00696,Ergotamine
,31975311,zeta potential,"The optimized formulation exhibited a mean globule size of 160 ± 6.5 nm, zeta potential of - 20.4 ± 1.23 mV, and drug content of 99.45 ± 1.9%.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),mv,20.4,7128,DB00696,Ergotamine
,31975311,enhancement ratio (ER),"Ex vivo permeation studies across rat skin exhibited a significant enhancement in permeation, i.e., enhancement ratio (ER) of ~ 7.4 and 5.86 for BCM-NE and BCM-NE gel, respectively, when compared with aqueous BCM suspension gel.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),,7.4,7129,DB00696,Ergotamine
,31975311,enhancement ratio (ER),"Ex vivo permeation studies across rat skin exhibited a significant enhancement in permeation, i.e., enhancement ratio (ER) of ~ 7.4 and 5.86 for BCM-NE and BCM-NE gel, respectively, when compared with aqueous BCM suspension gel.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),,5.86,7130,DB00696,Ergotamine
,31975311,AUC0-t,"The AUC0-t for BCM-NE gel and BCM suspension was found to be 562.54 ± 77.55 and 204.96 ± 51.93 ng/ml h, respectively.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),[ng] / [h·ml],562.54,7131,DB00696,Ergotamine
,31975311,AUC0-t,"The AUC0-t for BCM-NE gel and BCM suspension was found to be 562.54 ± 77.55 and 204.96 ± 51.93 ng/ml h, respectively.","Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),[ng] / [h·ml],204.96,7132,DB00696,Ergotamine
,31975311,relative bioavailability (%F),The relative bioavailability (%F) of BCM was shown to be enhanced 274% by BCM-NE gel.,"Bromocriptine Nanoemulsion-Loaded Transdermal Gel: Optimization Using Factorial Design, In Vitro and In Vivo Evaluation. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31975311/),%,274,7133,DB00696,Ergotamine
,10965414,Cmax,"The mean Cmax were 1.97 +/- 0.87 (after a median tmax of 1 h) and 2.05 +/- 0.95 ng/ml (after a median tmax of 0.83 h) after the administration of digoxin with (test) and without (reference) concomitant DHEC, respectively; the corresponding estimated treatment ratio for test: reference was 0.939, 95% CI: 0.781 to 1.129.",Study on the interaction of the dopamine agonist alpha-dihydroergocryptine with the pharmacokinetics of digoxin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10965414/),,1.97,7706,DB00696,Ergotamine
,10965414,Cmax,"The mean Cmax were 1.97 +/- 0.87 (after a median tmax of 1 h) and 2.05 +/- 0.95 ng/ml (after a median tmax of 0.83 h) after the administration of digoxin with (test) and without (reference) concomitant DHEC, respectively; the corresponding estimated treatment ratio for test: reference was 0.939, 95% CI: 0.781 to 1.129.",Study on the interaction of the dopamine agonist alpha-dihydroergocryptine with the pharmacokinetics of digoxin. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10965414/),[ng] / [ml],2.05,7707,DB00696,Ergotamine
