Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22071596,half-life,Peak plasma concentrations of afatinib were reached 3-4 h after administration and declined with a half-life of 30-40 h.,Phase I study of continuous afatinib (BIBW 2992) in patients with advanced non-small cell lung cancer after prior chemotherapy/erlotinib/gefitinib (LUX-Lung 4). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22071596/),h,30-40,22,DB00530,Erlotinib
,26420235,disease control rate,"No objective responses were observed; the disease control rate was 27 % (95 % CI, 6-61 %).","Safety, efficacy, and pharmacokinetics of navitoclax (ABT-263) in combination with erlotinib in patients with advanced solid tumors. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26420235/),%,27,223,DB00530,Erlotinib
,32654250,time to progression,The median time to progression was 2.2 months.,Erlotinib for Non-Small Cell Lung Cancer with Leptomeningeal Metastases: A Phase II Study (LOGIK1101). ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32654250/),month,2.2,564,DB00530,Erlotinib
,32654250,clearance rate,"The clearance rate was 30.0% (95% confidence interval [CI]: 11.9%-54.3%), the median TTP was 2.2 months, and the median OS was 3.4 months.",Erlotinib for Non-Small Cell Lung Cancer with Leptomeningeal Metastases: A Phase II Study (LOGIK1101). ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32654250/),%,30.0,565,DB00530,Erlotinib
,32654250,cerebrospinal fluid penetration rate,The mean cerebrospinal fluid penetration rate was 3.31% ± 0.77%.,Erlotinib for Non-Small Cell Lung Cancer with Leptomeningeal Metastases: A Phase II Study (LOGIK1101). ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32654250/),%,3.31,566,DB00530,Erlotinib
,27422720,disease control rate,A best response of stable disease was achieved by 2/11 patients in Part A and 4/6 patients in Part B (disease control rate: 35 %).,"A phase I dose-escalation study of LY2875358, a bivalent MET antibody, given as monotherapy or in combination with erlotinib or gefitinib in Japanese patients with advanced malignancies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27422720/),%,35,8740,DB00530,Erlotinib
,24901237,clearance,"Pharmacokinetics of ficlatuzumab showed low clearance (0.17-0.26 ml h(-1) kg(-1)), a half-life of 6.8-9.4 days and dose-proportional exposure.",Phase I ficlatuzumab monotherapy or with erlotinib for refractory advanced solid tumours and multiple myeloma. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24901237/),[ml] / [h·kg],0.17-0.26,14215,DB00530,Erlotinib
,24901237,half-life,"Pharmacokinetics of ficlatuzumab showed low clearance (0.17-0.26 ml h(-1) kg(-1)), a half-life of 6.8-9.4 days and dose-proportional exposure.",Phase I ficlatuzumab monotherapy or with erlotinib for refractory advanced solid tumours and multiple myeloma. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24901237/),d,6.8-9.4,14216,DB00530,Erlotinib
,30945322,ratio,The quinine/3-OH-quinine ratio decreased from 20.2 (± 13.4) at baseline to 11.0 (± 4.34).,Erlotinib treatment induces cytochrome P450 3A activity in non-small cell lung cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30945322/),,20.2,18416,DB00530,Erlotinib
,30945322,ratio,The quinine/3-OH-quinine ratio decreased from 20.2 (± 13.4) at baseline to 11.0 (± 4.34).,Erlotinib treatment induces cytochrome P450 3A activity in non-small cell lung cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30945322/),,11.0,18417,DB00530,Erlotinib
