Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19710642,area under plasma concentration-time curve extrapolated to infinity (AUC(0-infinity)),The median area under plasma concentration-time curve extrapolated to infinity (AUC(0-infinity)) of (+)-M1 was 2.75 micromol/l.h after placebo pretreatment compared with 1.95 micromol/l.h after escitalopram (P = 0.0027).,Escitalopram is a weak inhibitor of the CYP2D6-catalyzed O-demethylation of (+)-tramadol but does not reduce the hypoalgesic effect in experimental pain. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19710642/),[μM] / [h·l],2.75,1270,DB01175,Escitalopram
,19710642,area under plasma concentration-time curve extrapolated to infinity (AUC(0-infinity)),The median area under plasma concentration-time curve extrapolated to infinity (AUC(0-infinity)) of (+)-M1 was 2.75 micromol/l.h after placebo pretreatment compared with 1.95 micromol/l.h after escitalopram (P = 0.0027).,Escitalopram is a weak inhibitor of the CYP2D6-catalyzed O-demethylation of (+)-tramadol but does not reduce the hypoalgesic effect in experimental pain. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19710642/),[μM] / [h·l],1.95,1271,DB01175,Escitalopram
,19710642,AUEC(1-12),"The mean AUEC(1-12) of CPT were 4,140 and 4,388 cm.s after placebo and escitalopram, respectively (P = 0.71).",Escitalopram is a weak inhibitor of the CYP2D6-catalyzed O-demethylation of (+)-tramadol but does not reduce the hypoalgesic effect in experimental pain. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19710642/),cm·s,"4,140",1272,DB01175,Escitalopram
,19710642,AUEC(1-12),"The mean AUEC(1-12) of CPT were 4,140 and 4,388 cm.s after placebo and escitalopram, respectively (P = 0.71).",Escitalopram is a weak inhibitor of the CYP2D6-catalyzed O-demethylation of (+)-tramadol but does not reduce the hypoalgesic effect in experimental pain. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19710642/),cm·s,"4,388",1273,DB01175,Escitalopram
,26446141,exposure,Endoxifen exposure was ~3-fold higher during escitalopram co-administration than during paroxetine or fluoxetine co-administration (median 387 nM·h [range 159-637 nM·h] versus 99.2 nM·h [range 70.0-210 nM·h]; P = 0.012; Wilcoxon signed-rank test).,Augmentation of Endoxifen Exposure in Tamoxifen-Treated Women Following SSRI Switch. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26446141/),h·nM,387,7523,DB01175,Escitalopram
,26446141,exposure,Endoxifen exposure was ~3-fold higher during escitalopram co-administration than during paroxetine or fluoxetine co-administration (median 387 nM·h [range 159-637 nM·h] versus 99.2 nM·h [range 70.0-210 nM·h]; P = 0.012; Wilcoxon signed-rank test).,Augmentation of Endoxifen Exposure in Tamoxifen-Treated Women Following SSRI Switch. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26446141/),h·nM,99.2,7524,DB01175,Escitalopram
,19841156,Apparent clearance (CL/F),"Apparent clearance (CL/F) and volume of distribution (V/F) for escitalopram without including any covariates in the patient population were 23.5 L/h and 884 L, respectively.","Effect of age, weight, and CYP2C19 genotype on escitalopram exposure. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19841156/),[l] / [h],23.5,13796,DB01175,Escitalopram
,19841156,volume of distribution (V/F),"Apparent clearance (CL/F) and volume of distribution (V/F) for escitalopram without including any covariates in the patient population were 23.5 L/h and 884 L, respectively.","Effect of age, weight, and CYP2C19 genotype on escitalopram exposure. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19841156/),l,884,13797,DB01175,Escitalopram
,12387707,half-life,"Escitalopram has linear pharmacokinetics, so that plasma levels increase proportionately and predictably with increased doses and its half-life of 27 - 32 h is consistent with once-daily dosing.",Escitalopram. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12387707/),h,27 - 32,17299,DB01175,Escitalopram
,28673858,permeation amount,"The optimized patch prepared with ESP-BA showed zero-order skin permeation profile and a satisfied permeation amount of three days (1059±104.9μg/cm2) in vitro, which also showed a steady-state drug plasma concentration lasting 36h in vivo and the Cmax was significantly controlled compared with the control group.","Investigate the control release effect of ion-pair in the development of escitalopram transdermal patch using FT-IR spectroscopy, molecular modeling and thermal analysis. ",Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28673858/),[μg] / [cm2],105,22500,DB01175,Escitalopram
,28673858,steady-state drug plasma concentration,"The optimized patch prepared with ESP-BA showed zero-order skin permeation profile and a satisfied permeation amount of three days (1059±104.9μg/cm2) in vitro, which also showed a steady-state drug plasma concentration lasting 36h in vivo and the Cmax was significantly controlled compared with the control group.","Investigate the control release effect of ion-pair in the development of escitalopram transdermal patch using FT-IR spectroscopy, molecular modeling and thermal analysis. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28673858/),h,36,22501,DB01175,Escitalopram
,21883384,half-life of effect-delay,"The heart rate corrected QT interval (QT(c) ) was linearly dependent on predicted escitalopram concentration [slope = 87ms/(mgl(-1) )], using a hypothetical effect-compartment (half-life of effect-delay, 1.0h).",Population pharmacokinetics and pharmacodynamics of escitalopram in overdose and the effect of activated charcoal. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21883384/),h,1.0,27818,DB01175,Escitalopram
