Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16128938,pH,"At presumed steady-state (day 7), median 24-h pH values were 5.02 and 4.79 for tenatoprazole and esomeprazole, respectively.",Effect on intragastric pH of a PPI with a prolonged plasma half-life: comparison between tenatoprazole and esomeprazole on the duration of acid suppression in healthy male volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16128938/),,5.02,5792,DB00736,Esomeprazole
,16128938,pH,"At presumed steady-state (day 7), median 24-h pH values were 5.02 and 4.79 for tenatoprazole and esomeprazole, respectively.",Effect on intragastric pH of a PPI with a prolonged plasma half-life: comparison between tenatoprazole and esomeprazole on the duration of acid suppression in healthy male volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16128938/),,4.79,5793,DB00736,Esomeprazole
,16364049,Cmax,"It was demonstrated that increasing the rate of intravenous infusion of esomeprazole 40 mg resulted in higher Cmax values (geometric means; 5.2-7.6 micromol/l), but the AUC values remained relatively constant (7.1-7.2 micromor/l).",Pharmacokinetics of esomeprazole following varying intravenous administration rates. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16364049/),[μM] / [l],5.2-7.6,8213,DB00736,Esomeprazole
,16364049,AUC,"It was demonstrated that increasing the rate of intravenous infusion of esomeprazole 40 mg resulted in higher Cmax values (geometric means; 5.2-7.6 micromol/l), but the AUC values remained relatively constant (7.1-7.2 micromor/l).",Pharmacokinetics of esomeprazole following varying intravenous administration rates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16364049/),[μmor] / [l],7.1-7.2,8214,DB00736,Esomeprazole
,16364049,Cmax,intravenous injection had lower Cmax (3.6 micromol/l) and AUC (2.9 micromol.r/l) values than any of the infusions of esomeprazole 40 mg.,Pharmacokinetics of esomeprazole following varying intravenous administration rates. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16364049/),[μM] / [l],3.6,8215,DB00736,Esomeprazole
,16364049,AUC,intravenous injection had lower Cmax (3.6 micromol/l) and AUC (2.9 micromol.r/l) values than any of the infusions of esomeprazole 40 mg.,Pharmacokinetics of esomeprazole following varying intravenous administration rates. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16364049/),[r·μM] / [l],2.9,8216,DB00736,Esomeprazole
,32110830,concentration,"Patients with no PPI had no significant difference in plasma voriconazole concentration when compared with those with PPI (2.63 ± 2.13 μg/mL [95% confidence interval {CI} 1.57-3.69] vs 2.11 ± 1.73 μg/mL [95%CI 1.67-2.55], P > .05).",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],2.63,14376,DB00736,Esomeprazole
,32110830,concentration,"Patients with no PPI had no significant difference in plasma voriconazole concentration when compared with those with PPI (2.63 ± 2.13 μg/mL [95% confidence interval {CI} 1.57-3.69] vs 2.11 ± 1.73 μg/mL [95%CI 1.67-2.55], P > .05).",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],2.11,14377,DB00736,Esomeprazole
,32110830,plasma concentration,"However, voriconazole plasma concentration was significantly lower in patients treated with pantoprazole vs those treated with omeprazole (1.44 ± 1.22 μg/mL [95%CI 0.94-1.94) vs 2.67 ± 1.88 μg/mL [95%CI 2.02-3.32], P = .013) suggesting a greater CYP2C19 enzyme inhibitory effect of omeprazole.",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],1.44,14378,DB00736,Esomeprazole
,32110830,plasma concentration,"However, voriconazole plasma concentration was significantly lower in patients treated with pantoprazole vs those treated with omeprazole (1.44 ± 1.22 μg/mL [95%CI 0.94-1.94) vs 2.67 ± 1.88 μg/mL [95%CI 2.02-3.32], P = .013) suggesting a greater CYP2C19 enzyme inhibitory effect of omeprazole.",A multicentre prospective study evaluating the impact of proton-pump inhibitors omeprazole and pantoprazole on voriconazole plasma concentrations. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32110830/),[μg] / [ml],2.67,14379,DB00736,Esomeprazole
,20498287,t(max),"Nilotinib t(max) was prolonged from 4.0 to 6.0 hours, but t(1/2) was not altered.",Effect of the proton pump inhibitor esomeprazole on the oral absorption and pharmacokinetics of nilotinib. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20498287/),h,4.0 to 6.0,16195,DB00736,Esomeprazole
,20498287,gastric pH,"Mean gastric pH was 1.0 +/- 0.5 at baseline and increased to 2.79 +/- 2.50, 3.98 +/- 2.27, 5.30 +/- 1.70, 5.38 +/- 1.26, and 5.31 +/- 1.42 at predose and 1, 2, 3, and 4 hours after the fifth esomeprazole dose, respectively.",Effect of the proton pump inhibitor esomeprazole on the oral absorption and pharmacokinetics of nilotinib. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20498287/),,1.0,16196,DB00736,Esomeprazole
