Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19142159,bioavailability,"The bioavailability of ethacrynic acid approximates 100%, with maximal blood level between 40 and 92 minutes.",The clinical pharmacology of ethacrynic acid. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19142159/),%,100,42173,DB00903,Ethacrynic acid
,19142159,maximal blood level,"The bioavailability of ethacrynic acid approximates 100%, with maximal blood level between 40 and 92 minutes.",The clinical pharmacology of ethacrynic acid. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19142159/),min,40 and 92,42174,DB00903,Ethacrynic acid
less,19142159,elimination half-life,"The elimination half-life has been reported to be less than 1 hour, but highly variable (average 30 minutes with a range of 12-160 minutes).",The clinical pharmacology of ethacrynic acid. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/19142159/),h,1,42175,DB00903,Ethacrynic acid
,19142159,elimination half-life,"The elimination half-life has been reported to be less than 1 hour, but highly variable (average 30 minutes with a range of 12-160 minutes).",The clinical pharmacology of ethacrynic acid. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/19142159/),min,30,42176,DB00903,Ethacrynic acid
,7932170,terminal half-life,"After i.v. administration, plasma EA disappearance was biphasic in seven patients and monophasic in two patients with a terminal half-life of 30 and 8 min, respectively.",Pharmakokinetics and bioavailability study of ethacrynic acid as a modulator of drug resistance in patients with cancer. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7932170/),min,30,115755,DB00903,Ethacrynic acid
,7932170,terminal half-life,"After i.v. administration, plasma EA disappearance was biphasic in seven patients and monophasic in two patients with a terminal half-life of 30 and 8 min, respectively.",Pharmakokinetics and bioavailability study of ethacrynic acid as a modulator of drug resistance in patients with cancer. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7932170/),min,8,115756,DB00903,Ethacrynic acid
,7932170,total body clearance,Mean total body clearance was high; 1405 ml/min in patients described by using a one-compartment model and 611 ml/min in those patients described by a two-compartment model.,Pharmakokinetics and bioavailability study of ethacrynic acid as a modulator of drug resistance in patients with cancer. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7932170/),[ml] / [min],1405,115757,DB00903,Ethacrynic acid
,7932170,total body clearance,Mean total body clearance was high; 1405 ml/min in patients described by using a one-compartment model and 611 ml/min in those patients described by a two-compartment model.,Pharmakokinetics and bioavailability study of ethacrynic acid as a modulator of drug resistance in patients with cancer. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7932170/),[ml] / [min],611,115758,DB00903,Ethacrynic acid
less,7932170,absolute bioavailability,"After p.o. administration, peak EA plasma concentrations were less than 10% of i.v. EA and the absolute bioavailability was less than 21% (range, 7-35%).",Pharmakokinetics and bioavailability study of ethacrynic acid as a modulator of drug resistance in patients with cancer. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7932170/),%,21,115759,DB00903,Ethacrynic acid
,8922555,time to maximum plasma concentration (tmax),"Dexketoprofen trometamol, given as a tablet, is rapidly absorbed, with a time to maximum plasma concentration (tmax) of between 0.25 and 0.75 hours, whereas the tmax for the S-enantiomer after the racemic drug, administered as tablets or capsules prepared with the free acid, is between 0.5 and 3 hours.",Preclinical and clinical development of dexketoprofen. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8922555/),h,0.25 and 0.75,147498,DB00903,Ethacrynic acid
