Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,455989,half-life,"The time course of ethinyloestradiol concentration in plasma can be described by a 3-compartment model after intravenous injection and by a 2-compartment model after oral administration, because an early disposition phase with a half-life of about 15 minutes only becomes visible after i.v. injection.",Investigations of pharmacokinetics of ethinyloestradiol to specific consideration of a possible first-pass effect in women. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/455989/),min,15,517,DB00977,Ethinyl Estradiol
,455989,terminal half-life,"On an average, the terminal half-life of unchanged ethinyloestradiol level and total radioactivity was calculated to be about 1 day.",Investigations of pharmacokinetics of ethinyloestradiol to specific consideration of a possible first-pass effect in women. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/455989/),d,1,518,DB00977,Ethinyl Estradiol
,725974,half life (t1/2),"The disappearance followed two exponentials, the first having a half life (t1/2) of 5.5 min and the second, apparently terminal exponential was also rapid (t1/2-69 min).",The pharmacokinetics of tritiated ethinylestradiol in the rabbit. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/725974/),min,5.5,610,DB00977,Ethinyl Estradiol
,725974,t1/2,"The disappearance followed two exponentials, the first having a half life (t1/2) of 5.5 min and the second, apparently terminal exponential was also rapid (t1/2-69 min).",The pharmacokinetics of tritiated ethinylestradiol in the rabbit. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/725974/),min,69,611,DB00977,Ethinyl Estradiol
,725974,plasma clearance,The plasma clearance was 150 ml/min which suggests almost total clearance of this steroid during a single passage through the liver.,The pharmacokinetics of tritiated ethinylestradiol in the rabbit. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/725974/),[ml] / [min],150,612,DB00977,Ethinyl Estradiol
,3814762,Elimination half-lives,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,1.98,8399,DB00977,Ethinyl Estradiol
,3814762,Elimination half-lives,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,2.73,8400,DB00977,Ethinyl Estradiol
,3814762,total clearances,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),[ml] / [kg·min],4.20,8401,DB00977,Ethinyl Estradiol
,3814762,total clearances,"Elimination half-lives were shorter in the patients than in the 9 healthy subjects (1.98 +/- 0.48 versus 2.73 +/- 0.76 h, mean +/- SD, 0.02 less than p less than 0.05), and total clearances higher (4.20 +/- 0.53 versus 2.96 +/- 0.54 ml X min-1 X kg-1, p less than 0.02), while the volumes of distribution did not differ significantly.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),[ml] / [kg·min],2.96,8402,DB00977,Ethinyl Estradiol
,3814762,elimination half-life,"Among the healthy subjects, the oral contraceptive group exhibited a longer elimination half-life, and a lower total clearance, than each of the other two groups, who gave similar results (respectively 4.75 +/- 1.27, 3.05 +/- 0.75, and 2.33 +/- 0.66 h, p less than or equal to 0.05; 1.91 +/- 0.57, 2.95 +/- 0.60, and 2.97 +/- 0.57 ml X min-1 X kg-1, p less than or equal to 0.05); the volumes of distribution were not significantly different.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,4.75,8403,DB00977,Ethinyl Estradiol
,3814762,elimination half-life,"Among the healthy subjects, the oral contraceptive group exhibited a longer elimination half-life, and a lower total clearance, than each of the other two groups, who gave similar results (respectively 4.75 +/- 1.27, 3.05 +/- 0.75, and 2.33 +/- 0.66 h, p less than or equal to 0.05; 1.91 +/- 0.57, 2.95 +/- 0.60, and 2.97 +/- 0.57 ml X min-1 X kg-1, p less than or equal to 0.05); the volumes of distribution were not significantly different.","Modified elimination of prednisolone in epileptic patients on carbamazepine monotherapy, and in women using low-dose oral contraceptives. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3814762/),h,3.05,8404,DB00977,Ethinyl Estradiol
