Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2758563,bioavailability,This study confirms previous observations that etoposide absorption is dose-dependent and that a mean bioavailability of approximately 50% cannot be assumed at total oral doses greater than 200 mg.,The effect of dose on the bioavailability of oral etoposide: confirmation of a clinically relevant observation. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2758563/),%,50,123,DB00773,Etoposide
,8431968,beta-elimination half-life (t 1/2 beta),"After the exclusion of patients who had previously been given cisplatin or who exhibited renal impairment and of one patient who showed extremely high levels of alkaline phosphatase, gamma-GT and SGPT, the mean values calculated for the pharmacokinetic parameters evaluated were: beta-elimination half-life (t 1/2 beta), 4.9 +/- 1.2 h; mean residence time (MRT), 6.7 +/- 1.4 h; area under the concentration-time curve (AUC), 5.43 +/- 1.74 mg min ml-1; volume of distribution at steady state (Vdss), 6.8 +/- 2.7 l/m2; and clearance (Cl), 18.8 +/- 5.3 ml min-1 m-2.",Pharmacokinetics of etoposide: correlation of pharmacokinetic parameters with clinical conditions. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8431968/),h,4.9,690,DB00773,Etoposide
,8431968,mean residence time (MRT),"After the exclusion of patients who had previously been given cisplatin or who exhibited renal impairment and of one patient who showed extremely high levels of alkaline phosphatase, gamma-GT and SGPT, the mean values calculated for the pharmacokinetic parameters evaluated were: beta-elimination half-life (t 1/2 beta), 4.9 +/- 1.2 h; mean residence time (MRT), 6.7 +/- 1.4 h; area under the concentration-time curve (AUC), 5.43 +/- 1.74 mg min ml-1; volume of distribution at steady state (Vdss), 6.8 +/- 2.7 l/m2; and clearance (Cl), 18.8 +/- 5.3 ml min-1 m-2.",Pharmacokinetics of etoposide: correlation of pharmacokinetic parameters with clinical conditions. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8431968/),h,6.7,691,DB00773,Etoposide
,8431968,area under the concentration-time curve (AUC),"After the exclusion of patients who had previously been given cisplatin or who exhibited renal impairment and of one patient who showed extremely high levels of alkaline phosphatase, gamma-GT and SGPT, the mean values calculated for the pharmacokinetic parameters evaluated were: beta-elimination half-life (t 1/2 beta), 4.9 +/- 1.2 h; mean residence time (MRT), 6.7 +/- 1.4 h; area under the concentration-time curve (AUC), 5.43 +/- 1.74 mg min ml-1; volume of distribution at steady state (Vdss), 6.8 +/- 2.7 l/m2; and clearance (Cl), 18.8 +/- 5.3 ml min-1 m-2.",Pharmacokinetics of etoposide: correlation of pharmacokinetic parameters with clinical conditions. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8431968/),[mg·min] / [ml],5.43,692,DB00773,Etoposide
,8431968,volume of distribution at steady state (Vdss),"After the exclusion of patients who had previously been given cisplatin or who exhibited renal impairment and of one patient who showed extremely high levels of alkaline phosphatase, gamma-GT and SGPT, the mean values calculated for the pharmacokinetic parameters evaluated were: beta-elimination half-life (t 1/2 beta), 4.9 +/- 1.2 h; mean residence time (MRT), 6.7 +/- 1.4 h; area under the concentration-time curve (AUC), 5.43 +/- 1.74 mg min ml-1; volume of distribution at steady state (Vdss), 6.8 +/- 2.7 l/m2; and clearance (Cl), 18.8 +/- 5.3 ml min-1 m-2.",Pharmacokinetics of etoposide: correlation of pharmacokinetic parameters with clinical conditions. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8431968/),[l] / [m2],6.8,693,DB00773,Etoposide
,8431968,clearance (Cl),"After the exclusion of patients who had previously been given cisplatin or who exhibited renal impairment and of one patient who showed extremely high levels of alkaline phosphatase, gamma-GT and SGPT, the mean values calculated for the pharmacokinetic parameters evaluated were: beta-elimination half-life (t 1/2 beta), 4.9 +/- 1.2 h; mean residence time (MRT), 6.7 +/- 1.4 h; area under the concentration-time curve (AUC), 5.43 +/- 1.74 mg min ml-1; volume of distribution at steady state (Vdss), 6.8 +/- 2.7 l/m2; and clearance (Cl), 18.8 +/- 5.3 ml min-1 m-2.",Pharmacokinetics of etoposide: correlation of pharmacokinetic parameters with clinical conditions. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8431968/),[ml] / [(m)^2·min],18.8,694,DB00773,Etoposide
,26029029,peak plasma concentration,"While the mean etoposide peak plasma concentration in the first cycle of chemotherapy was 17.6 mg/l, the highest levels of 27.07 and 27.49 mg/l were determined in two patients with febrile neutropenia.",Febrile neutropenia in chemotherapy treated small-cell lung cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26029029/),[mg] / [l],17.6,1280,DB00773,Etoposide
,26029029,peak plasma concentration,"While the mean etoposide peak plasma concentration in the first cycle of chemotherapy was 17.6 mg/l, the highest levels of 27.07 and 27.49 mg/l were determined in two patients with febrile neutropenia.",Febrile neutropenia in chemotherapy treated small-cell lung cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26029029/),[mg] / [l],27.07,1281,DB00773,Etoposide
,26029029,peak plasma concentration,"While the mean etoposide peak plasma concentration in the first cycle of chemotherapy was 17.6 mg/l, the highest levels of 27.07 and 27.49 mg/l were determined in two patients with febrile neutropenia.",Febrile neutropenia in chemotherapy treated small-cell lung cancer patients. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26029029/),[mg] / [l],27.49,1282,DB00773,Etoposide
,1312906,peak plasma concentration,"The peak plasma concentration after intravenous administration ranged from 7.01 to 10.47 micrograms/ml, varying in proportion to the injected dose, whereas that after oral administration was lower, namely, 1.44-4.99 micrograms/ml, and was unstable when the oral dose was 150 mg daily.",Penetration of etoposide into human malignant brain tumors after intravenous and oral administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1312906/),[μg] / [ml],7.01 to 10.47,4357,DB00773,Etoposide
