Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,33964572,progression-free survival rate,"The sixteen-week progression-free survival rate was 52.4% (90% confidence interval [CI]: 32.8, 71.4) in the RCC cohort, 35.3% (90% CI: 16.6, 58.0) in the prior pNET cohort and 30.0% (90% CI: 8.7, 60.7) in the prior mTORi cohort.","Alpelisib in combination with everolimus ± exemestane in solid tumours: Phase Ib randomised, open-label, multicentre study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33964572/),%,52,11753,DB00990,Exemestane
,33964572,progression-free survival rate,"The sixteen-week progression-free survival rate was 52.4% (90% confidence interval [CI]: 32.8, 71.4) in the RCC cohort, 35.3% (90% CI: 16.6, 58.0) in the prior pNET cohort and 30.0% (90% CI: 8.7, 60.7) in the prior mTORi cohort.","Alpelisib in combination with everolimus ± exemestane in solid tumours: Phase Ib randomised, open-label, multicentre study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33964572/),%,35,11754,DB00990,Exemestane
,33964572,progression-free survival rate,"The sixteen-week progression-free survival rate was 52.4% (90% confidence interval [CI]: 32.8, 71.4) in the RCC cohort, 35.3% (90% CI: 16.6, 58.0) in the prior pNET cohort and 30.0% (90% CI: 8.7, 60.7) in the prior mTORi cohort.","Alpelisib in combination with everolimus ± exemestane in solid tumours: Phase Ib randomised, open-label, multicentre study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33964572/),%,30,11755,DB00990,Exemestane
,34041638,Ctrough,The optimal Ctrough cutoff predicting DLT development was 17.3 ng/mL.,Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),[ng] / [ml],17.3,33999,DB00990,Exemestane
≥,34041638,Ctrough,"The cumulative incidence of DLTs was significantly higher in patients with Ctrough ≥17.3 ng/mL than in other patients (sub-hazard ratio 4.87, 95 % confidence interval [CI] 1.53-15.5; P = 0.007).",Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),[ng] / [ml],17.3,34000,DB00990,Exemestane
,34041638,PFS,"Furthermore, the median PFS was numerically longer in patients who maintained a steady-state Ctrough below the threshold than in those who did not (327 days [95 % CI 103-355 days] vs. 194 days [95 % CI 45 days-not estimable]; P = 0.35).",Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),d,327,34001,DB00990,Exemestane
,34041638,PFS,"Furthermore, the median PFS was numerically longer in patients who maintained a steady-state Ctrough below the threshold than in those who did not (327 days [95 % CI 103-355 days] vs. 194 days [95 % CI 45 days-not estimable]; P = 0.35).",Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),d,194,34002,DB00990,Exemestane
,34041638,steady-state Ctrough,"Furthermore, the median PFS was numerically longer in patients who maintained a steady-state Ctrough below the threshold than in those who did not (327 days [95 % CI 103-355 days] vs. 194 days [95 % CI 45 days-not estimable]; P = 0.35).",Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),d,327,34003,DB00990,Exemestane
,34041638,steady-state Ctrough,"Furthermore, the median PFS was numerically longer in patients who maintained a steady-state Ctrough below the threshold than in those who did not (327 days [95 % CI 103-355 days] vs. 194 days [95 % CI 45 days-not estimable]; P = 0.35).",Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),d,194,34004,DB00990,Exemestane
,34041638,Ctrough,The suggested upper threshold for the therapeutic window of everolimus Ctrough was 17.3 ng/mL.,Real-world pharmacokinetics and pharmacodynamics of everolimus in metastatic breast cancer. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34041638/),[ng] / [ml],17.3,34005,DB00990,Exemestane
,18330698,AUC,"Mean plasma estrogen levels (AUC(day 36-57)) were significantly lower for subjects who received T + EX than for subjects who received T alone (20.6 vs. 54.0 pg d/ml [-62%; P < 0.05], and 38.9 vs. 198.0 pg d/ml [-80%; P < 0.01] for E(2) and E(1), respectively).",Estrogen suppression in premenopausal women following 8 weeks of treatment with exemestane and triptorelin versus triptorelin alone. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18330698/),[d·pg] / [ml],20.6,51898,DB00990,Exemestane
,18330698,AUC,"Mean plasma estrogen levels (AUC(day 36-57)) were significantly lower for subjects who received T + EX than for subjects who received T alone (20.6 vs. 54.0 pg d/ml [-62%; P < 0.05], and 38.9 vs. 198.0 pg d/ml [-80%; P < 0.01] for E(2) and E(1), respectively).",Estrogen suppression in premenopausal women following 8 weeks of treatment with exemestane and triptorelin versus triptorelin alone. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18330698/),[d·pg] / [ml],54.0,51899,DB00990,Exemestane
,18330698,AUC,"Mean plasma estrogen levels (AUC(day 36-57)) were significantly lower for subjects who received T + EX than for subjects who received T alone (20.6 vs. 54.0 pg d/ml [-62%; P < 0.05], and 38.9 vs. 198.0 pg d/ml [-80%; P < 0.01] for E(2) and E(1), respectively).",Estrogen suppression in premenopausal women following 8 weeks of treatment with exemestane and triptorelin versus triptorelin alone. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18330698/),[d·pg] / [ml],38.9,51900,DB00990,Exemestane
,18330698,AUC,"Mean plasma estrogen levels (AUC(day 36-57)) were significantly lower for subjects who received T + EX than for subjects who received T alone (20.6 vs. 54.0 pg d/ml [-62%; P < 0.05], and 38.9 vs. 198.0 pg d/ml [-80%; P < 0.01] for E(2) and E(1), respectively).",Estrogen suppression in premenopausal women following 8 weeks of treatment with exemestane and triptorelin versus triptorelin alone. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18330698/),[d·pg] / [ml],198.0,51901,DB00990,Exemestane
,21641878,Extraction recoveries,"Extraction recoveries of exemestane and internal standard were 79.7-86.2% and 82.9-83.6%, respectively.",Development and validation of a sensitive liquid chromatography/tandem mass spectrometry method for the determination of exemestane in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21641878/),%,79.7-86.2,60024,DB00990,Exemestane
,21641878,Extraction recoveries,"Extraction recoveries of exemestane and internal standard were 79.7-86.2% and 82.9-83.6%, respectively.",Development and validation of a sensitive liquid chromatography/tandem mass spectrometry method for the determination of exemestane in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21641878/),%,82.9-83.6,60025,DB00990,Exemestane
,14671195,terminal half-life,The terminal half-life was 8.9 h.,"Pharmacokinetics and dose finding of a potent aromatase inhibitor, aromasin (exemestane), in young males. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/14671195/),h,8.9,86655,DB00990,Exemestane
,20329658,Cmax,"The geometric mean Cmax of exemestane for the reference and test products was 21.48 and 20.14 ng/mL, respectively.",Bioequivalence of exemestane in post-menopausal females. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20329658/),[ng] / [ml],21.48,97982,DB00990,Exemestane
,20329658,Cmax,"The geometric mean Cmax of exemestane for the reference and test products was 21.48 and 20.14 ng/mL, respectively.",Bioequivalence of exemestane in post-menopausal females. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20329658/),[ng] / [ml],20.14,97983,DB00990,Exemestane
,20329658,AUC(0-infinity),The corresponding mean AUC(0-infinity) was 87.12 and 86.90 ng x h/mL.,Bioequivalence of exemestane in post-menopausal females. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20329658/),[h·ng] / [ml],87.12,97984,DB00990,Exemestane
,20329658,AUC(0-infinity),The corresponding mean AUC(0-infinity) was 87.12 and 86.90 ng x h/mL.,Bioequivalence of exemestane in post-menopausal females. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20329658/),[h·ng] / [ml],86.90,97985,DB00990,Exemestane
,20329658,Tmax,"The median Tmax for both products under investigation appeared at 1.70 and 1.97 h, respectively.",Bioequivalence of exemestane in post-menopausal females. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20329658/),h,1.70,97986,DB00990,Exemestane
,20329658,Tmax,"The median Tmax for both products under investigation appeared at 1.70 and 1.97 h, respectively.",Bioequivalence of exemestane in post-menopausal females. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20329658/),h,1.97,97987,DB00990,Exemestane
,18757262,Maximum fulvestrant concentration,Maximum fulvestrant concentration (19.7 ng/mL) was observed at an average of 12 days within the first month and maintained at 12-15 ng/mL throughout the remainder of the dosing period.,Pharmacokinetic profile of the fulvestrant loading dose regimen in postmenopausal women with hormone receptor-positive advanced breast cancer. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18757262/),[ng] / [ml],19.7,107154,DB00990,Exemestane
,18757262,Maximum fulvestrant concentration,Maximum fulvestrant concentration (19.7 ng/mL) was observed at an average of 12 days within the first month and maintained at 12-15 ng/mL throughout the remainder of the dosing period.,Pharmacokinetic profile of the fulvestrant loading dose regimen in postmenopausal women with hormone receptor-positive advanced breast cancer. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18757262/),[ng] / [ml],12-15,107155,DB00990,Exemestane
,18316794,TTP,"Median TTP was 3.7 months in both groups (hazard ratio = 0.963; 95% CI, 0.819 to 1.133; P = .6531).","Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),month,3.7,116367,DB00990,Exemestane
,18316794,overall response rate,The overall response rate (7.4% v 6.7%; P = .736) and clinical benefit rate (32.2% v 31.5%; P = .853) were similar between fulvestrant and exemestane respectively.,"Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),%,7.4,116368,DB00990,Exemestane
,18316794,overall response rate,The overall response rate (7.4% v 6.7%; P = .736) and clinical benefit rate (32.2% v 31.5%; P = .853) were similar between fulvestrant and exemestane respectively.,"Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),%,6.7,116369,DB00990,Exemestane
,18316794,clinical benefit rate,The overall response rate (7.4% v 6.7%; P = .736) and clinical benefit rate (32.2% v 31.5%; P = .853) were similar between fulvestrant and exemestane respectively.,"Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),%,32.2,116370,DB00990,Exemestane
,18316794,clinical benefit rate,The overall response rate (7.4% v 6.7%; P = .736) and clinical benefit rate (32.2% v 31.5%; P = .853) were similar between fulvestrant and exemestane respectively.,"Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),%,31.5,116371,DB00990,Exemestane
,18316794,duration of clinical benefit,"Median duration of clinical benefit was 9.3 and 8.3 months, respectively.","Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),month,9.3,116372,DB00990,Exemestane
,18316794,duration of clinical benefit,"Median duration of clinical benefit was 9.3 and 8.3 months, respectively.","Double-blind, randomized placebo controlled trial of fulvestrant compared with exemestane after prior nonsteroidal aromatase inhibitor therapy in postmenopausal women with hormone receptor-positive, advanced breast cancer: results from EFECT. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18316794/),month,8.3,116373,DB00990,Exemestane
,31201904,polydispersity index,"EXE-loaded NLCs were spherical in shape and with a hydrodynamic diameter of 131.3 ± 2.43 nm, polydispersity index 0.205 ± 0.06, and percentage entrapment efficiency 85.6 ± 1.20%.","Nanostructured Lipid Carriers for Oral Bioavailability Enhancement of Exemestane: Formulation Design, In Vitro, Ex Vivo, and In Vivo Studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31201904/),,0.205,120354,DB00990,Exemestane
,31201904,percentage entrapment efficiency,"EXE-loaded NLCs were spherical in shape and with a hydrodynamic diameter of 131.3 ± 2.43 nm, polydispersity index 0.205 ± 0.06, and percentage entrapment efficiency 85.6 ± 1.20%.","Nanostructured Lipid Carriers for Oral Bioavailability Enhancement of Exemestane: Formulation Design, In Vitro, Ex Vivo, and In Vivo Studies. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31201904/),%,85.6,120355,DB00990,Exemestane
,30096831,run time,The run time was 6 min.,A Sensitive Liquid Chromatography-Tandem Mass Spectrometry Method for the Determination of Nimbolide in Mouse Serum: Application to a Preclinical Pharmacokinetics Study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30096831/),min,6,142045,DB00990,Exemestane
,15014897,AUC(0- infinity ),"Thus, the geometric mean AUC(0- infinity ) values were 41.71 (90% CI 32.2 to 54.0), 99.02 (76.5 to 128.2) and 118.59 ng.h/ml (90.2 to 156.0) in healthy subjects, and in patients with moderate and severe hepatic impairment, respectively ( P<0.01).",The effects of degree of hepatic or renal impairment on the pharmacokinetics of exemestane in postmenopausal women. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014897/),[h·ng] / [ml],41.71,163144,DB00990,Exemestane
,15014897,AUC(0- infinity ),"Thus, the geometric mean AUC(0- infinity ) values were 41.71 (90% CI 32.2 to 54.0), 99.02 (76.5 to 128.2) and 118.59 ng.h/ml (90.2 to 156.0) in healthy subjects, and in patients with moderate and severe hepatic impairment, respectively ( P<0.01).",The effects of degree of hepatic or renal impairment on the pharmacokinetics of exemestane in postmenopausal women. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014897/),[h·ng] / [ml],99.02,163145,DB00990,Exemestane
,15014897,AUC(0- infinity ),"Thus, the geometric mean AUC(0- infinity ) values were 41.71 (90% CI 32.2 to 54.0), 99.02 (76.5 to 128.2) and 118.59 ng.h/ml (90.2 to 156.0) in healthy subjects, and in patients with moderate and severe hepatic impairment, respectively ( P<0.01).",The effects of degree of hepatic or renal impairment on the pharmacokinetics of exemestane in postmenopausal women. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014897/),[h·ng] / [ml],118.59,163146,DB00990,Exemestane
,15014897,AUC(0- infinity ),"Renal impairment was also associated with two- to threefold increases in AUC(0- infinity ): 34.64 (90% CI 23.9 to 50.2), 94.10 (64.9 to 136.4) and 65.52 ng.h/ml (46.5 to 92.4) in healthy subjects, and in patients with moderate and severe hepatic impairment, respectively ( P<0.05).",The effects of degree of hepatic or renal impairment on the pharmacokinetics of exemestane in postmenopausal women. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014897/),[h·ng] / [ml],34.64,163147,DB00990,Exemestane
,15014897,AUC(0- infinity ),"Renal impairment was also associated with two- to threefold increases in AUC(0- infinity ): 34.64 (90% CI 23.9 to 50.2), 94.10 (64.9 to 136.4) and 65.52 ng.h/ml (46.5 to 92.4) in healthy subjects, and in patients with moderate and severe hepatic impairment, respectively ( P<0.05).",The effects of degree of hepatic or renal impairment on the pharmacokinetics of exemestane in postmenopausal women. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014897/),[h·ng] / [ml],94.10,163148,DB00990,Exemestane
,15014897,AUC(0- infinity ),"Renal impairment was also associated with two- to threefold increases in AUC(0- infinity ): 34.64 (90% CI 23.9 to 50.2), 94.10 (64.9 to 136.4) and 65.52 ng.h/ml (46.5 to 92.4) in healthy subjects, and in patients with moderate and severe hepatic impairment, respectively ( P<0.05).",The effects of degree of hepatic or renal impairment on the pharmacokinetics of exemestane in postmenopausal women. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15014897/),[h·ng] / [ml],65.52,163149,DB00990,Exemestane
,12146002,response rate (CR + PR),"The response rate (CR + PR) was 24.2% (8.33%), which exceeded the minimum number (6 cases) required to evaluate efficacy.",[Late phase II study of exemestane in postmenopausal patients with breast cancer resistant to anti-estrogenic agents]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12146002/),%,24.2,163476,DB00990,Exemestane
,12538502,plasma half-lives,"At clinically administered doses, the plasma half-lives of anastrozole (1 mg once daily), letrozole (2.5 mg once daily), and exemestane (25 mg once daily) are 41-48 h, 2-4 days, and 27 h, respectively.",Pharmacology and pharmacokinetics of the newer generation aromatase inhibitors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12538502/),h,41-48,186734,DB00990,Exemestane
,12538502,plasma half-lives,"At clinically administered doses, the plasma half-lives of anastrozole (1 mg once daily), letrozole (2.5 mg once daily), and exemestane (25 mg once daily) are 41-48 h, 2-4 days, and 27 h, respectively.",Pharmacology and pharmacokinetics of the newer generation aromatase inhibitors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12538502/),d,2-4,186735,DB00990,Exemestane
,12538502,plasma half-lives,"At clinically administered doses, the plasma half-lives of anastrozole (1 mg once daily), letrozole (2.5 mg once daily), and exemestane (25 mg once daily) are 41-48 h, 2-4 days, and 27 h, respectively.",Pharmacology and pharmacokinetics of the newer generation aromatase inhibitors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12538502/),h,27,186736,DB00990,Exemestane
,12538502,Time to steady-state plasma levels,Time to steady-state plasma levels is 7 days for both anastrozole and exemestane and 60 days for letrozole.,Pharmacology and pharmacokinetics of the newer generation aromatase inhibitors. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12538502/),d,7,186737,DB00990,Exemestane
,12538502,Time to steady-state plasma levels,Time to steady-state plasma levels is 7 days for both anastrozole and exemestane and 60 days for letrozole.,Pharmacology and pharmacokinetics of the newer generation aromatase inhibitors. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12538502/),d,60,186738,DB00990,Exemestane
,15752382,k12,"A three-compartment model with first-order elimination rate best described exemestane disposition (k12 0.454, k21 0.158, k13 0.174, k31 0.016 and k 0.738 h(-1)).",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,"K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),,0.454,188705,DB00990,Exemestane
,15752382,k21,"A three-compartment model with first-order elimination rate best described exemestane disposition (k12 0.454, k21 0.158, k13 0.174, k31 0.016 and k 0.738 h(-1)).",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,"K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),,0.158,188706,DB00990,Exemestane
,15752382,k13,"A three-compartment model with first-order elimination rate best described exemestane disposition (k12 0.454, k21 0.158, k13 0.174, k31 0.016 and k 0.738 h(-1)).",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,"K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),,0.174,188707,DB00990,Exemestane
,15752382,k31,"A three-compartment model with first-order elimination rate best described exemestane disposition (k12 0.454, k21 0.158, k13 0.174, k31 0.016 and k 0.738 h(-1)).",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,"K12, K21-Q48",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),1/[h],0.016,188708,DB00990,Exemestane
,15752382,k,"A three-compartment model with first-order elimination rate best described exemestane disposition (k12 0.454, k21 0.158, k13 0.174, k31 0.016 and k 0.738 h(-1)).",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),1/[h],0.738,188709,DB00990,Exemestane
,15752382,ka,"Absorption was described by a mono-exponential function [ka 2.3 (SCT after fasting), 1.1 (SCT after food) and 7.6 h(-1) (suspension); lag time 0.2 h].",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),1/[h],2.3,188710,DB00990,Exemestane
,15752382,ka,"Absorption was described by a mono-exponential function [ka 2.3 (SCT after fasting), 1.1 (SCT after food) and 7.6 h(-1) (suspension); lag time 0.2 h].",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),1/[h],1.1,188711,DB00990,Exemestane
,15752382,ka,"Absorption was described by a mono-exponential function [ka 2.3 (SCT after fasting), 1.1 (SCT after food) and 7.6 h(-1) (suspension); lag time 0.2 h].",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),1/[h],7.6,188712,DB00990,Exemestane
,15752382,lag time,"Absorption was described by a mono-exponential function [ka 2.3 (SCT after fasting), 1.1 (SCT after food) and 7.6 h(-1) (suspension); lag time 0.2 h].",A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),h,0.2,188713,DB00990,Exemestane
,15752382,zero-order synthesis rate,The PD model assumed that E1S plasma concentrations are determined by a zero-order synthesis rate (6.5 pg ml(-1) h(-1)) and a first-order elimination constant (0.032 h(-1)).,A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),[pg] / [h·ml],6.5,188714,DB00990,Exemestane
,15752382,first-order elimination constant,The PD model assumed that E1S plasma concentrations are determined by a zero-order synthesis rate (6.5 pg ml(-1) h(-1)) and a first-order elimination constant (0.032 h(-1)).,A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),1/[h],0.032,188715,DB00990,Exemestane
,15752382,C50,Exemestane inhibited E1S synthesis with a C50 value of 22.1 pg ml(-1).,A predictive model for exemestane pharmacokinetics/pharmacodynamics incorporating the effect of food and formulation. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15752382/),[pg] / [ml],22.1,188716,DB00990,Exemestane
