Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21988149,release,"The highest significant release (p < 0.05) was achieved from the lyophilized ternary complex containing 100 mg of Fn in presence of polyvinylpyrrolidone (PVP K(25)), exhibiting a release of 88.25% ± 0.93 after 5 min of chewing.","Immediate release three-layered chewing gum tablets of fenoprofen calcium: preparation, optimization and bioavailability studies in healthy human volunteers. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21988149/),%,88.25,350,DB00573,Fenoprofen
,21988149,relative bioavailability,The relative bioavailability of the selected gum tablet was found to be 166.06% compared to Nalfon(®) 200 mg capsules.,"Immediate release three-layered chewing gum tablets of fenoprofen calcium: preparation, optimization and bioavailability studies in healthy human volunteers. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21988149/),%,166.06,351,DB00573,Fenoprofen
,1810148,steady-state clearances,The mean (+/- SEM) steady-state clearances of (R)-ibuprofen (15.5 +/- 1.1 ml/min/kg) and (S)-ibuprofen (13.6 +/- 1.9 ml/min/kg) were not significantly different from each other (p greater than 0.05) and exceeded the plasma clearance of indocyanine green (4.3 +/- 0.4 ml/min/kg) in a separate group of rabbits (n = 6).,Pharmacokinetics of the enantiomers of ibuprofen in the rabbit. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1810148/),[ml] / [kg·min],15.5,14985,DB00573,Fenoprofen
,1810148,steady-state clearances,The mean (+/- SEM) steady-state clearances of (R)-ibuprofen (15.5 +/- 1.1 ml/min/kg) and (S)-ibuprofen (13.6 +/- 1.9 ml/min/kg) were not significantly different from each other (p greater than 0.05) and exceeded the plasma clearance of indocyanine green (4.3 +/- 0.4 ml/min/kg) in a separate group of rabbits (n = 6).,Pharmacokinetics of the enantiomers of ibuprofen in the rabbit. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1810148/),[ml] / [kg·min],13.6,14986,DB00573,Fenoprofen
,1810148,plasma clearance,The mean (+/- SEM) steady-state clearances of (R)-ibuprofen (15.5 +/- 1.1 ml/min/kg) and (S)-ibuprofen (13.6 +/- 1.9 ml/min/kg) were not significantly different from each other (p greater than 0.05) and exceeded the plasma clearance of indocyanine green (4.3 +/- 0.4 ml/min/kg) in a separate group of rabbits (n = 6).,Pharmacokinetics of the enantiomers of ibuprofen in the rabbit. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1810148/),[ml] / [kg·min],4.3,14987,DB00573,Fenoprofen
,1810148,fi,There was enantiospecific chiral inversion of (R)-ibuprofen to (S)-ibuprofen (fi = 0.30 +/- 0.07) as has been observed in all species so far studied for this 2-arylpropionic acid.,Pharmacokinetics of the enantiomers of ibuprofen in the rabbit. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1810148/),,0.30,14988,DB00573,Fenoprofen
,3806416,distribution volumes,"A mean (S.E.M.) of 0.73 (0.07) of R-fenoprofen was inverted to S-fenoprofen and the distribution volumes for bound plus unbound R-fenoprofen and S-fenoprofen were 50.3 (4.5) and 98.5 (5.9) ml/kg, respectively.",Enantioselective disposition of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs. Fenoprofen disposition. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3806416/),[ml] / [kg],50.3,28874,DB00573,Fenoprofen
,3806416,distribution volumes,"A mean (S.E.M.) of 0.73 (0.07) of R-fenoprofen was inverted to S-fenoprofen and the distribution volumes for bound plus unbound R-fenoprofen and S-fenoprofen were 50.3 (4.5) and 98.5 (5.9) ml/kg, respectively.",Enantioselective disposition of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs. Fenoprofen disposition. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3806416/),[ml] / [kg],98.5,28875,DB00573,Fenoprofen
,3806416,area,"The mean (S.E.M.) predicted area, 2.1 (0.2) mg X min/ml/kg, was within 94% of the observed area 2.2 (0.2) mg X min/ml/kg.",Enantioselective disposition of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs. Fenoprofen disposition. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3806416/),[mg·min] / [kg·ml],2.1,28876,DB00573,Fenoprofen
,3806416,area,"The mean (S.E.M.) predicted area, 2.1 (0.2) mg X min/ml/kg, was within 94% of the observed area 2.2 (0.2) mg X min/ml/kg.",Enantioselective disposition of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs. Fenoprofen disposition. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3806416/),[mg·min] / [kg·ml],2.2,28877,DB00573,Fenoprofen
