Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1614958,terminal half-life,"The pharmacokinetics were best described by an open three-compartment model with a terminal half-life of 200 min (gamma = 0.23 +/- 0.08 L/hr), a volume of distribution at steady state of 1.9 +/- 0.8 L/kg, and a clearance of 0.86 +/- 0.32 L/hr/kg, with 14 and 9% absorbed after nasal and pulmonary administration, respectively.",Pharmacokinetic/dynamic correlation of pulmonary and cardiac effects of fenoterol in asthmatic patients after different routes of administration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1614958/),min,200,28694,DB01288,Fenoterol
,1614958,gamma,"The pharmacokinetics were best described by an open three-compartment model with a terminal half-life of 200 min (gamma = 0.23 +/- 0.08 L/hr), a volume of distribution at steady state of 1.9 +/- 0.8 L/kg, and a clearance of 0.86 +/- 0.32 L/hr/kg, with 14 and 9% absorbed after nasal and pulmonary administration, respectively.",Pharmacokinetic/dynamic correlation of pulmonary and cardiac effects of fenoterol in asthmatic patients after different routes of administration. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1614958/),[l] / [h],0.23,28695,DB01288,Fenoterol
,1614958,volume of distribution at steady state,"The pharmacokinetics were best described by an open three-compartment model with a terminal half-life of 200 min (gamma = 0.23 +/- 0.08 L/hr), a volume of distribution at steady state of 1.9 +/- 0.8 L/kg, and a clearance of 0.86 +/- 0.32 L/hr/kg, with 14 and 9% absorbed after nasal and pulmonary administration, respectively.",Pharmacokinetic/dynamic correlation of pulmonary and cardiac effects of fenoterol in asthmatic patients after different routes of administration. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1614958/),[l] / [kg],1.9,28696,DB01288,Fenoterol
,1614958,clearance,"The pharmacokinetics were best described by an open three-compartment model with a terminal half-life of 200 min (gamma = 0.23 +/- 0.08 L/hr), a volume of distribution at steady state of 1.9 +/- 0.8 L/kg, and a clearance of 0.86 +/- 0.32 L/hr/kg, with 14 and 9% absorbed after nasal and pulmonary administration, respectively.",Pharmacokinetic/dynamic correlation of pulmonary and cardiac effects of fenoterol in asthmatic patients after different routes of administration. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1614958/),[l] / [h·kg],0.86,28697,DB01288,Fenoterol
,2991865,half-life,The long half-life previously reported in the literature (7 hours) is mainly the half-life of inactive fenoterol metabolites.,"Fenoterol: a beta2-adrenergic agonist for use in asthma. Pharmacology, pharmacokinetics, clinical efficacy and adverse effects. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2991865/),h,7,66681,DB01288,Fenoterol
,8276054,Clearance,"Clearance and mean residence time were found to be 1990 (1879/2220; Median, Q25/Q75) ml/min and 9.2 (8.0/14.0) min in the pregnant and 2126 (1915/2130) ml/min and 16.6 (16.5/32.1) min in the nonpregnant women, respectively.",Pharmacokinetics of fenoterol in pregnant and nonpregnant women. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8276054/),[ml] / [min],1990,87967,DB01288,Fenoterol
,8276054,Clearance,"Clearance and mean residence time were found to be 1990 (1879/2220; Median, Q25/Q75) ml/min and 9.2 (8.0/14.0) min in the pregnant and 2126 (1915/2130) ml/min and 16.6 (16.5/32.1) min in the nonpregnant women, respectively.",Pharmacokinetics of fenoterol in pregnant and nonpregnant women. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8276054/),[ml] / [min],2126,87968,DB01288,Fenoterol
,8276054,mean residence time,"Clearance and mean residence time were found to be 1990 (1879/2220; Median, Q25/Q75) ml/min and 9.2 (8.0/14.0) min in the pregnant and 2126 (1915/2130) ml/min and 16.6 (16.5/32.1) min in the nonpregnant women, respectively.",Pharmacokinetics of fenoterol in pregnant and nonpregnant women. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8276054/),min,9.2,87969,DB01288,Fenoterol
,8276054,mean residence time,"Clearance and mean residence time were found to be 1990 (1879/2220; Median, Q25/Q75) ml/min and 9.2 (8.0/14.0) min in the pregnant and 2126 (1915/2130) ml/min and 16.6 (16.5/32.1) min in the nonpregnant women, respectively.",Pharmacokinetics of fenoterol in pregnant and nonpregnant women. ,MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8276054/),min,16.6,87970,DB01288,Fenoterol
,1303922,steady state concentration,Verapamil in a dose of 2 x 80 mg/day induced average steady state concentration in range of 40.6 +/- 7.8 ng/ml to 134.2 +/- 56.9 ng/ml and in a dose of 3 x 40 mg/day 28.9 +/- 5.1 ng/ml to 69.8 +/- 11.2 ng/ml.,[Pharmacokinetic investigations of verapamil used as a concomitant drug in treatment of premature labor]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1303922/),[ng] / [ml],40.6,88354,DB01288,Fenoterol
