Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11489805,ne,"The mean +/- SD neutrophil survival fraction at nadir for the POG, POG+G, and NHP groups was 0.12 +/- 0.09, 0.11 +/- 0.17, and 0.09 +/- 0.08, respectively (P > 0.05).",Pharmacodynamic model of topotecan-induced time course of neutropenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11489805/),,0.12,16672,DB00099,Filgrastim
,11489805,ne,"The mean +/- SD neutrophil survival fraction at nadir for the POG, POG+G, and NHP groups was 0.12 +/- 0.09, 0.11 +/- 0.17, and 0.09 +/- 0.08, respectively (P > 0.05).",Pharmacodynamic model of topotecan-induced time course of neutropenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11489805/),,0.11,16673,DB00099,Filgrastim
,11489805,survival fraction,"The mean +/- SD neutrophil survival fraction at nadir for the POG, POG+G, and NHP groups was 0.12 +/- 0.09, 0.11 +/- 0.17, and 0.09 +/- 0.08, respectively (P > 0.05).",Pharmacodynamic model of topotecan-induced time course of neutropenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11489805/),,0.12,16674,DB00099,Filgrastim
,11489805,survival fraction,"The mean +/- SD neutrophil survival fraction at nadir for the POG, POG+G, and NHP groups was 0.12 +/- 0.09, 0.11 +/- 0.17, and 0.09 +/- 0.08, respectively (P > 0.05).",Pharmacodynamic model of topotecan-induced time course of neutropenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11489805/),,0.11,16675,DB00099,Filgrastim
,11489805,survival fraction,"The mean +/- SD neutrophil survival fraction at nadir for the POG, POG+G, and NHP groups was 0.12 +/- 0.09, 0.11 +/- 0.17, and 0.09 +/- 0.08, respectively (P > 0.05).",Pharmacodynamic model of topotecan-induced time course of neutropenia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11489805/),,0.09,16676,DB00099,Filgrastim
,12458679,"t(1/2,term)","The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,5,17423,DB00099,Filgrastim
,12458679,MRT,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,16.7-20.7,17424,DB00099,Filgrastim
,12458679,MRT,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),[ml] / [h·kg],6.37-12.2,17425,DB00099,Filgrastim
,12458679,MRT,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,2.54,17426,DB00099,Filgrastim
,12458679,MRT,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,4.9,17427,DB00099,Filgrastim
,12458679,CL/F,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),[ml] / [h·kg],6.37-12.2,17428,DB00099,Filgrastim
,12458679,CL/F,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,2.54,17429,DB00099,Filgrastim
,12458679,CL/F,"The t(1/2,term), MRT, and CL/F of Albugranin following SC administration to BDF1 mice were 5.6-5.7 h, 16.7-20.7 h, and 6.37-12.2 mL/h/kg, respectively, compared with 2.54 h, 4.9 h, and 164 mL/h/kg, respectively for Filgrastim.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),[ml] / [h·kg],164,17430,DB00099,Filgrastim
,12458679,t(1/2,"In cynomolgus monkeys, the corresponding values of t(1/2,term), MRT, and CL/F for Albugranin were 7.73-133 h, 19.4-27.3 h, and 7.90-27.5 mL/h/kg, respectively, for doses of 100-1000 microg/kg.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,7.73-133,17431,DB00099,Filgrastim
,12458679,term),"In cynomolgus monkeys, the corresponding values of t(1/2,term), MRT, and CL/F for Albugranin were 7.73-133 h, 19.4-27.3 h, and 7.90-27.5 mL/h/kg, respectively, for doses of 100-1000 microg/kg.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,19.4-27.3,17432,DB00099,Filgrastim
,12458679,MRT,"In cynomolgus monkeys, the corresponding values of t(1/2,term), MRT, and CL/F for Albugranin were 7.73-133 h, 19.4-27.3 h, and 7.90-27.5 mL/h/kg, respectively, for doses of 100-1000 microg/kg.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),h,19.4-27.3,17433,DB00099,Filgrastim
,12458679,CL/F,"In cynomolgus monkeys, the corresponding values of t(1/2,term), MRT, and CL/F for Albugranin were 7.73-133 h, 19.4-27.3 h, and 7.90-27.5 mL/h/kg, respectively, for doses of 100-1000 microg/kg.","Albugranin, a recombinant human granulocyte colony stimulating factor (G-CSF) genetically fused to recombinant human albumin induces prolonged myelopoietic effects in mice and monkeys. ",CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12458679/),[ml] / [h·kg],7.90-27.5,17434,DB00099,Filgrastim
,12560443,duration,"In addition, the mean duration of grade 4 neutropenia was similar in both groups (2.8 and 2.4 days, respectively).","Randomized, multicenter, open-label study of pegfilgrastim compared with daily filgrastim after chemotherapy for lymphoma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12560443/),d,2.8,20431,DB00099,Filgrastim
,12560443,duration,"In addition, the mean duration of grade 4 neutropenia was similar in both groups (2.8 and 2.4 days, respectively).","Randomized, multicenter, open-label study of pegfilgrastim compared with daily filgrastim after chemotherapy for lymphoma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12560443/),d,2.4,20432,DB00099,Filgrastim
,9815739,plasma half-life (t1/2),"Mean plasma half-life (t1/2) in the 4-h infusion group was 197 min, and the volume of distribution approximated plasma volume.",Clinical pharmacology of filgrastim following high-dose chemotherapy and autologous bone marrow transplantation. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9815739/),min,197,26548,DB00099,Filgrastim
,17235504,absolute neutrophil nadir,Median absolute neutrophil nadir was 0.32 g/l on day 9.,Pegfilgrastim as hematopoietic support for dose-dense chemoimmunotherapy with R-CHOP-14 as first-line therapy in elderly patients with diffuse large B cell lymphoma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17235504/),[g] / [l],0.32,32738,DB00099,Filgrastim
,17235504,trough plasma level,Median pegfilgrastim trough plasma level was 0.43 ng/ml on the day preceding the next application.,Pegfilgrastim as hematopoietic support for dose-dense chemoimmunotherapy with R-CHOP-14 as first-line therapy in elderly patients with diffuse large B cell lymphoma. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17235504/),[ng] / [ml],0.43,32739,DB00099,Filgrastim
,17545847,area under the curve (AUC),Chemotherapy-naïve patients with locally advanced or metastatic NSCLC were treated with carboplatin area under the curve (AUC) 6 mg/ml per minute intravenously on day 1 and vinorelbine 30 mg/m2 intravenously on days 1 and 8 every 3 weeks for four planned cycles.,A phase II trial of carboplatin/vinorelbine with pegfilgrastim support for the treatment of patients with advanced non-small cell lung cancer. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17545847/),[mg] / [min·ml],6,36914,DB00099,Filgrastim
,17545847,Overall response rate,Overall response rate was 27%.,A phase II trial of carboplatin/vinorelbine with pegfilgrastim support for the treatment of patients with advanced non-small cell lung cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17545847/),%,27,36915,DB00099,Filgrastim
,17545847,survival,Median survival was 9.4 months (95% confidence interval: 6.1-18.0) with a 3-year survival rate of 20%.,A phase II trial of carboplatin/vinorelbine with pegfilgrastim support for the treatment of patients with advanced non-small cell lung cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17545847/),month,9,36916,DB00099,Filgrastim
,11677930,Emax,A sigmoidal Emax model for the stimulation of ANC input rate (kin) was superior to the conventional Emax model (mean +/- SE: Emax = 12.7 +/- 1.7; EC50 = 4.72 +/- 0.72 ng/ml; Hill = 1.34 +/- 0.19).,Population pharmacokinetic-pharmacodynamic modeling of filgrastim (r-metHuG-CSF) in healthy volunteers. ,Emax-Q15,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11677930/),,12.7,48660,DB00099,Filgrastim
,11677930,EC50,A sigmoidal Emax model for the stimulation of ANC input rate (kin) was superior to the conventional Emax model (mean +/- SE: Emax = 12.7 +/- 1.7; EC50 = 4.72 +/- 0.72 ng/ml; Hill = 1.34 +/- 0.19).,Population pharmacokinetic-pharmacodynamic modeling of filgrastim (r-metHuG-CSF) in healthy volunteers. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11677930/),[ng] / [ml],4.72,48661,DB00099,Filgrastim
,11677930,Hill,A sigmoidal Emax model for the stimulation of ANC input rate (kin) was superior to the conventional Emax model (mean +/- SE: Emax = 12.7 +/- 1.7; EC50 = 4.72 +/- 0.72 ng/ml; Hill = 1.34 +/- 0.19).,Population pharmacokinetic-pharmacodynamic modeling of filgrastim (r-metHuG-CSF) in healthy volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11677930/),,1.34,48662,DB00099,Filgrastim
,11677930,absolute bioavailability,"The absolute bioavailability of subcutaneously administered Filgrastim was estimated to be 0.619 +/- 0.058 and 0.717 +/- 0.028 for 375 micrograms and 750 micrograms s.c. doses, respectively.",Population pharmacokinetic-pharmacodynamic modeling of filgrastim (r-metHuG-CSF) in healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11677930/),,0.619,48663,DB00099,Filgrastim
,11677930,absolute bioavailability,"The absolute bioavailability of subcutaneously administered Filgrastim was estimated to be 0.619 +/- 0.058 and 0.717 +/- 0.028 for 375 micrograms and 750 micrograms s.c. doses, respectively.",Population pharmacokinetic-pharmacodynamic modeling of filgrastim (r-metHuG-CSF) in healthy volunteers. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11677930/),,0.717,48664,DB00099,Filgrastim
,15583936,time to leukocyte recovery,"Mean time to leukocyte recovery was 10.7 days (SD+/-0.9) (lenograstim) and 10.8 days (SD+/-0.6) (filgrastim), respectively.",Comparison of lenograstim and filgrastim: effects on blood cell recovery after high-dose chemotherapy and autologous peripheral blood stem cell transplantation. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15583936/),d,10.7,52325,DB00099,Filgrastim
,15583936,time to leukocyte recovery,"Mean time to leukocyte recovery was 10.7 days (SD+/-0.9) (lenograstim) and 10.8 days (SD+/-0.6) (filgrastim), respectively.",Comparison of lenograstim and filgrastim: effects on blood cell recovery after high-dose chemotherapy and autologous peripheral blood stem cell transplantation. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15583936/),d,10.8,52326,DB00099,Filgrastim
≥,22991919,time to recovery to an absolute neutrophil count,"Pharmacokinetic parameters and neutrophil-related values for duration of neutropenia, neutrophil nadir, time to recovery to an absolute neutrophil count ≥500/μL or ≥2000/μL, and days of antibiotic support were determined.","Pegfilgrastim administered in an abbreviated schedule, significantly improved neutrophil recovery after high-dose radiation-induced myelosuppression in rhesus macaques. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22991919/),,500,54709,DB00099,Filgrastim
,9773805,MTD,The MTD of the 96 h paclitaxel infusion was 180 mg/m2 with filgrastim support.,Phase I trial of a 96 h paclitaxel infusion with filgrastim support in refractory solid tumor patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9773805/),[mg] / [m2],180,58252,DB00099,Filgrastim
greater,9773805,steady-state paclitaxel concentrations (Css),Mucosal and granulocyte toxicity were correlated with steady-state paclitaxel concentrations (Css) greater than 0.100 micromol/l.,Phase I trial of a 96 h paclitaxel infusion with filgrastim support in refractory solid tumor patients. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9773805/),[μM] / [l],0.100,58253,DB00099,Filgrastim
,9213323,MTDs,The MTDs for patients with a history of prior chemotherapy were 75 mg/m2 of docetaxel and 700 mg/m2 of cyclophosphamide.,Docetaxel and cyclophosphamide in patients with advanced solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9213323/),[mg] / [m2],75,60319,DB00099,Filgrastim
,9213323,MTDs,The MTDs for patients with a history of prior chemotherapy were 75 mg/m2 of docetaxel and 700 mg/m2 of cyclophosphamide.,Docetaxel and cyclophosphamide in patients with advanced solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9213323/),[mg] / [m],700,60320,DB00099,Filgrastim
