Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2499248,total body clearance,"As a consequence of a declining renal clearance but not nonrenal clearance, the total body clearance of fleroxacin declined with decreasing glomerular filtration rate from 1.41 +/- 0.23 ml/min per kg in subjects with normal renal function to 0.58 +/- 0.13 ml/min per kg in patients with end-stage renal disease (r = 0.84, P less than 0.001).",Pharmacokinetics and metabolism of intravenous and oral fleroxacin in subjects with normal and impaired renal function and in patients on continuous ambulatory peritoneal dialysis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2499248/),[ml] / [kg·min],1.41,5528,DB04576,Fleroxacin
,2499248,total body clearance,"As a consequence of a declining renal clearance but not nonrenal clearance, the total body clearance of fleroxacin declined with decreasing glomerular filtration rate from 1.41 +/- 0.23 ml/min per kg in subjects with normal renal function to 0.58 +/- 0.13 ml/min per kg in patients with end-stage renal disease (r = 0.84, P less than 0.001).",Pharmacokinetics and metabolism of intravenous and oral fleroxacin in subjects with normal and impaired renal function and in patients on continuous ambulatory peritoneal dialysis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2499248/),[ml] / [kg·min],0.58,5529,DB04576,Fleroxacin
,2499248,dialysate/plasma concentration ratio,"In patients on continuous ambulatory peritoneal dialysis the mean dialysate/plasma concentration ratio of fleroxacin increased from 0.52 +/- 0.11 to 0.71 +/- 0.13 (P less than 0.001) with increasing dwell time, resulting in a 7.8 +/- 3.6% recovery of unchanged fleroxacin in peritoneal dialysate.",Pharmacokinetics and metabolism of intravenous and oral fleroxacin in subjects with normal and impaired renal function and in patients on continuous ambulatory peritoneal dialysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2499248/),,0.52,5530,DB04576,Fleroxacin
,2499248,dialysate/plasma concentration ratio,"In patients on continuous ambulatory peritoneal dialysis the mean dialysate/plasma concentration ratio of fleroxacin increased from 0.52 +/- 0.11 to 0.71 +/- 0.13 (P less than 0.001) with increasing dwell time, resulting in a 7.8 +/- 3.6% recovery of unchanged fleroxacin in peritoneal dialysate.",Pharmacokinetics and metabolism of intravenous and oral fleroxacin in subjects with normal and impaired renal function and in patients on continuous ambulatory peritoneal dialysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2499248/),,0.71,5531,DB04576,Fleroxacin
,3144533,elimination half-life,"The characteristics of this new trifluorinated quinolone are the long elimination half-life of approximately 10 h and the high plasma concentrations, which exceed 2 mg/l after an oral dose of 200 mg.",Single and multiple dose pharmacokinetics of fleroxacin. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3144533/),h,10,6873,DB04576,Fleroxacin
exceeded,3144533,volume of distribution (Vss),The volume of distribution (Vss) exceeded 1 l/kg and reflects the good tissue penetration.,Single and multiple dose pharmacokinetics of fleroxacin. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3144533/),[l] / [kg],1,6874,DB04576,Fleroxacin
,3144533,Renal clearance of unbound drug,Renal clearance of unbound drug was 104 ml/min and within three days 56% of the dose could be recovered from urine as unchanged drug.,Single and multiple dose pharmacokinetics of fleroxacin. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3144533/),[ml] / [min],104,6875,DB04576,Fleroxacin
,3144533,F,The administered tablets were completely bioavailable (F = 1.0) and a significant first pass metabolism can therefore be excluded.,Single and multiple dose pharmacokinetics of fleroxacin. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3144533/),,1.0,6876,DB04576,Fleroxacin
,9661000,total urinary recovery,The total urinary recovery of pefloxacin and the active metabolite norfloxacin was 34%.,Urinary excretion and bactericidal activities of a single oral dose of 400 milligrams of fleroxacin versus a single oral dose of 800 milligrams of pefloxacin in healthy volunteers. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9661000/),%,34,12488,DB04576,Fleroxacin
,9661000,MIC,Against Escherichia coli ATCC 25922 the median UBTs were similar for both antibiotics and at least 1:8 for 96 h; against the E. coli strain for which the MIC was 0.5 microgram/ml the UBT was at least 1:4 for 48 h.,Urinary excretion and bactericidal activities of a single oral dose of 400 milligrams of fleroxacin versus a single oral dose of 800 milligrams of pefloxacin in healthy volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9661000/),[μg] / [ml],0.5,12489,DB04576,Fleroxacin
