Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,25611194,flow rate,"The chromatographic separation was achieved on a Chromolith RP18e column using a mixture of acetonitrile and 2 mm ammonium formate (70:30, v/v) as the mobile phase at a flow rate of 0.7 mL/min.",A highly sensitive method for the quantification of fludrocortisone in human plasma using ultra-high-performance liquid chromatography tandem mass spectrometry and its pharmacokinetic application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25611194/),[ml] / [min],0.7,14278,DB00687,Fludrocortisone
,25611194,m/,"The precursors to product ion transitions monitored for fludrocortisone and IS were m/z 381.2 → 343.2 and 386.2 → 348.4, respectively.",A highly sensitive method for the quantification of fludrocortisone in human plasma using ultra-high-performance liquid chromatography tandem mass spectrometry and its pharmacokinetic application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25611194/),,381.2,14279,DB00687,Fludrocortisone
,25611194,m/,"The precursors to product ion transitions monitored for fludrocortisone and IS were m/z 381.2 → 343.2 and 386.2 → 348.4, respectively.",A highly sensitive method for the quantification of fludrocortisone in human plasma using ultra-high-performance liquid chromatography tandem mass spectrometry and its pharmacokinetic application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25611194/),,386.2,14280,DB00687,Fludrocortisone
,11397874,clearance,"Mean clearance was significantly higher in the pubertal group (mean, 427.0 mL/min; SD, 133.4) compared with the prepubertal (mean, 248.7 mL/min; SD, 100.6) and postpubertal (mean, 292.4 mL/min; SD, 106.3) (one-way ANOVA, F = 9.8, P < 0.001) groups.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),[ml] / [min],427.0,37207,DB00687,Fludrocortisone
,11397874,clearance,"Mean clearance was significantly higher in the pubertal group (mean, 427.0 mL/min; SD, 133.4) compared with the prepubertal (mean, 248.7 mL/min; SD, 100.6) and postpubertal (mean, 292.4 mL/min; SD, 106.3) (one-way ANOVA, F = 9.8, P < 0.001) groups.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),[ml] / [min],248.7,37208,DB00687,Fludrocortisone
,11397874,clearance,"Mean clearance was significantly higher in the pubertal group (mean, 427.0 mL/min; SD, 133.4) compared with the prepubertal (mean, 248.7 mL/min; SD, 100.6) and postpubertal (mean, 292.4 mL/min; SD, 106.3) (one-way ANOVA, F = 9.8, P < 0.001) groups.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),[ml] / [min],292.4,37209,DB00687,Fludrocortisone
,11397874,volume of distribution,"The mean volume of distribution was also significantly higher in the pubertal (mean, 49.5 L; SD, 12.2) than the prepubertal (mean, 27.1 L; SD, 8.4) patients but not in the postpubertal (mean, 40.8 L; SD, 16) (ANOVA, F = 15.2, P < 0.001) patients.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),l,49.5,37210,DB00687,Fludrocortisone
,11397874,volume of distribution,"The mean volume of distribution was also significantly higher in the pubertal (mean, 49.5 L; SD, 12.2) than the prepubertal (mean, 27.1 L; SD, 8.4) patients but not in the postpubertal (mean, 40.8 L; SD, 16) (ANOVA, F = 15.2, P < 0.001) patients.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),l,27.1,37211,DB00687,Fludrocortisone
,11397874,volume of distribution,"The mean volume of distribution was also significantly higher in the pubertal (mean, 49.5 L; SD, 12.2) than the prepubertal (mean, 27.1 L; SD, 8.4) patients but not in the postpubertal (mean, 40.8 L; SD, 16) (ANOVA, F = 15.2, P < 0.001) patients.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),l,40.8,37212,DB00687,Fludrocortisone
,11397874,half-life,"There was no significant difference in mean half-life of total cortisol in prepubertal (mean, 80.2 min; SD, 19.4), pubertal (mean, 84.4 min; SD, 24.9), and postpubertal (mean, 96.7 min; SD, 9.9) patients.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),min,80.2,37213,DB00687,Fludrocortisone
,11397874,half-life,"There was no significant difference in mean half-life of total cortisol in prepubertal (mean, 80.2 min; SD, 19.4), pubertal (mean, 84.4 min; SD, 24.9), and postpubertal (mean, 96.7 min; SD, 9.9) patients.",Congenital adrenal hyperplasia due to 21-hydroxylase deficiency: alterations in cortisol pharmacokinetics at puberty. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11397874/),min,84.4,37214,DB00687,Fludrocortisone
