Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,7.30,2403,DB01205,Flumazenil
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,7.17,2404,DB01205,Flumazenil
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,6.91,2405,DB01205,Flumazenil
,24216249,apparent pA2,"The potency of flumazenil, estimated by apparent pA2 values (95% CI), was 7.30 (7.12, 7.49), 7.17 (7.03, 7.31), 6.91 (6.72, 7.10) and 6.80 (6.67, 6.92) at 15, 30, 60 and 120min after flumazenil administration, respectively.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),,6.80,2406,DB01205,Flumazenil
,24216249,functional half life,"The functional half life of flumazenil, derived from potency estimates, was 57±13min.",Quantitative pharmacological analyses of the interaction between flumazenil and midazolam in monkeys discriminating midazolam: Determination of the functional half life of flumazenil. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24216249/),min,57,2407,DB01205,Flumazenil
,2505960,half-life (t1/2),The mean half-life (t1/2) was 0.8 versus 1.4 hours (p = 0.003) and total plasma clearance was 1201 versus 705 ml per minute (p = 0.009) for control subjects versus patients with cirrhosis.,Flumazenil disposition and elimination in cirrhosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2505960/),h,0.8,3327,DB01205,Flumazenil
,2505960,half-life (t1/2),The mean half-life (t1/2) was 0.8 versus 1.4 hours (p = 0.003) and total plasma clearance was 1201 versus 705 ml per minute (p = 0.009) for control subjects versus patients with cirrhosis.,Flumazenil disposition and elimination in cirrhosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2505960/),h,1.4,3328,DB01205,Flumazenil
,2505960,total plasma clearance,The mean half-life (t1/2) was 0.8 versus 1.4 hours (p = 0.003) and total plasma clearance was 1201 versus 705 ml per minute (p = 0.009) for control subjects versus patients with cirrhosis.,Flumazenil disposition and elimination in cirrhosis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2505960/),[ml] / [min],1201,3329,DB01205,Flumazenil
,2505960,total plasma clearance,The mean half-life (t1/2) was 0.8 versus 1.4 hours (p = 0.003) and total plasma clearance was 1201 versus 705 ml per minute (p = 0.009) for control subjects versus patients with cirrhosis.,Flumazenil disposition and elimination in cirrhosis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2505960/),[ml] / [min],705,3330,DB01205,Flumazenil
,2505960,Bioavailability,Bioavailability increased from the normal 28% to 65% (p = 0.001) in patients with hepatic dysfunction.,Flumazenil disposition and elimination in cirrhosis. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2505960/),%,28,3331,DB01205,Flumazenil
