Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11221829,response rate,"5-Fluorouracil (5-FU) is one of the most widely used anticancer agents for advanced colorectal carcinoma, but its response rate is only 15%.",Dual antitumor effects of 5-fluorouracil on the cell cycle in colorectal carcinoma cells: a novel target mechanism concept for pharmacokinetic modulating chemotherapy. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11221829/),%,15,726,DB00544,Fluorouracil
,16369821,systemic clearance,"The mean irinotecan systemic clearance and steady-state volume of distribution values were 14.3 l/h/m(2) and 211 l/m(2), respectively.",Pharmacokinetics and pharmacodynamics of irinotecan and its metabolites from plasma and saliva data in patients with metastatic digestive cancer receiving Folfiri regimen. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16369821/),[h·l] / [m(2],14.3,1034,DB00544,Fluorouracil
,16369821,steady-state volume of distribution,"The mean irinotecan systemic clearance and steady-state volume of distribution values were 14.3 l/h/m(2) and 211 l/m(2), respectively.",Pharmacokinetics and pharmacodynamics of irinotecan and its metabolites from plasma and saliva data in patients with metastatic digestive cancer receiving Folfiri regimen. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16369821/),[l] / [m(2],211,1035,DB00544,Fluorouracil
,16369821,saliva/plasma AUC ratios,"The saliva/plasma AUC ratios averaged 1 for irinotecan, 0.3 for SN-38, 0.17 for APC and 0.27 for NPC.",Pharmacokinetics and pharmacodynamics of irinotecan and its metabolites from plasma and saliva data in patients with metastatic digestive cancer receiving Folfiri regimen. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16369821/),,1,1036,DB00544,Fluorouracil
,16369821,saliva/plasma AUC ratios,"The saliva/plasma AUC ratios averaged 1 for irinotecan, 0.3 for SN-38, 0.17 for APC and 0.27 for NPC.",Pharmacokinetics and pharmacodynamics of irinotecan and its metabolites from plasma and saliva data in patients with metastatic digestive cancer receiving Folfiri regimen. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16369821/),,0.3,1037,DB00544,Fluorouracil
,16369821,saliva/plasma AUC ratios,"The saliva/plasma AUC ratios averaged 1 for irinotecan, 0.3 for SN-38, 0.17 for APC and 0.27 for NPC.",Pharmacokinetics and pharmacodynamics of irinotecan and its metabolites from plasma and saliva data in patients with metastatic digestive cancer receiving Folfiri regimen. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16369821/),,0.17,1038,DB00544,Fluorouracil
,16369821,saliva/plasma AUC ratios,"The saliva/plasma AUC ratios averaged 1 for irinotecan, 0.3 for SN-38, 0.17 for APC and 0.27 for NPC.",Pharmacokinetics and pharmacodynamics of irinotecan and its metabolites from plasma and saliva data in patients with metastatic digestive cancer receiving Folfiri regimen. ,AUCR-Q21,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16369821/),,0.27,1039,DB00544,Fluorouracil
,29315736,AUC0-50,"The AUC0-50 of free platinum plasma ultrafiltrate after cycles 1-3, respectively, was 24.3, 24.7 and 25.8 μg*h/mL.",Dosing oxaliplatin in a haemodialysis patient with metastatic rectum cancer monitored by free platinum concentrations. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29315736/),[h·μg] / [ml],24.3,1183,DB00544,Fluorouracil
,29315736,AUC0-50,"The AUC0-50 of free platinum plasma ultrafiltrate after cycles 1-3, respectively, was 24.3, 24.7 and 25.8 μg*h/mL.",Dosing oxaliplatin in a haemodialysis patient with metastatic rectum cancer monitored by free platinum concentrations. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29315736/),[h·μg] / [ml],24.7,1184,DB00544,Fluorouracil
,29315736,AUC0-50,"The AUC0-50 of free platinum plasma ultrafiltrate after cycles 1-3, respectively, was 24.3, 24.7 and 25.8 μg*h/mL.",Dosing oxaliplatin in a haemodialysis patient with metastatic rectum cancer monitored by free platinum concentrations. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29315736/),[h·μg] / [ml],25.8,1185,DB00544,Fluorouracil
