Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,15850279,half-life elimination,"Formate half-life elimination during hemodialysis was 1.80+/-0.78 h, which was statistically different from the values observed before or in the absence of dialysis (6.04+/-3.26 h, P =0.004).",Formate kinetics in methanol poisoning. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15850279/),h,1.80,20134,DB01213,Fomepizole
,15850279,half-life elimination,"Formate half-life elimination during hemodialysis was 1.80+/-0.78 h, which was statistically different from the values observed before or in the absence of dialysis (6.04+/-3.26 h, P =0.004).",Formate kinetics in methanol poisoning. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15850279/),h,6.04,20135,DB01213,Fomepizole
,15850279,formate clearance rate,The mean hemodialysis formate clearance rate calculated in eight cases was 176+/-43 mL/min.,Formate kinetics in methanol poisoning. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15850279/),[ml] / [min],176,20136,DB01213,Fomepizole
,3824418,half-life,"The half-life of FG in serum was 10.8 +/- 0.7 h in the EG-only treatment group, 6.8 +/- 0.7 (P less than 0.05) in the EG + ethanol group and 9.8 +/- 0.9 h in the EG + 4MP group.",Comparison of the effects of ethanol and 4-methylpyrazole on the pharmacokinetics and toxicity of ethylene glycol in the dog. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3824418/),h,10.8,47903,DB01213,Fomepizole
,3824418,half-life,"The half-life of FG in serum was 10.8 +/- 0.7 h in the EG-only treatment group, 6.8 +/- 0.7 (P less than 0.05) in the EG + ethanol group and 9.8 +/- 0.9 h in the EG + 4MP group.",Comparison of the effects of ethanol and 4-methylpyrazole on the pharmacokinetics and toxicity of ethylene glycol in the dog. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3824418/),h,6.8,47904,DB01213,Fomepizole
,3824418,half-life,"The half-life of FG in serum was 10.8 +/- 0.7 h in the EG-only treatment group, 6.8 +/- 0.7 (P less than 0.05) in the EG + ethanol group and 9.8 +/- 0.9 h in the EG + 4MP group.",Comparison of the effects of ethanol and 4-methylpyrazole on the pharmacokinetics and toxicity of ethylene glycol in the dog. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3824418/),h,9.8,47905,DB01213,Fomepizole
,8699550,Clearances,Clearances of 4-methylpyrazole by hemodialysis were 80 mL/min and 52 mL/min respectively.,4-Methylpyrazole and hemodialysis in ethylene glycol poisoning. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8699550/),[ml] / [min],80,59139,DB01213,Fomepizole
,8699550,Clearances,Clearances of 4-methylpyrazole by hemodialysis were 80 mL/min and 52 mL/min respectively.,4-Methylpyrazole and hemodialysis in ethylene glycol poisoning. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8699550/),[ml] / [min],52,59140,DB01213,Fomepizole
,2693117,rates of concentration decline,"kg-1 group, the elimination of 4-MP from the plasma followed non-linear kinetics with mean rates of concentration decline of 3.66 and 5.05 mumol.l-1.h-1, respectively.",Non-linear kinetics of 4-methylpyrazole in healthy human subjects. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2693117/),[μM] / [h·l],3.66,80261,DB01213,Fomepizole
,2693117,rates of concentration decline,"kg-1 group, the elimination of 4-MP from the plasma followed non-linear kinetics with mean rates of concentration decline of 3.66 and 5.05 mumol.l-1.h-1, respectively.",Non-linear kinetics of 4-methylpyrazole in healthy human subjects. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2693117/),[μM] / [h·l],5.05,80262,DB01213,Fomepizole
