Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,34262261,Cmax,"The results in single-dose study indicated that the blood levels were proportional to the administered dose, with the mean Cmax and AUClast ranging from approximately 6.27 ng/mL-17.35 ng/mL and 92.52 h⋅ng/mL - 287.40 h⋅ng/mL over the dose range.",Pharmacokinetic Study of Frovatriptan Succinate Tablet After Single and Multiple Oral Doses in Chinese Healthy Subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262261/),[ng] / [ml],6.27,25201,DB00998,Frovatriptan
,34262261,AUClast,"The results in single-dose study indicated that the blood levels were proportional to the administered dose, with the mean Cmax and AUClast ranging from approximately 6.27 ng/mL-17.35 ng/mL and 92.52 h⋅ng/mL - 287.40 h⋅ng/mL over the dose range.",Pharmacokinetic Study of Frovatriptan Succinate Tablet After Single and Multiple Oral Doses in Chinese Healthy Subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262261/),[ng] / [ml],17.35,25202,DB00998,Frovatriptan
,34262261,AUClast,"The results in single-dose study indicated that the blood levels were proportional to the administered dose, with the mean Cmax and AUClast ranging from approximately 6.27 ng/mL-17.35 ng/mL and 92.52 h⋅ng/mL - 287.40 h⋅ng/mL over the dose range.",Pharmacokinetic Study of Frovatriptan Succinate Tablet After Single and Multiple Oral Doses in Chinese Healthy Subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262261/),[h·ng] / [ml],92.52,25203,DB00998,Frovatriptan
,34262261,AUClast,"The results in single-dose study indicated that the blood levels were proportional to the administered dose, with the mean Cmax and AUClast ranging from approximately 6.27 ng/mL-17.35 ng/mL and 92.52 h⋅ng/mL - 287.40 h⋅ng/mL over the dose range.",Pharmacokinetic Study of Frovatriptan Succinate Tablet After Single and Multiple Oral Doses in Chinese Healthy Subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262261/),[h·ng] / [ml],287.40,25204,DB00998,Frovatriptan
,34262261,t1/2,"In the multiple-dose study, moderate drug accumulation was noted, which was attributable to forvatriptan's long t1/2 of about 26.47 to 30.63 h.",Pharmacokinetic Study of Frovatriptan Succinate Tablet After Single and Multiple Oral Doses in Chinese Healthy Subjects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34262261/),h,26.47 to 30.63,25205,DB00998,Frovatriptan
,21929465,half-life,"In fact, among triptans, frovatriptan showed the highest potency at the 5-HT1B receptor (8.2) and the longer half-life (26 h).",Pharmacokinetic evaluation of frovatriptan. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21929465/),h,26,97708,DB00998,Frovatriptan
,11735616,terminal elimination half-life,"black triangle A long terminal elimination half-life (approximately 26 hours) is a distinctive pharmacokinetic feature of frovatriptan which appears to be independent of dose, age, gender and renal function.",Frovatriptan. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11735616/),h,26,112181,DB00998,Frovatriptan
,11327198,bioavailability,"For example, bioavailability of oral formulations ranges between 14% (sumatriptan) and 74% (naratriptan), and their elimination half-life ranges from 2 hours (sumatriptan and rizatriptan) to 25 hours (frovatriptan).",Pharmacokinetics and pharmacodynamics of the triptan antimigraine agents: a comparative review. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11327198/),%,14,123788,DB00998,Frovatriptan
,11327198,bioavailability,"For example, bioavailability of oral formulations ranges between 14% (sumatriptan) and 74% (naratriptan), and their elimination half-life ranges from 2 hours (sumatriptan and rizatriptan) to 25 hours (frovatriptan).",Pharmacokinetics and pharmacodynamics of the triptan antimigraine agents: a comparative review. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11327198/),%,74,123789,DB00998,Frovatriptan
,11327198,elimination half-life,"For example, bioavailability of oral formulations ranges between 14% (sumatriptan) and 74% (naratriptan), and their elimination half-life ranges from 2 hours (sumatriptan and rizatriptan) to 25 hours (frovatriptan).",Pharmacokinetics and pharmacodynamics of the triptan antimigraine agents: a comparative review. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/11327198/),h,2,123790,DB00998,Frovatriptan
