Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6121675,Peak mean plasma concentrations,"2. Peak mean plasma concentrations of frusemide were 31.6, 33.6, 43.6 micrograms/ml in the rhesus monkey, cynomolgus monkey and baboon respectively, and concentrations declined with a half-life of about 20 min.","Comparative pharmacokinetics of frusemide in female rhesus monkeys, cynomolgus monkeys and baboons. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6121675/),[μg] / [ml],31.6,1498,DB00695,Furosemide
,6121675,Peak mean plasma concentrations,"2. Peak mean plasma concentrations of frusemide were 31.6, 33.6, 43.6 micrograms/ml in the rhesus monkey, cynomolgus monkey and baboon respectively, and concentrations declined with a half-life of about 20 min.","Comparative pharmacokinetics of frusemide in female rhesus monkeys, cynomolgus monkeys and baboons. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6121675/),[μg] / [ml],33.6,1499,DB00695,Furosemide
,6121675,Peak mean plasma concentrations,"2. Peak mean plasma concentrations of frusemide were 31.6, 33.6, 43.6 micrograms/ml in the rhesus monkey, cynomolgus monkey and baboon respectively, and concentrations declined with a half-life of about 20 min.","Comparative pharmacokinetics of frusemide in female rhesus monkeys, cynomolgus monkeys and baboons. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6121675/),[μg] / [ml],43.6,1500,DB00695,Furosemide
,6121675,half-life,"2. Peak mean plasma concentrations of frusemide were 31.6, 33.6, 43.6 micrograms/ml in the rhesus monkey, cynomolgus monkey and baboon respectively, and concentrations declined with a half-life of about 20 min.","Comparative pharmacokinetics of frusemide in female rhesus monkeys, cynomolgus monkeys and baboons. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6121675/),min,20,1501,DB00695,Furosemide
,6809473,serum clearance of furosemide (Cls),The serum clearance of furosemide (Cls) was between 140 and 201 ml min-1 and on the average the renal clearance was 60% of Cls.,The individual variation in pharmacokinetics and pharmacodynamics of furosemide in young normal male subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6809473/),[ml] / [min],140 and 201,3837,DB00695,Furosemide
,6809473,maximum additional excretion rate of sodium,During the initial 30 min period a maximum additional excretion rate of sodium of 3.3 mmol min-1 was reached at an excretion rate of 0.8 mg furosemide min-1.,The individual variation in pharmacokinetics and pharmacodynamics of furosemide in young normal male subjects. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6809473/),[mM] / [min],3.3,3838,DB00695,Furosemide
,6809473,excretion rate,During the initial 30 min period a maximum additional excretion rate of sodium of 3.3 mmol min-1 was reached at an excretion rate of 0.8 mg furosemide min-1.,The individual variation in pharmacokinetics and pharmacodynamics of furosemide in young normal male subjects. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6809473/),mg,0.8,3839,DB00695,Furosemide
,15640375,binding percentage,The binding percentage of furosemide to albumin was approximately 70% in UPA.,"Bucolome, a potent binding inhibitor for furosemide, alters the pharmacokinetics and diuretic effect of furosemide: potential for use of bucolome to restore diuretic response in nephrotic syndrome. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15640375/),%,70,4135,DB00695,Furosemide
,1246013,clearance,"For TEA, clearance (1.5 ml/min-g +/- 0.2 S.E.M.) and extraction (E) (0.83 +/- 0.02) are independent of the degree of azotemia.",Effect of experimental azotemia on renal clearance of furosemide in the dog. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),[ml] / [min-g],1.5,4146,DB00695,Furosemide
,1246013,extraction (E),"For TEA, clearance (1.5 ml/min-g +/- 0.2 S.E.M.) and extraction (E) (0.83 +/- 0.02) are independent of the degree of azotemia.",Effect of experimental azotemia on renal clearance of furosemide in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),,0.83,4147,DB00695,Furosemide
,1246013,Renal plasma flow (RPF),"Renal plasma flow (RPF), calculated as CTEA/ETEA, agreed closely with directly measured RPF (2.0 ml/g-min +/- 0.3).",Effect of experimental azotemia on renal clearance of furosemide in the dog. ,FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),[ml] / [g-min],2.0,4148,DB00695,Furosemide
,1246013,CF,CF (1.07-0.17 ml/min-g) and EF (0.54-0.06) decreased as a linear function of the increase in uremic serum: (see article).,Effect of experimental azotemia on renal clearance of furosemide in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),[ml] / [min-g],1.07-0.17,4149,DB00695,Furosemide
,1246013,E,CF (1.07-0.17 ml/min-g) and EF (0.54-0.06) decreased as a linear function of the increase in uremic serum: (see article).,Effect of experimental azotemia on renal clearance of furosemide in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),,0.54-0.06,4150,DB00695,Furosemide
,7308269,elimination half life (t 1/2 beta),"The mean elimination half life (t 1/2 beta) of Fu averaged 51 +/- 7.7 (+/- SD) min in healthy subjects, 52 +/- 7.7 min in cirrhosis and 200 +/- 57 min in ESRD.",Influence of hepatic cirrhosis and end-stage renal disease on pharmacokinetics and pharmacodynamics of furosemide. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7308269/),min,51,4390,DB00695,Furosemide
,7308269,elimination half life (t 1/2 beta),"The mean elimination half life (t 1/2 beta) of Fu averaged 51 +/- 7.7 (+/- SD) min in healthy subjects, 52 +/- 7.7 min in cirrhosis and 200 +/- 57 min in ESRD.",Influence of hepatic cirrhosis and end-stage renal disease on pharmacokinetics and pharmacodynamics of furosemide. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7308269/),min,52,4391,DB00695,Furosemide
,7308269,elimination half life (t 1/2 beta),"The mean elimination half life (t 1/2 beta) of Fu averaged 51 +/- 7.7 (+/- SD) min in healthy subjects, 52 +/- 7.7 min in cirrhosis and 200 +/- 57 min in ESRD.",Influence of hepatic cirrhosis and end-stage renal disease on pharmacokinetics and pharmacodynamics of furosemide. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7308269/),min,200,4392,DB00695,Furosemide
,7308269,non-renal clearance (Clnr),The non-renal clearance (Clnr) in healthy subjects (56 +/- 28 ml/min) corresponds to the total plasma clearance in functionally anephric patients (54 +/- 18 ml/min).,Influence of hepatic cirrhosis and end-stage renal disease on pharmacokinetics and pharmacodynamics of furosemide. ,CLR-Q26,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7308269/),[ml] / [min],56,4393,DB00695,Furosemide
,7308269,total plasma clearance,The non-renal clearance (Clnr) in healthy subjects (56 +/- 28 ml/min) corresponds to the total plasma clearance in functionally anephric patients (54 +/- 18 ml/min).,Influence of hepatic cirrhosis and end-stage renal disease on pharmacokinetics and pharmacodynamics of furosemide. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7308269/),[ml] / [min],54,4394,DB00695,Furosemide
,30225802,plasma concentrations,"Furosemide plasma concentrations and total body clearance (TBC) were 6.14 mg/l and 22.1 ml/min for the Oliguria group, and 2.63 mg/l and 54.4 ml/min for the Diuresis group, respectively (p < 0.05).",Urine volume as a predicting factor for furosemide clearance during continuous infusion in AKI septic shock patients on hemodiafiltration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30225802/),[mg] / [l],6.14,5052,DB00695,Furosemide
,30225802,plasma concentrations,"Furosemide plasma concentrations and total body clearance (TBC) were 6.14 mg/l and 22.1 ml/min for the Oliguria group, and 2.63 mg/l and 54.4 ml/min for the Diuresis group, respectively (p < 0.05).",Urine volume as a predicting factor for furosemide clearance during continuous infusion in AKI septic shock patients on hemodiafiltration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30225802/),[mg] / [l],2.63,5053,DB00695,Furosemide
,30225802,total body clearance (TBC),"Furosemide plasma concentrations and total body clearance (TBC) were 6.14 mg/l and 22.1 ml/min for the Oliguria group, and 2.63 mg/l and 54.4 ml/min for the Diuresis group, respectively (p < 0.05).",Urine volume as a predicting factor for furosemide clearance during continuous infusion in AKI septic shock patients on hemodiafiltration. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30225802/),[ml] / [min],22.1,5054,DB00695,Furosemide
,30225802,total body clearance (TBC),"Furosemide plasma concentrations and total body clearance (TBC) were 6.14 mg/l and 22.1 ml/min for the Oliguria group, and 2.63 mg/l and 54.4 ml/min for the Diuresis group, respectively (p < 0.05).",Urine volume as a predicting factor for furosemide clearance during continuous infusion in AKI septic shock patients on hemodiafiltration. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30225802/),[ml] / [min],54.4,5055,DB00695,Furosemide
,33314204,total clearance,"The mean total clearance and volume of distribution at steady state following IV administration were 0.24 L h-1 kg-1 and 0.17 L/kg, respectively.",Pharmacokinetics and bioavailability of furosemide in sheep. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33314204/),[l] / [h·kg],0.24,5081,DB00695,Furosemide
,33314204,volume of distribution at steady state,"The mean total clearance and volume of distribution at steady state following IV administration were 0.24 L h-1 kg-1 and 0.17 L/kg, respectively.",Pharmacokinetics and bioavailability of furosemide in sheep. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33314204/),[l] / [kg],0.17,5082,DB00695,Furosemide
,33314204,peak plasma concentrations,"The mean peak plasma concentrations of IM and SC administration were 10.33 and 3.18 μg/ml at 0.33 and 0.42 hr, respectively.",Pharmacokinetics and bioavailability of furosemide in sheep. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33314204/),[μg] / [ml],10.33,5083,DB00695,Furosemide
,33314204,peak plasma concentrations,"The mean peak plasma concentrations of IM and SC administration were 10.33 and 3.18 μg/ml at 0.33 and 0.42 hr, respectively.",Pharmacokinetics and bioavailability of furosemide in sheep. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33314204/),[μg] / [ml],3.18,5084,DB00695,Furosemide
,33314204,bioavailability,"The mean bioavailability of IM and SC administration was 97.91% and 37.98%, respectively.",Pharmacokinetics and bioavailability of furosemide in sheep. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33314204/),%,97.91,5085,DB00695,Furosemide
,33314204,bioavailability,"The mean bioavailability of IM and SC administration was 97.91% and 37.98%, respectively.",Pharmacokinetics and bioavailability of furosemide in sheep. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33314204/),%,37.98,5086,DB00695,Furosemide
,23264940,flow rate,"The reconstituted samples were chromatographed on a Zorbax XDB Phenyl column by using a mixture of 0.2% acetic acid buffer, methanol, and acetonitrile (20:16:64, v/v) as the mobile phase at a flow rate of 0.8 mL/min.",Simultaneous Determination of Atorvastatin and Aspirin in Human Plasma by LC-MS/MS: Its Pharmacokinetic Application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23264940/),[ml] / [min],0.8,5160,DB00695,Furosemide
,23264940,run time,A run time of 3.0 min for each sample made it possible to analyze more than 300 human plasma samples per day.,Simultaneous Determination of Atorvastatin and Aspirin in Human Plasma by LC-MS/MS: Its Pharmacokinetic Application. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23264940/),min,3.0,5161,DB00695,Furosemide
,12457304,serum trough levels,"Beside cyclosporine A at serum trough levels of 240 (195-273) microg/l, five patients additionally received aminoglycosides for at least 2 weeks, and 4 were treated with ganciclovir.","Tolerability, safety and efficacy of conventional amphotericin B administered by 24-hour infusion to lung transplant recipients. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12457304/),[μg] / [l],240,6900,DB00695,Furosemide
,11341359,plasma concentration,"When Eudragit L100-55 was used in an in-situ ileal loop experiment in rats, the pH of the intestinal contents was significantly reduced, from 7.9+/-0.1 to 5.7+/-0.1, and the plasma concentration of furosemide 15 min after administration was about 3 times higher than that in controls, 1.81+/- 0.42microg mL(-1) vs 0.63+/-0.08 microg mL(-1).",Improvement in site-specific intestinal absorption of furosemide by Eudragit L100-55. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11341359/),[μg] / [ml],1.81,7725,DB00695,Furosemide
,11341359,plasma concentration,"When Eudragit L100-55 was used in an in-situ ileal loop experiment in rats, the pH of the intestinal contents was significantly reduced, from 7.9+/-0.1 to 5.7+/-0.1, and the plasma concentration of furosemide 15 min after administration was about 3 times higher than that in controls, 1.81+/- 0.42microg mL(-1) vs 0.63+/-0.08 microg mL(-1).",Improvement in site-specific intestinal absorption of furosemide by Eudragit L100-55. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11341359/),[μg] / [ml],0.63,7726,DB00695,Furosemide
,11341359,AUC,"Furthermore, the AUC of furosemide was significantly increased by a factor of about 1.6 relative to that in controls by the co-administration of Eudragit L100-55, to 21.4+/-4.0 microg h mL(-1) from 13.3+/- 3.9 microg h mL(-1), and the gastrointestinal pH in the midgut and ileum was significantly reduced, with most of the furosemide remaining in these segments at 2 h following the oral administration of furosemide with Eudragit L100-55 to rats.",Improvement in site-specific intestinal absorption of furosemide by Eudragit L100-55. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11341359/),[h·μg] / [ml],21.4,7727,DB00695,Furosemide
,11341359,AUC,"Furthermore, the AUC of furosemide was significantly increased by a factor of about 1.6 relative to that in controls by the co-administration of Eudragit L100-55, to 21.4+/-4.0 microg h mL(-1) from 13.3+/- 3.9 microg h mL(-1), and the gastrointestinal pH in the midgut and ileum was significantly reduced, with most of the furosemide remaining in these segments at 2 h following the oral administration of furosemide with Eudragit L100-55 to rats.",Improvement in site-specific intestinal absorption of furosemide by Eudragit L100-55. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11341359/),[h·μg] / [ml],13.3,7728,DB00695,Furosemide
less,30892891,IC50,"Compounds 10 and 16 were inhibitors for OAT1, and compounds 1-3, 10, and 16 were inhibitors for OAT3 with IC50 values less than 5.0 μM.",Dihydrophenanthrenes from Juncus effusus as Inhibitors of OAT1 and OAT3. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30892891/),μM,5.0,10787,DB00695,Furosemide
,34427339,elimination half-life,"The elimination half-life following IV, IM, and SC administration was 0.71 (0.67-0.76) h, 0.69 (0.61-0.74) h, and 0.70 (0.67-0.79) h, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),h,0.71,10911,DB00695,Furosemide
,34427339,elimination half-life,"The elimination half-life following IV, IM, and SC administration was 0.71 (0.67-0.76) h, 0.69 (0.61-0.74) h, and 0.70 (0.67-0.79) h, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),h,0.69,10912,DB00695,Furosemide
,34427339,elimination half-life,"The elimination half-life following IV, IM, and SC administration was 0.71 (0.67-0.76) h, 0.69 (0.61-0.74) h, and 0.70 (0.67-0.79) h, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),h,0.70,10913,DB00695,Furosemide
,34427339,volume of distribution at steady state,"The volume of distribution at steady state and total clearance for the IV route were 0.17 (0.16-0.19) L/kg and 0.30 (0.27-0.33) L/h/kg, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),[l] / [kg],0.17,10914,DB00695,Furosemide
,34427339,total clearance,"The volume of distribution at steady state and total clearance for the IV route were 0.17 (0.16-0.19) L/kg and 0.30 (0.27-0.33) L/h/kg, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),[l] / [h·kg],0.30,10915,DB00695,Furosemide
,34427339,peak plasma concentrations,"The peak plasma concentrations of furosemide following IM and SC administrations were 11.19 (10.33-11.95) and 6.49 (5.92-7.00) μg/ml at 0.23 (0.16-0.25) and 0.39 (0.33-0.42) h, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),[μg] / [ml],11.19,10916,DB00695,Furosemide
,34427339,peak plasma concentrations,"The peak plasma concentrations of furosemide following IM and SC administrations were 11.19 (10.33-11.95) and 6.49 (5.92-7.00) μg/ml at 0.23 (0.16-0.25) and 0.39 (0.33-0.42) h, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),[μg] / [ml],6.49,10917,DB00695,Furosemide
,34427339,bioavailability,"The bioavailability was 109.84 (104.92-116.99)% and 70.80 (55.77-86.67)% for the IM and SC routes, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),%,109.84,10918,DB00695,Furosemide
,34427339,bioavailability,"The bioavailability was 109.84 (104.92-116.99)% and 70.80 (55.77-86.67)% for the IM and SC routes, respectively.","Pharmacokinetics of furosemide in goats following intravenous, intramuscular, and subcutaneous administrations. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34427339/),%,70.80,10919,DB00695,Furosemide
