Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11339290,flow-rate,The flow-rate was 1 ml/min with UV detection at 229 nm.,"Application of a high-performance liquid chromatographic assay for the neuromuscular blocker gallamine to analysis of rat plasma, muscle and microdialysate samples. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11339290/),[ml] / [min],1,57577,DB00483,Gallamine Triethiodide
,6289700,elimination halflife,"In this study of 50- to 76-year-old patients, the most striking difference from other studies was that the elimination halflife averaged 247 minutes in this study whereas 128 to 141 minutes has been reported previously.",Gallamine administered by combined bolus and infusion. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6289700/),min,247,67471,DB00483,Gallamine Triethiodide
,6289700,elimination halflife,"In this study of 50- to 76-year-old patients, the most striking difference from other studies was that the elimination halflife averaged 247 minutes in this study whereas 128 to 141 minutes has been reported previously.",Gallamine administered by combined bolus and infusion. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6289700/),min,128 to 141,67472,DB00483,Gallamine Triethiodide
,7225266,plasma clearance,"The plasma clearance of pancuronium in patients with extrahepatic cholestasis was 16% lower than in a control group (1.47 +/- 0.11 ml min-1 kg-1 v. 1.76 +/- 0.21 ml min-1 kg-1), but the difference was not significant.",Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),[ml] / [kg·min],1.47,159130,DB00483,Gallamine Triethiodide
,7225266,plasma clearance,"The plasma clearance of pancuronium in patients with extrahepatic cholestasis was 16% lower than in a control group (1.47 +/- 0.11 ml min-1 kg-1 v. 1.76 +/- 0.21 ml min-1 kg-1), but the difference was not significant.",Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),[ml] / [kg·min],1.76,159131,DB00483,Gallamine Triethiodide
,7225266,elimination half-life T 1/2 beta,A significant increase in the elimination half-life T 1/2 beta of pancuronium (from 141 to 224 min) and a significant increase in the volume of the peripheral compartment (V2) was found in patients with extrahepatic cholestasis when compared with control patients.,Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),min,141,159132,DB00483,Gallamine Triethiodide
,7225266,elimination half-life T 1/2 beta,A significant increase in the elimination half-life T 1/2 beta of pancuronium (from 141 to 224 min) and a significant increase in the volume of the peripheral compartment (V2) was found in patients with extrahepatic cholestasis when compared with control patients.,Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),min,224,159133,DB00483,Gallamine Triethiodide
,7225266,cumulative biliary excretion,There was a significantly lower cumulative biliary excretion of pancuronium (0.3 +/- 0.3% v. 10.9 +/- 3.2% in the controls) during the 48-h period of observation.,Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),%,0.3,159134,DB00483,Gallamine Triethiodide
,7225266,cumulative biliary excretion,There was a significantly lower cumulative biliary excretion of pancuronium (0.3 +/- 0.3% v. 10.9 +/- 3.2% in the controls) during the 48-h period of observation.,Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),%,10.9,159135,DB00483,Gallamine Triethiodide
,7225266,cumulative urinary excretion,The cumulative urinary excretion of gallamine during 48 h in both groups of patients was approximately 100%.,Hepatic and renal disposition of pancuronium and gallamine in patients with extrahepatic cholestasis. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7225266/),%,100,159136,DB00483,Gallamine Triethiodide
