Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,22071596,half-life,Peak plasma concentrations of afatinib were reached 3-4 h after administration and declined with a half-life of 30-40 h.,Phase I study of continuous afatinib (BIBW 2992) in patients with advanced non-small cell lung cancer after prior chemotherapy/erlotinib/gefitinib (LUX-Lung 4). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22071596/),h,30-40,22,DB00317,Gefitinib
,23064060,Cmax,"The Cmax of gefitinib in patients with a partial response(PR)was significantly lower than that of patients with stable disease(SD)(median Cmax: 278 vs 588 ng/mL, p<0.05 ).",The pharmacokinetics and long-term therapeutic effects of gefitinib in patients with lung adenocarcinoma harboring the epidermal growth factor receptor(EGFR)mutation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23064060/),[ng] / [ml],278,213,DB00317,Gefitinib
,23064060,Cmax,"The Cmax of gefitinib in patients with a partial response(PR)was significantly lower than that of patients with stable disease(SD)(median Cmax: 278 vs 588 ng/mL, p<0.05 ).",The pharmacokinetics and long-term therapeutic effects of gefitinib in patients with lung adenocarcinoma harboring the epidermal growth factor receptor(EGFR)mutation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23064060/),[ng] / [ml],588,214,DB00317,Gefitinib
,16507511,IC(50),Both gefitinib (IC(50) = 0.022 microM) and its desmethyl metabolite (0.036 microM) inhibited subcellular EGFR tyrosine kinase activity with a similar potency and selectivity.,"Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),μM,0.022,3850,DB00317,Gefitinib
,16507511,IC(50),Both gefitinib (IC(50) = 0.022 microM) and its desmethyl metabolite (0.036 microM) inhibited subcellular EGFR tyrosine kinase activity with a similar potency and selectivity.,"Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),μM,0.036,3851,DB00317,Gefitinib
,16507511,IC(50),"However, desmethyl-gefitinib (IC(50) = 0.76 microM) was 15 times less active than gefitinib (0.049 microM) against EGF-stimulated KB cell growth in a whole cell assay.","Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),μM,0.76,3852,DB00317,Gefitinib
,16507511,IC(50),"However, desmethyl-gefitinib (IC(50) = 0.76 microM) was 15 times less active than gefitinib (0.049 microM) against EGF-stimulated KB cell growth in a whole cell assay.","Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),μM,0.049,3853,DB00317,Gefitinib
,16507511,AUC,"Tumour concentrations of gefitinib (AUC = 300 microg h g(-1)) were much higher than those of desmethyl-gefitinib (44.3 microg h g(-1)), although plasma concentrations of gefitinib (48.4 microg h ml(-1)) and desmethyl-gefitinib (39.0 microg h ml(-1)) were quite similar at these dose levels.","Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),[h·μg] / [g],300,3854,DB00317,Gefitinib
,16507511,AUC,"Tumour concentrations of gefitinib (AUC = 300 microg h g(-1)) were much higher than those of desmethyl-gefitinib (44.3 microg h g(-1)), although plasma concentrations of gefitinib (48.4 microg h ml(-1)) and desmethyl-gefitinib (39.0 microg h ml(-1)) were quite similar at these dose levels.","Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),[h·μg] / [g],44.3,3855,DB00317,Gefitinib
,16507511,AUC,"Tumour concentrations of gefitinib (AUC = 300 microg h g(-1)) were much higher than those of desmethyl-gefitinib (44.3 microg h g(-1)), although plasma concentrations of gefitinib (48.4 microg h ml(-1)) and desmethyl-gefitinib (39.0 microg h ml(-1)) were quite similar at these dose levels.","Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),[h·μg] / [ml],48.4,3856,DB00317,Gefitinib
,16507511,AUC,"Tumour concentrations of gefitinib (AUC = 300 microg h g(-1)) were much higher than those of desmethyl-gefitinib (44.3 microg h g(-1)), although plasma concentrations of gefitinib (48.4 microg h ml(-1)) and desmethyl-gefitinib (39.0 microg h ml(-1)) were quite similar at these dose levels.","Minimal contribution of desmethyl-gefitinib, the major human plasma metabolite of gefitinib, to epidermal growth factor receptor (EGFR)-mediated tumour growth inhibition. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16507511/),[h·μg] / [ml],39.0,3857,DB00317,Gefitinib
,17317832,C(max),Mean (+/-SD) serum calcitriol C(max) at the MTD was 6.68 +/- 1.42 ng/mL.,A phase I pharmacokinetic and pharmacodynamic study of intravenous calcitriol in combination with oral gefitinib in patients with advanced solid tumors. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17317832/),[ng] / [ml],6.68,5382,DB00317,Gefitinib
