Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,33174133,relative bioavailability,"Compared with the commercially available tablets, the pharmacokinetics studies suggested that both CDCOPCs containing and lacking borneol could significantly prolong the retention time of these effective components; their average relative bioavailability values increased to 448.70% and 350.97%, respectively.",Effects of Borneol on the Release of Compound Danshen Colon-Specific Osmotic Pump Capsule In Vitro and Pharmacokinetics Study in Beagle Dogs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33174133/),%,448.70,322,DB01404,Ginseng
,33174133,relative bioavailability,"Compared with the commercially available tablets, the pharmacokinetics studies suggested that both CDCOPCs containing and lacking borneol could significantly prolong the retention time of these effective components; their average relative bioavailability values increased to 448.70% and 350.97%, respectively.",Effects of Borneol on the Release of Compound Danshen Colon-Specific Osmotic Pump Capsule In Vitro and Pharmacokinetics Study in Beagle Dogs. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33174133/),%,350.97,323,DB01404,Ginseng
under,19729261,lower limits of detection (LLOD),Analytes and digoxin (I.S.) were analyzed and identified using an electrospray negative ionization mass spectrometry in the selected ion monitoring mode with the linear concentration range of 5.0-5000 ng/mL and lower limits of detection (LLOD) under 2.5 ng/mL.,Pharmacokinetic study of ginsenoside Re with pure ginsenoside Re and ginseng berry extracts in mouse using ultra performance liquid chromatography/mass spectrometric method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19729261/),[ng] / [ml],2.5,5560,DB01404,Ginseng
,19729261,half-life,Ginsenoside Re was rapidly cleared from the body with a short half-life (0.2+/-0.03 h for male and 0.5+/-0.08 h for female mice after i.v.) and oral absorption was generally poor (F% 0.19-0.28).,Pharmacokinetic study of ginsenoside Re with pure ginsenoside Re and ginseng berry extracts in mouse using ultra performance liquid chromatography/mass spectrometric method. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19729261/),h,0.2,5561,DB01404,Ginseng
,19729261,half-life,Ginsenoside Re was rapidly cleared from the body with a short half-life (0.2+/-0.03 h for male and 0.5+/-0.08 h for female mice after i.v.) and oral absorption was generally poor (F% 0.19-0.28).,Pharmacokinetic study of ginsenoside Re with pure ginsenoside Re and ginseng berry extracts in mouse using ultra performance liquid chromatography/mass spectrometric method. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19729261/),h,0.5,5562,DB01404,Ginseng
,19729261,F%,Ginsenoside Re was rapidly cleared from the body with a short half-life (0.2+/-0.03 h for male and 0.5+/-0.08 h for female mice after i.v.) and oral absorption was generally poor (F% 0.19-0.28).,Pharmacokinetic study of ginsenoside Re with pure ginsenoside Re and ginseng berry extracts in mouse using ultra performance liquid chromatography/mass spectrometric method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19729261/),,0.19-0.28,5563,DB01404,Ginseng
,19729261,F%,"Notably, GB extract showed a superior oral absorption of ginsenoside Re (F% 0.33-0.75) at equivalent ginsenoside",Pharmacokinetic study of ginsenoside Re with pure ginsenoside Re and ginseng berry extracts in mouse using ultra performance liquid chromatography/mass spectrometric method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19729261/),,0.33-0.75,5564,DB01404,Ginseng
,12736498,absolute bioavailability,"2. The absolute bioavailability values (F) were 1.02, 1.47 and 3.30% at doses of 12.5, 25.0, and 50.0 mg/kg, respectively.","Pharmacokinetics of (-)-epicatechin-3-O-gallate, an active component of Onpi-to, in rats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12736498/),%,1.02,6240,DB01404,Ginseng
,12736498,absolute bioavailability,"2. The absolute bioavailability values (F) were 1.02, 1.47 and 3.30% at doses of 12.5, 25.0, and 50.0 mg/kg, respectively.","Pharmacokinetics of (-)-epicatechin-3-O-gallate, an active component of Onpi-to, in rats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12736498/),%,1.47,6241,DB01404,Ginseng
,12736498,absolute bioavailability,"2. The absolute bioavailability values (F) were 1.02, 1.47 and 3.30% at doses of 12.5, 25.0, and 50.0 mg/kg, respectively.","Pharmacokinetics of (-)-epicatechin-3-O-gallate, an active component of Onpi-to, in rats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12736498/),%,3.30,6242,DB01404,Ginseng
,12736498,gamma-elimination half-life (t(1/2gamma)),"3. Following intravenous injection of ECG, plasma levels of ECG decreased with the gamma-elimination half-life (t(1/2gamma)) of 4.03 h.","Pharmacokinetics of (-)-epicatechin-3-O-gallate, an active component of Onpi-to, in rats. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/12736498/),h,4.03,6243,DB01404,Ginseng
,12736498,cumulative excretion,"Moreover, cumulative excretion of the metabolites, delta-(3,4-dihydroxyphenyl)-gamma-valerolactone and delta-(3-methoxy-4-hydroxyphenyl)-gamma-valerolactone, was 2.45 and 0.23% of dose, respectively, up to 30 h after dosing.","Pharmacokinetics of (-)-epicatechin-3-O-gallate, an active component of Onpi-to, in rats. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12736498/),%,2.45,6244,DB01404,Ginseng
,12736498,cumulative excretion,"Moreover, cumulative excretion of the metabolites, delta-(3,4-dihydroxyphenyl)-gamma-valerolactone and delta-(3-methoxy-4-hydroxyphenyl)-gamma-valerolactone, was 2.45 and 0.23% of dose, respectively, up to 30 h after dosing.","Pharmacokinetics of (-)-epicatechin-3-O-gallate, an active component of Onpi-to, in rats. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12736498/),%,0.23,6245,DB01404,Ginseng
