Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,30245720,flow rate,Mobile phase consisting of acetonitrile (0.1% formic acid) and water (0.1% formic acid) was pumped in binary gradient mode at flow rate of 150 μL/min.,"Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),[μl] / [min],150,8842,DB00222,Glimepiride
,30245720,elution time,"Glibenclamide and IS elution time was about 1.0 min, and total run time was 2.0 min.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),min,1.0,8843,DB00222,Glimepiride
,30245720,total run time,"Glibenclamide and IS elution time was about 1.0 min, and total run time was 2.0 min.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),min,2.0,8844,DB00222,Glimepiride
,30245720,Accuracy,"Accuracy of the method at LQC, MQC, and HQC was 109.7% (± 6.7), 93.6% (± 0.4), and 99.3% (± 1.9), respectively.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),%,109.7,8845,DB00222,Glimepiride
,30245720,Accuracy,"Accuracy of the method at LQC, MQC, and HQC was 109.7% (± 6.7), 93.6% (± 0.4), and 99.3% (± 1.9), respectively.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),%,93.6,8846,DB00222,Glimepiride
,30245720,Accuracy,"Accuracy of the method at LQC, MQC, and HQC was 109.7% (± 6.7), 93.6% (± 0.4), and 99.3% (± 1.9), respectively.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),%,99.3,8847,DB00222,Glimepiride
,30245720,Recovery,"Recovery at LLQC, MQC, and HQC was 104.2% (± 4.9), 100.6% (± 0.9), and 102.9% (± 5.8), respectively.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),%,104.2,8848,DB00222,Glimepiride
,30245720,Recovery,"Recovery at LLQC, MQC, and HQC was 104.2% (± 4.9), 100.6% (± 0.9), and 102.9% (± 5.8), respectively.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),%,100.6,8849,DB00222,Glimepiride
,30245720,Recovery,"Recovery at LLQC, MQC, and HQC was 104.2% (± 4.9), 100.6% (± 0.9), and 102.9% (± 5.8), respectively.","Rapid, Validated UPLC-MS/MS Method for Determination of Glibenclamide in Rat Plasma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30245720/),%,102.9,8850,DB00222,Glimepiride
,15358318,retention time,Glimepiride was eluted with retention time 34.9 min without interference of endogenous substance from plasma.,Determination of glimepiride in human plasma using semi-microbore high performance liquid chromatography with column-switching. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15358318/),min,34.9,10648,DB00222,Glimepiride
,15358318,limit of quantification (LOQ),The limit of quantification (LOQ) was 10 ng/ml for glimepiride.,Determination of glimepiride in human plasma using semi-microbore high performance liquid chromatography with column-switching. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15358318/),[ng] / [ml],10,10649,DB00222,Glimepiride
,28069690,flow rate,The chromatographic analysis was performed on Waters-600 system using an isocratic mobile phase comprising methanol:water (80:20 % v/v) with pH of water modified to three using formic acid at a flow rate of 1.0 mL/min and Kinetex C18 column maintained at 30 ± 1°C.,Development of Solid-Phase Extraction and HPLC Method for Simultaneous Estimation of Ilaprazole and Glimepiride in Rat Plasma: Application to Pharmacokinetic Studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28069690/),[ml] / [min],1.0,16318,DB00222,Glimepiride
,28069690,total run time,"IS, ILA and GLM eluted at 2.04, 4.7 and 7.4 min, respectively, and the total run time was 10 min.",Development of Solid-Phase Extraction and HPLC Method for Simultaneous Estimation of Ilaprazole and Glimepiride in Rat Plasma: Application to Pharmacokinetic Studies. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28069690/),min,10,16319,DB00222,Glimepiride
,32092631,extraction recovery,"The established method has good linearity (1-2000ng•mL-1), low quantification limit (1ng•mL-1), good precision (RSDs≤12 %), and satisfactory extraction recovery (71.20-85.70 %).",Magnetic solid phase extraction followed with LC-MS/MS for determination of glimepiride in beagle dog plasma and its application to bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32092631/),%,71.20-85.70,33566,DB00222,Glimepiride
,15651098,flow rate,"The chromatographic separation was performed on a reversed-phase Hypersil ODScolumn (250 x 4.6 mm i.d.; 5 microm particle size) using a mobile phase consisting of formic acid 0.05 M-acetonitrile (28:72, v/v), pumped at a flow rate of 0.3 ml min(-1) heated to 25 degrees C.",Improved liquid chromatographic tandem mass spectrometric determination and pharmacokinetic study of glimepiride in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15651098/),[ml] / [min],0.3,39216,DB00222,Glimepiride
