Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3718596,initial t1/2,"This radioactivity disappears quickly from plasma (initial t1/2 = 13 min, terminal t1/2 = 118 min).",Pharmacokinetics of glucosamine in the dog and in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3718596/),min,13,215,DB01296,Glucosamine
,3718596,terminal t1/2,"This radioactivity disappears quickly from plasma (initial t1/2 = 13 min, terminal t1/2 = 118 min).",Pharmacokinetics of glucosamine in the dog and in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3718596/),min,118,216,DB01296,Glucosamine
,3718596,t1/2,"The protein-incorporated radioactivity is found already 20-30 min after i.v. administration, reaches a peak after 8 h and then slowly disappears, with a t1/2 = 2.9 days.",Pharmacokinetics of glucosamine in the dog and in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3718596/),d,2.9,217,DB01296,Glucosamine
,25802209,run time,"The chromatographic separation was achieved on a Waters ACQUITY HSS Cyano column using a mixture of acetonitrile/2 mM ammonium acetate solution containing 0.03% formic acid (80:20, v/v) as the mobile phase with a very short run time of 1.5 min.",Sensitive and rapid analytical method for the quantification of glucosamine in human plasma by ultra high performance liquid chromatography with tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25802209/),min,1.5,3284,DB01296,Glucosamine
,16168682,elimination half-life,Glucosamine elimination half-life was only tentatively estimated to average 15 h.,Glucosamine oral bioavailability and plasma pharmacokinetics after increasing doses of crystalline glucosamine sulfate in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16168682/),h,15,8857,DB01296,Glucosamine
,6422479,half-disappearance time,"After intravenous administration, plasma radioactivity declined in the first 30 min, then increased, reaching a peak at the 2nd hour, and disappeared, with a half-disappearance time of 28 hours.","Absorption, distribution and excretion of radioactivity after a single intravenous or oral administration of [14C] glucosamine to the rat. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6422479/),h,28,16212,DB01296,Glucosamine
,6422479,Faecal excretion,Faecal excretion was small (2% of the administered dose).,"Absorption, distribution and excretion of radioactivity after a single intravenous or oral administration of [14C] glucosamine to the rat. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6422479/),,2,16213,DB01296,Glucosamine
,6422479,excretion,"There was only small faecal excretion, showing an almost complete bioavailability of glucosamine given orally, and the large excretion with the CO2 (82%) showed that glucosamine is to a large extent broken down to smaller fragments.","Absorption, distribution and excretion of radioactivity after a single intravenous or oral administration of [14C] glucosamine to the rat. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6422479/),,82,16214,DB01296,Glucosamine
,24375187,Minimum effective dose,"Minimum effective dose was approximately 40 mg/kg.day(-1) that correspond to maximum plasma concentration of 1.37 ± 0.24 mg/L, close to 1.6 mg/L reported for pharmaceutical grades of GlcN to humans.",Glucosamine dose/concentration-effect correlation in the rat with adjuvant arthritis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24375187/),[kg·mg] / [day],40,24604,DB01296,Glucosamine
,24375187,maximum plasma concentration,"Minimum effective dose was approximately 40 mg/kg.day(-1) that correspond to maximum plasma concentration of 1.37 ± 0.24 mg/L, close to 1.6 mg/L reported for pharmaceutical grades of GlcN to humans.",Glucosamine dose/concentration-effect correlation in the rat with adjuvant arthritis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24375187/),[mg] / [l],1.37,24605,DB01296,Glucosamine
,24375187,maximum plasma concentration,"Minimum effective dose was approximately 40 mg/kg.day(-1) that correspond to maximum plasma concentration of 1.37 ± 0.24 mg/L, close to 1.6 mg/L reported for pharmaceutical grades of GlcN to humans.",Glucosamine dose/concentration-effect correlation in the rat with adjuvant arthritis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24375187/),[mg] / [l],1.6,24606,DB01296,Glucosamine
,12207870,flow rate,"Analysis was accomplished by injection of 0.1 mL of the sample solution into an isocratic HPLC system consisting of a C18 column, a mobile phase of acetonitrile: water: acetic acid: triethylamine (4.5: 95.5:0.1:0.05), a flow rate of 0.9 mL/min, and a UV detector set at 254 nm.",High performance liquid chromatographic determination of glucosamine in rat plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12207870/),[ml] / [min],0.9,40358,DB01296,Glucosamine
,27474667,critical micelle concentration (CMC),"The critical micelle concentration (CMC) decreased with an increasing substitution of TS on LMW Cmc, which ranged from 7.94×10(-8) to 1.58×10(-6)g/mL.","Polymeric micelles of amphiphilic graft copolymer of α-tocopherol succinate-g-carboxymethyl chitosan for tamoxifen delivery: Synthesis, characterization and in vivo pharmacokinetic study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474667/),[g] / [ml],7.94×10(-8),52011,DB01296,Glucosamine
,27474667,critical micelle concentration (CMC),"The critical micelle concentration (CMC) decreased with an increasing substitution of TS on LMW Cmc, which ranged from 7.94×10(-8) to 1.58×10(-6)g/mL.","Polymeric micelles of amphiphilic graft copolymer of α-tocopherol succinate-g-carboxymethyl chitosan for tamoxifen delivery: Synthesis, characterization and in vivo pharmacokinetic study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27474667/),[g] / [ml],1.58×10(-6),52012,DB01296,Glucosamine
,16821643,linear dynamic,The assay exhibited a linear dynamic range of 100-6000 ng/mL for miglitol in human plasma.,Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),[ng] / [ml],100-6000,52454,DB01296,Glucosamine
,16821643,absolute recoveries,"The average absolute recoveries of miglitol and the IS from spiked plasma samples were 40.5 +/- 2.7 and 47.1 +/- 2.9 %, respectively.",Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),%,40.5,52455,DB01296,Glucosamine
,16821643,absolute recoveries,"The average absolute recoveries of miglitol and the IS from spiked plasma samples were 40.5 +/- 2.7 and 47.1 +/- 2.9 %, respectively.",Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),%,47.1,52456,DB01296,Glucosamine
,16821643,run time,A run time of 2.5 min for each sample made it possible to analyze a throughput of more than 400 human plasma samples per day.,Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),min,2.5,52457,DB01296,Glucosamine
,16821643,observed maximum plasma concentration (Cmax),"The observed maximum plasma concentration (Cmax) of miglitol (100 mg oral dose) is 1740 ng/mL, time to observed maximum plasma concentration (tmax) is 3.5 h and elimination half-life (t(1/2)) is 2.5 h.",Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),[ng] / [ml],1740,52458,DB01296,Glucosamine
,16821643,time to observed maximum plasma concentration (tmax),"The observed maximum plasma concentration (Cmax) of miglitol (100 mg oral dose) is 1740 ng/mL, time to observed maximum plasma concentration (tmax) is 3.5 h and elimination half-life (t(1/2)) is 2.5 h.",Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),h,3.5,52459,DB01296,Glucosamine
,16821643,elimination half-life (t(1/2)),"The observed maximum plasma concentration (Cmax) of miglitol (100 mg oral dose) is 1740 ng/mL, time to observed maximum plasma concentration (tmax) is 3.5 h and elimination half-life (t(1/2)) is 2.5 h.",Liquid chromatographic tandem mass spectrometry method for the quantification of miglitol in human plasma. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16821643/),h,2.5,52460,DB01296,Glucosamine
,17207418,terminal half-life,"Following i.v. administration, the terminal half-life was 0.29 -/+ 0.06 h, volume of distribution at steady state was 2.1 -/+ 0.26 L/kg and total body clearance was 5.23 -/+ 1.44 L/h/kg.",Single dose pharmacokinetics and bioavailability of butyryl glucosamine in the rat. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17207418/),h,0.29,55009,DB01296,Glucosamine
,17207418,volume of distribution at steady state,"Following i.v. administration, the terminal half-life was 0.29 -/+ 0.06 h, volume of distribution at steady state was 2.1 -/+ 0.26 L/kg and total body clearance was 5.23 -/+ 1.44 L/h/kg.",Single dose pharmacokinetics and bioavailability of butyryl glucosamine in the rat. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17207418/),[l] / [kg],2.1,55010,DB01296,Glucosamine
,17207418,total body clearance,"Following i.v. administration, the terminal half-life was 0.29 -/+ 0.06 h, volume of distribution at steady state was 2.1 -/+ 0.26 L/kg and total body clearance was 5.23 -/+ 1.44 L/h/kg.",Single dose pharmacokinetics and bioavailability of butyryl glucosamine in the rat. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17207418/),[l] / [h·kg],5.23,55011,DB01296,Glucosamine
less,17207418,Bioavailability,Bioavailability was less than 17% and 100% following oral and i.p. doses respectively.,Single dose pharmacokinetics and bioavailability of butyryl glucosamine in the rat. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17207418/),%,17,55012,DB01296,Glucosamine
,17207418,Bioavailability,Bioavailability was less than 17% and 100% following oral and i.p. doses respectively.,Single dose pharmacokinetics and bioavailability of butyryl glucosamine in the rat. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17207418/),%,100,55013,DB01296,Glucosamine
,17207418,Tmax,"GLcNBu was rapidly absorbed after oral doses (Tmax, 29-40 min).",Single dose pharmacokinetics and bioavailability of butyryl glucosamine in the rat. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17207418/),min,29-40,55014,DB01296,Glucosamine
,27008238,concentration peak (Cmax,"Quatrefolic® administration produced a plasmatic (6S)5-MTHF concentration peak (Cmax: 879.6±330.3 ng/mL) 1.8 times higher than (6S)5-MTHF Ca salt (486.8±184.1 ng/mL), and 3.1 times higher than folic acid supplementation (281.5±135.7 ng/mL), while tmax values were similar for the three folate forms.",Enhanced oral bioavailability of a novel folate salt: comparison with folic acid and a calcium folate salt in a pharmacokinetic study in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27008238/),[ng] / [ml],879.6,58814,DB01296,Glucosamine
,27008238,concentration peak (Cmax,"Quatrefolic® administration produced a plasmatic (6S)5-MTHF concentration peak (Cmax: 879.6±330.3 ng/mL) 1.8 times higher than (6S)5-MTHF Ca salt (486.8±184.1 ng/mL), and 3.1 times higher than folic acid supplementation (281.5±135.7 ng/mL), while tmax values were similar for the three folate forms.",Enhanced oral bioavailability of a novel folate salt: comparison with folic acid and a calcium folate salt in a pharmacokinetic study in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27008238/),[ng] / [ml],486.8,58815,DB01296,Glucosamine
,27008238,concentration peak (Cmax,"Quatrefolic® administration produced a plasmatic (6S)5-MTHF concentration peak (Cmax: 879.6±330.3 ng/mL) 1.8 times higher than (6S)5-MTHF Ca salt (486.8±184.1 ng/mL), and 3.1 times higher than folic acid supplementation (281.5±135.7 ng/mL), while tmax values were similar for the three folate forms.",Enhanced oral bioavailability of a novel folate salt: comparison with folic acid and a calcium folate salt in a pharmacokinetic study in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27008238/),[ng] / [ml],281.5,58816,DB01296,Glucosamine
,27008238,AUC8h,Quatrefolic® supplementation showed AUC8h (1123.9 ng/mL ∙ h) 9.7 times higher than folic acid (114.7 ng/mL ∙ h) and 1.12 times higher than (6S)5-MTHF Ca salt (997.6 ng/mL ∙ h).,Enhanced oral bioavailability of a novel folate salt: comparison with folic acid and a calcium folate salt in a pharmacokinetic study in rats. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27008238/),[ng] / [h·ml·∙],1123.9,58817,DB01296,Glucosamine
