Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,16295780,elimination of half life,"In vitro, the elimination of half life was achieved at 2.88+/-1.14 h for NAC and at 3.68+/-1.84 h for total NAC.",Effect of high-dose intravenous N-acetylcysteine on the concentration of plasma sulfur-containing amino acids. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16295780/),h,2.88,772,DB00143,Glutathione
,16295780,elimination of half life,"In vitro, the elimination of half life was achieved at 2.88+/-1.14 h for NAC and at 3.68+/-1.84 h for total NAC.",Effect of high-dose intravenous N-acetylcysteine on the concentration of plasma sulfur-containing amino acids. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16295780/),h,3.68,773,DB00143,Glutathione
,16295780,body clearances,"The body clearances were 1.23+/-0.77 L h(-1) kg(-1) and 0.56+/-0.27 L h(-1) kg(-1) and the volumes of distribution were 3.07+/-0.10 L kg(-1) and 3.00+/-0.11 L kg(-1), respectively.",Effect of high-dose intravenous N-acetylcysteine on the concentration of plasma sulfur-containing amino acids. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16295780/),[l] / [h·kg],1.23,774,DB00143,Glutathione
,16295780,body clearances,"The body clearances were 1.23+/-0.77 L h(-1) kg(-1) and 0.56+/-0.27 L h(-1) kg(-1) and the volumes of distribution were 3.07+/-0.10 L kg(-1) and 3.00+/-0.11 L kg(-1), respectively.",Effect of high-dose intravenous N-acetylcysteine on the concentration of plasma sulfur-containing amino acids. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16295780/),[l] / [h·kg],0.56,775,DB00143,Glutathione
,16295780,volumes of distribution,"The body clearances were 1.23+/-0.77 L h(-1) kg(-1) and 0.56+/-0.27 L h(-1) kg(-1) and the volumes of distribution were 3.07+/-0.10 L kg(-1) and 3.00+/-0.11 L kg(-1), respectively.",Effect of high-dose intravenous N-acetylcysteine on the concentration of plasma sulfur-containing amino acids. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16295780/),[l] / [kg],3.07,776,DB00143,Glutathione
,16295780,volumes of distribution,"The body clearances were 1.23+/-0.77 L h(-1) kg(-1) and 0.56+/-0.27 L h(-1) kg(-1) and the volumes of distribution were 3.07+/-0.10 L kg(-1) and 3.00+/-0.11 L kg(-1), respectively.",Effect of high-dose intravenous N-acetylcysteine on the concentration of plasma sulfur-containing amino acids. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16295780/),[l] / [kg],3.00,777,DB00143,Glutathione
,1549695,T1 relaxivity,With T1 relaxivity values of 8.7 L/mmol.,Preclinical evaluation of Gd-EOB-DTPA as a contrast agent in MR imaging of the hepatobiliary system. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1549695/),[l] / [mM],8.7,5135,DB00143,Glutathione
,1549695,biliary transport maximum,"In rats, the biliary transport maximum was 5 mumol gadolinium/min.kg.",Preclinical evaluation of Gd-EOB-DTPA as a contrast agent in MR imaging of the hepatobiliary system. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1549695/),g·μM,5,5136,DB00143,Glutathione
,25951660,total blood clearance,"Following intravenous administration of KUC-7322 (1 mg/kg), total blood clearance was 1.36 L/h/kg, suggesting that intrinsic hepatic clearance is the rate-limiting step in KUC-7322 excretion.","Absorption, disposition, metabolism, and excretion of ritobegron (KUC-7483), a novel selective β3-adrenoceptor agonist, in rats. ",CLb-Q23,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25951660/),[l] / [h·kg],1.36,5596,DB00143,Glutathione
,25951660,half-life (t 1/2),"KUC-7322 levels rapidly decreased, with a half-life (t 1/2) of 0.42 to 1.37 h thereafter.","Absorption, disposition, metabolism, and excretion of ritobegron (KUC-7483), a novel selective β3-adrenoceptor agonist, in rats. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25951660/),h,0,5597,DB00143,Glutathione
,25951660,half-life (t 1/2),"KUC-7322 levels rapidly decreased, with a half-life (t 1/2) of 0.42 to 1.37 h thereafter.","Absorption, disposition, metabolism, and excretion of ritobegron (KUC-7483), a novel selective β3-adrenoceptor agonist, in rats. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25951660/),h,1,5598,DB00143,Glutathione
,25951660,bioavailability,The bioavailability of KUC-7322 was estimated to be 4%.,"Absorption, disposition, metabolism, and excretion of ritobegron (KUC-7483), a novel selective β3-adrenoceptor agonist, in rats. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25951660/),%,4,5599,DB00143,Glutathione
,25951660,cumulative excretion,"The cumulative excretion of radioactivity in urine and feces were 28.7% and 68.3% of the dose, respectively, up to 120 h after administration.","Absorption, disposition, metabolism, and excretion of ritobegron (KUC-7483), a novel selective β3-adrenoceptor agonist, in rats. ",ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25951660/),%,28.7,5600,DB00143,Glutathione
,25951660,cumulative excretion,"The cumulative excretion of radioactivity in urine and feces were 28.7% and 68.3% of the dose, respectively, up to 120 h after administration.","Absorption, disposition, metabolism, and excretion of ritobegron (KUC-7483), a novel selective β3-adrenoceptor agonist, in rats. ",ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25951660/),%,68.3,5601,DB00143,Glutathione
,19703064,oral clearance (CL/F),"Using the population pharmacokinetic model, the estimated the mean oral clearance (CL/F) of pranlukast was 16.4 L/h, and the inter-individual variability was 30.1%.",Impact of pharmacokinetics and pharmacogenetics on the efficacy of pranlukast in Japanese asthmatics. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19703064/),[l] / [h],16.4,5880,DB00143,Glutathione
,17610527,clearance,"Estimated PC-SOD clearance was 2.54 ml min(-1)[95% confidence interval (CI) 2.07, 2.83].",The pharmacokinetics and effects of a long-acting preparation of superoxide dismutase (PC-SOD) in man. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17610527/),[ml] / [min],2.54,7139,DB00143,Glutathione
,17610527,terminal half-life,"The terminal half-life was estimated to be 1.54 days (95% CI 0.93, 2.15).",The pharmacokinetics and effects of a long-acting preparation of superoxide dismutase (PC-SOD) in man. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17610527/),d,1.54,7140,DB00143,Glutathione
,2900736,Total radioactivity,Total radioactivity in the major tissues was relatively constant from 2 to 24 hr.,Metabolism and disposition of n-butyl acrylate in male Fischer rats. ,Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2900736/),h,2 to 24,7680,DB00143,Glutathione
,9101035,basic levels,The mean basic levels of bromide in plasma of rats receiving vehicle were 0.075 +/- 0.036 mmol/l (n = 27).,Chlorodibromomethane metabolism to bromide and carbon monoxide in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9101035/),[mM] / [l],0.075,8297,DB00143,Glutathione
,28807770,areas under the curve (AUCs),"The measured areas under the curve (AUCs) were within target (900 to 1500 µM/min) in 38.7% of patients after the administration of the first dose calculated based on age and weight, as locally recommended.",GSTA1 Genetic Variants and Conditioning Regimen: Missing Key Factors in Dosing Guidelines of Busulfan in Pediatric Hematopoietic Stem Cell Transplantation. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28807770/),[μM] / [min],900 to 1500,12741,DB00143,Glutathione
,7570594,Vmax,ACN elimination from blood was described by saturable P450 epoxidation (Vmax of 6.5 mg/hr/kg and Km of 1.5 mg/liter) and first-order GSH conjugation (30 hr-1/kg).,A physiologically based dosimetry description of acrylonitrile and cyanoethylene oxide in the rat. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7570594/),[mg] / [h·kg],6.5,15363,DB00143,Glutathione
,7570594,Km,ACN elimination from blood was described by saturable P450 epoxidation (Vmax of 6.5 mg/hr/kg and Km of 1.5 mg/liter) and first-order GSH conjugation (30 hr-1/kg).,A physiologically based dosimetry description of acrylonitrile and cyanoethylene oxide in the rat. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7570594/),[mg] / [l],1.5,15364,DB00143,Glutathione
,7570594,first-order,ACN elimination from blood was described by saturable P450 epoxidation (Vmax of 6.5 mg/hr/kg and Km of 1.5 mg/liter) and first-order GSH conjugation (30 hr-1/kg).,A physiologically based dosimetry description of acrylonitrile and cyanoethylene oxide in the rat. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7570594/),1/[h·kg],30,15365,DB00143,Glutathione
,7570594,hepatic extractions,"Calculation of hepatic clearance values shows first-pass hepatic extractions of 61 and 90% for ACN and CEO, respectively.",A physiologically based dosimetry description of acrylonitrile and cyanoethylene oxide in the rat. ,EH-Q39,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7570594/),%,61,15366,DB00143,Glutathione
,7570594,hepatic extractions,"Calculation of hepatic clearance values shows first-pass hepatic extractions of 61 and 90% for ACN and CEO, respectively.",A physiologically based dosimetry description of acrylonitrile and cyanoethylene oxide in the rat. ,EH-Q39,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7570594/),%,90,15367,DB00143,Glutathione
,9363839,Peak plasma concentrations,"Peak plasma concentrations of 2 mM (250 mg/kg) and 6 mM (750 mg/kg) L-CPA occurred within 1 h of dosing, and the compound was readily cleared from the plasma with a half-life of 2.6 h.",L-2-Chloropropionic acid metabolism and disposition in male rats: relevance to cerebellar injury. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9363839/),mM,2,16350,DB00143,Glutathione
,9363839,Peak plasma concentrations,"Peak plasma concentrations of 2 mM (250 mg/kg) and 6 mM (750 mg/kg) L-CPA occurred within 1 h of dosing, and the compound was readily cleared from the plasma with a half-life of 2.6 h.",L-2-Chloropropionic acid metabolism and disposition in male rats: relevance to cerebellar injury. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9363839/),mM,6,16351,DB00143,Glutathione
,9363839,half-life,"Peak plasma concentrations of 2 mM (250 mg/kg) and 6 mM (750 mg/kg) L-CPA occurred within 1 h of dosing, and the compound was readily cleared from the plasma with a half-life of 2.6 h.",L-2-Chloropropionic acid metabolism and disposition in male rats: relevance to cerebellar injury. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9363839/),h,2.6,16352,DB00143,Glutathione
,20016052,oral bioavailability,Anacetrapib exhibited a low clearance in both species and a moderate oral bioavailability of approximately 38% in rats and approximately 13% in monkeys.,"Pharmacokinetics, metabolism, and excretion of anacetrapib, a novel inhibitor of the cholesteryl ester transfer protein, in rats and rhesus monkeys. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20016052/),%,38,16413,DB00143,Glutathione
,20016052,oral bioavailability,Anacetrapib exhibited a low clearance in both species and a moderate oral bioavailability of approximately 38% in rats and approximately 13% in monkeys.,"Pharmacokinetics, metabolism, and excretion of anacetrapib, a novel inhibitor of the cholesteryl ester transfer protein, in rats and rhesus monkeys. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20016052/),%,13,16414,DB00143,Glutathione
,33128207,clearance (CL),Median typical clearance (CL) was 0.22 L/h/kg and median typical volume of distribution was 0.69 L/kg.,Review of the Pharmacokinetics and Pharmacodynamics of Intravenous Busulfan in Paediatric Patients. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33128207/),[l] / [h·kg],0.22,18787,DB00143,Glutathione
,33128207,volume of distribution,Median typical clearance (CL) was 0.22 L/h/kg and median typical volume of distribution was 0.69 L/kg.,Review of the Pharmacokinetics and Pharmacodynamics of Intravenous Busulfan in Paediatric Patients. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33128207/),[l] / [kg],0.69,18788,DB00143,Glutathione
