Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,17654464,flow rate,Components in the extract were separated on a 50 x 2.1 mm Aquasil C(18) 5 microm stainless steel column by isocratic elution with 40% acetonitrile/0.1% formic acid at a flow rate of 0.2 mL/min.,"A liquid chromatography/atmospheric pressure ionization tandem mass spectrometry quantitation method for nevirapine and its two oxidative metabolites, 2-hydroxynevirapine and nevirapine 4-carboxylic acid, and pharmacokinetics in baboons. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17654464/),[ml] / [min],0.2,8046,DB01094,Hesperetin
,25785392,crystallite size,"HRN and mannitol were used in a 5:5 ratio, and an average crystallite size of HRN in NSD with mannitol was found to be 137.3 ± 90.0 nm.",Oral bioavailability and pharmacodynamic activity of hesperetin nanocrystals generated using a novel bottom-up technology. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25785392/),nm,137.3,11544,DB01094,Hesperetin
,25785392,release rate enhancement,An in vitro release study revealed a statistically significant release rate enhancement for HRN nanocrystals (46.3 μg/mL/min) as compared to that of the control (29.5 μg/mL/min).,Oral bioavailability and pharmacodynamic activity of hesperetin nanocrystals generated using a novel bottom-up technology. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25785392/),[μg] / [min·ml],46.3,11545,DB01094,Hesperetin
,25785392,release rate enhancement,An in vitro release study revealed a statistically significant release rate enhancement for HRN nanocrystals (46.3 μg/mL/min) as compared to that of the control (29.5 μg/mL/min).,Oral bioavailability and pharmacodynamic activity of hesperetin nanocrystals generated using a novel bottom-up technology. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25785392/),[μg] / [min·ml],29.5,11546,DB01094,Hesperetin
,20184950,Ka,"Ka was 0.384+/-0.165 and 0.401+/-0.159, T(1/2(ke))(h) was 5.491+/-3.926 and 5.824+/-3.067, the AUC (mg/Lh) was 34.886+/-22.199 and 39.407+/-19.535 for naringenin and hesperetin, respectively.","Pharmacokinetics-based elucidation on disparity in clinical effectiveness between varieties of Zhi Zhu Wan, a Traditional Chinese Medical formula. ",ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20184950/),,0.384,11784,DB01094,Hesperetin
,20184950,Ka,"Ka was 0.384+/-0.165 and 0.401+/-0.159, T(1/2(ke))(h) was 5.491+/-3.926 and 5.824+/-3.067, the AUC (mg/Lh) was 34.886+/-22.199 and 39.407+/-19.535 for naringenin and hesperetin, respectively.","Pharmacokinetics-based elucidation on disparity in clinical effectiveness between varieties of Zhi Zhu Wan, a Traditional Chinese Medical formula. ",ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20184950/),,0.401,11785,DB01094,Hesperetin
,20184950,T(1/2(ke)),"Ka was 0.384+/-0.165 and 0.401+/-0.159, T(1/2(ke))(h) was 5.491+/-3.926 and 5.824+/-3.067, the AUC (mg/Lh) was 34.886+/-22.199 and 39.407+/-19.535 for naringenin and hesperetin, respectively.","Pharmacokinetics-based elucidation on disparity in clinical effectiveness between varieties of Zhi Zhu Wan, a Traditional Chinese Medical formula. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20184950/),h,5.491,11786,DB01094,Hesperetin
,20184950,T(1/2(ke)),"Ka was 0.384+/-0.165 and 0.401+/-0.159, T(1/2(ke))(h) was 5.491+/-3.926 and 5.824+/-3.067, the AUC (mg/Lh) was 34.886+/-22.199 and 39.407+/-19.535 for naringenin and hesperetin, respectively.","Pharmacokinetics-based elucidation on disparity in clinical effectiveness between varieties of Zhi Zhu Wan, a Traditional Chinese Medical formula. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20184950/),h,5.824,11787,DB01094,Hesperetin
,20184950,AUC,"Ka was 0.384+/-0.165 and 0.401+/-0.159, T(1/2(ke))(h) was 5.491+/-3.926 and 5.824+/-3.067, the AUC (mg/Lh) was 34.886+/-22.199 and 39.407+/-19.535 for naringenin and hesperetin, respectively.","Pharmacokinetics-based elucidation on disparity in clinical effectiveness between varieties of Zhi Zhu Wan, a Traditional Chinese Medical formula. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20184950/),[mg] / [lh],34.886,11788,DB01094,Hesperetin
,20184950,AUC,"Ka was 0.384+/-0.165 and 0.401+/-0.159, T(1/2(ke))(h) was 5.491+/-3.926 and 5.824+/-3.067, the AUC (mg/Lh) was 34.886+/-22.199 and 39.407+/-19.535 for naringenin and hesperetin, respectively.","Pharmacokinetics-based elucidation on disparity in clinical effectiveness between varieties of Zhi Zhu Wan, a Traditional Chinese Medical formula. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20184950/),[mg] / [lh],39.407,11789,DB01094,Hesperetin
