Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2891738,maximum serum concentration,"The mean maximum serum concentration of terfenadine metabolite I, 242 +/- 28 ng/ml, occurred at 2.3 +/- 0.2 hours; the mean serum half-life value was 2.0 +/- 0.1 hours.",The pharmacokinetics and pharmacodynamics of terfenadine in children. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2891738/),[ng] / [ml],242,18630,DB00667,Histamine Phosphate
,2891738,serum half-life,"The mean maximum serum concentration of terfenadine metabolite I, 242 +/- 28 ng/ml, occurred at 2.3 +/- 0.2 hours; the mean serum half-life value was 2.0 +/- 0.1 hours.",The pharmacokinetics and pharmacodynamics of terfenadine in children. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2891738/),h,2.0,18631,DB00667,Histamine Phosphate
,16083790,peak levocetirizine concentration,"In children aged 8.6 +/- 0.4 years (+/- SEM), the peak levocetirizine concentration was 450 +/- 37 ng/mL, and the time at which peak concentrations occurred was 1.2 +/- 0.2 hours.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),[ng] / [ml],450,24318,DB00667,Histamine Phosphate
,16083790,time at which peak concentrations occurred,"In children aged 8.6 +/- 0.4 years (+/- SEM), the peak levocetirizine concentration was 450 +/- 37 ng/mL, and the time at which peak concentrations occurred was 1.2 +/- 0.2 hours.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),h,1.2,24319,DB00667,Histamine Phosphate
,16083790,terminal elimination half-life,"The terminal elimination half-life was 5.7 +/- 0.2 hours, the oral clearance was 0.82 +/- 0.05 mL/min/kg, and the volume of distribution was 0.4 +/- 0.02 L/kg.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),h,5.7,24320,DB00667,Histamine Phosphate
,16083790,oral clearance,"The terminal elimination half-life was 5.7 +/- 0.2 hours, the oral clearance was 0.82 +/- 0.05 mL/min/kg, and the volume of distribution was 0.4 +/- 0.02 L/kg.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),[ml] / [kg·min],0.82,24321,DB00667,Histamine Phosphate
,16083790,volume of distribution,"The terminal elimination half-life was 5.7 +/- 0.2 hours, the oral clearance was 0.82 +/- 0.05 mL/min/kg, and the volume of distribution was 0.4 +/- 0.02 L/kg.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),[l] / [kg],0.4,24322,DB00667,Histamine Phosphate
,16083790,maximum inhibition,"Mean maximum inhibition of wheals and flares occurred from 2 to 10 hours (97% +/- 1%) and from 2 to 24 hours (93% +/- 1%), respectively.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),%,97,24323,DB00667,Histamine Phosphate
,16083790,maximum inhibition,"Mean maximum inhibition of wheals and flares occurred from 2 to 10 hours (97% +/- 1%) and from 2 to 24 hours (93% +/- 1%), respectively.",Levocetirizine: pharmacokinetics and pharmacodynamics in children age 6 to 11 years. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16083790/),%,93,24324,DB00667,Histamine Phosphate
,3944383,serum half-life,The mean triprolidine serum half-life was 2.1 +/- 0.8 hours.,An investigation of the H1-receptor antagonist triprolidine: pharmacokinetics and antihistaminic effects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3944383/),h,2.1,71521,DB00667,Histamine Phosphate
,3944383,peak serum triprolidine concentration,The mean peak serum triprolidine concentration of 15.4 +/- 8.3 ng/ml occurred 2 hours after ingestion.,An investigation of the H1-receptor antagonist triprolidine: pharmacokinetics and antihistaminic effects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3944383/),[ng] / [ml],15.4,71522,DB00667,Histamine Phosphate
,3944383,urinary excretion,The mean urinary excretion of unchanged triprolidine during 24 hours was 1.3 +/- 1.0% of the dose administered.,An investigation of the H1-receptor antagonist triprolidine: pharmacokinetics and antihistaminic effects. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3944383/),%,1.3,71523,DB00667,Histamine Phosphate
at,8096545,duration of action,"In a double-blind, parallel-group study of a single 5 mg or 10 mg dose of ebastine syrup used to treat allergic rhinitis in 20 children aged 6 to 12 years, we tested the hypothesis that the medication would have a duration of action of at least 24 hours.",Pharmacokinetics and pharmacodynamics of ebastine in children. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8096545/),h,24,133217,DB00667,Histamine Phosphate
,8096545,plasma elimination half-life,Mean plasma elimination half-life values of carebastine ranged from 10 to 14 hours.,Pharmacokinetics and pharmacodynamics of ebastine in children. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8096545/),h,10 to 14,133218,DB00667,Histamine Phosphate
,2572611,peak hydroxyzine levels,Mean peak hydroxyzine levels of 116.5 +/- 60.6 ng/mL occurred at 2.3 +/- 0.7 hours and mean peak cetirizine levels of 500.4 +/- 302.0 ng/mL occurred at 4.8 +/- 2.8 hours.,The pharmacokinetics and pharmacodynamics of hydroxyzine in patients with primary biliary cirrhosis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2572611/),[ng] / [ml],116.5,184584,DB00667,Histamine Phosphate
,2572611,peak cetirizine levels,Mean peak hydroxyzine levels of 116.5 +/- 60.6 ng/mL occurred at 2.3 +/- 0.7 hours and mean peak cetirizine levels of 500.4 +/- 302.0 ng/mL occurred at 4.8 +/- 2.8 hours.,The pharmacokinetics and pharmacodynamics of hydroxyzine in patients with primary biliary cirrhosis. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2572611/),[ng] / [ml],500.4,184585,DB00667,Histamine Phosphate
,2572611,serum elimination half-life,"The mean serum elimination half-life of hydroxyzine was 36.6 +/- 13.1 hours, and the mean serum elimination half-life of cetirizine was 25.0 +/- 8.2 hours.",The pharmacokinetics and pharmacodynamics of hydroxyzine in patients with primary biliary cirrhosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2572611/),h,36.6,184586,DB00667,Histamine Phosphate
,2572611,serum elimination half-life,"The mean serum elimination half-life of hydroxyzine was 36.6 +/- 13.1 hours, and the mean serum elimination half-life of cetirizine was 25.0 +/- 8.2 hours.",The pharmacokinetics and pharmacodynamics of hydroxyzine in patients with primary biliary cirrhosis. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2572611/),h,25.0,184587,DB00667,Histamine Phosphate
,2572611,clearance rate,"The mean hydroxyzine clearance rate was 8.65 +/- 7.46 mL/min/kg, and the mean volume of distribution was 22.7 +/- 13.3 L/kg.",The pharmacokinetics and pharmacodynamics of hydroxyzine in patients with primary biliary cirrhosis. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2572611/),[ml] / [kg·min],8.65,184588,DB00667,Histamine Phosphate
,2572611,volume of distribution,"The mean hydroxyzine clearance rate was 8.65 +/- 7.46 mL/min/kg, and the mean volume of distribution was 22.7 +/- 13.3 L/kg.",The pharmacokinetics and pharmacodynamics of hydroxyzine in patients with primary biliary cirrhosis. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2572611/),[l] / [kg],22.7,184589,DB00667,Histamine Phosphate
,9949311,peak brompheniramine concentration,"In 14 children, mean age 9.5 +/- 0.4 years (SEM), the peak brompheniramine concentration was 7.7 +/- 0.7 ng/mL, and the time at which peak concentrations occurred was 3.2 +/- 0.3 hours.",The clinical pharmacology of brompheniramine in children. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9949311/),[ng] / [ml],7.7,205051,DB00667,Histamine Phosphate
,9949311,time at which peak concentrations occurred,"In 14 children, mean age 9.5 +/- 0.4 years (SEM), the peak brompheniramine concentration was 7.7 +/- 0.7 ng/mL, and the time at which peak concentrations occurred was 3.2 +/- 0.3 hours.",The clinical pharmacology of brompheniramine in children. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9949311/),h,3.2,205052,DB00667,Histamine Phosphate
,9949311,terminal elimination half-life,"The terminal elimination half-life was 12.4 +/- 1.1 hours, and the oral clearance was 20.2 +/- 2.1 mL/min/kg.",The clinical pharmacology of brompheniramine in children. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9949311/),h,12.4,205053,DB00667,Histamine Phosphate
,9949311,oral clearance,"The terminal elimination half-life was 12.4 +/- 1.1 hours, and the oral clearance was 20.2 +/- 2.1 mL/min/kg.",The clinical pharmacology of brompheniramine in children. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9949311/),[ml] / [kg·min],20.2,205054,DB00667,Histamine Phosphate
