Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9189739,half-life,"For normal rabbits we obtained a half-life of 15.8 hours (method I) and 17.5 +/- 1.0 hours (mean +/- SEM, method II), respectively.",Elimination of tritium-labelled hyaluronic acid from normal and osteoarthritic rabbit knee joints. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9189739/),h,15.8,2730,DB08818,Hyaluronan
,9189739,half-life,"For normal rabbits we obtained a half-life of 15.8 hours (method I) and 17.5 +/- 1.0 hours (mean +/- SEM, method II), respectively.",Elimination of tritium-labelled hyaluronic acid from normal and osteoarthritic rabbit knee joints. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9189739/),h,17.5,2731,DB08818,Hyaluronan
,9189739,half-life,"Four weeks after injury, during the developing phase of osteoarthritis, the half-life of hyaluronan rose significantly to 23.5 +/- 2.1 hours and returned to normal levels (17.4 +/- 2.7 hours) 12 weeks after the operation (osteoarthritis developed).",Elimination of tritium-labelled hyaluronic acid from normal and osteoarthritic rabbit knee joints. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9189739/),h,23.5,2732,DB08818,Hyaluronan
,9189739,half-life,"Four weeks after injury, during the developing phase of osteoarthritis, the half-life of hyaluronan rose significantly to 23.5 +/- 2.1 hours and returned to normal levels (17.4 +/- 2.7 hours) 12 weeks after the operation (osteoarthritis developed).",Elimination of tritium-labelled hyaluronic acid from normal and osteoarthritic rabbit knee joints. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9189739/),h,17.4,2733,DB08818,Hyaluronan
,30080939,plasma concentration,"The MP plasma concentration at 6 days for injection for the entire group (mean ± standard deviation [s.d.], pg/mL) was 96 ± 104.",Variability in plasma concentrations of methylprednisolone 6 days after intrasynovial injection of methylprednisolone acetate in racing horses: A field study. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30080939/),,96,6730,DB08818,Hyaluronan
,31389248,EE,The obtained HA@Tri-BLs possessed a PS of 118.5 nm around with an EE of 99.56%.,Hyaluronic acid-functionalized bilosomes for targeted delivery of tripterine to inflamed area with enhancive therapy on arthritis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31389248/),,99.56,9025,DB08818,Hyaluronan
,31389248,bioavailability,"HA@Tri-BLs exhibited excellent cellular uptake and targeted delivery efficiency for Tri, which resulted in elongation of circulatory residence time and enhancement of intra-arthritic bioavailability (799.9% relative to Tri solution).",Hyaluronic acid-functionalized bilosomes for targeted delivery of tripterine to inflamed area with enhancive therapy on arthritis. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31389248/),%,799.9,9026,DB08818,Hyaluronan
,19060478,progression-free survival,"Median survival was 16.6 months, while median progression-free survival was 6.2 months.",A pilot human evaluation of a formulation of irinotecan and hyaluronic acid in 5-fluorouracil-refractory metastatic colorectal cancer patients. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19060478/),month,6.2,9310,DB08818,Hyaluronan
,14506195,MTD,"The MTD was established at 50 mCi/m(2), at which level dose-limiting myelotoxicity was seen in one of six patients.",Phase I therapy study with (186)Re-labeled humanized monoclonal antibody BIWA 4 (bivatuzumab) in patients with head and neck squamous cell carcinoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14506195/),mc,50,9548,DB08818,Hyaluronan
,14506195,absorbed dose,The absorbed dose in red marrow was 1.82 +/- 0.11 cGy/mCi for males and 2.35 +/- 0.10 for females.,Phase I therapy study with (186)Re-labeled humanized monoclonal antibody BIWA 4 (bivatuzumab) in patients with head and neck squamous cell carcinoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14506195/),[cgy] / [mci],1.82,9549,DB08818,Hyaluronan
