Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,3429612,ED50s,"The induction of cleft palate demonstrated a linear dose-response by probit analysis: The ED50s were 143.6 mg/kg and 512.0 mg/kg for B10A and B10 mice, respectively.",Hydrocortisone-induced embryotoxicity and embryonic drug disposition in H-2 congenic mice. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3429612/),[mg] / [kg],143.6,485,DB00741,Hydrocortisone
,3429612,ED50s,"The induction of cleft palate demonstrated a linear dose-response by probit analysis: The ED50s were 143.6 mg/kg and 512.0 mg/kg for B10A and B10 mice, respectively.",Hydrocortisone-induced embryotoxicity and embryonic drug disposition in H-2 congenic mice. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3429612/),[mg] / [kg],512.0,486,DB00741,Hydrocortisone
,16398336,maximum levels,"Cortisol peaked at 20 min after administration of CRH in both cycling gilts and castrated boars with maximum levels of 149.3 +/- 16.5 nmol/l and 138.3 +/- 10.1 nmol/l, respectively.",Effect of ACTH and CRH on plasma levels of cortisol and prostaglandin F2alpha metabolite in cycling gilts and castrated boars. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16398336/),[nM] / [l],149.3,1623,DB00741,Hydrocortisone
,16398336,maximum levels,"Cortisol peaked at 20 min after administration of CRH in both cycling gilts and castrated boars with maximum levels of 149.3 +/- 16.5 nmol/l and 138.3 +/- 10.1 nmol/l, respectively.",Effect of ACTH and CRH on plasma levels of cortisol and prostaglandin F2alpha metabolite in cycling gilts and castrated boars. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16398336/),[nM] / [l],138.3,1624,DB00741,Hydrocortisone
,3961034,t1/2,The half-life of dexamethasone was markedly lower in five DST nonsuppressors (t1/2 = 160 +/- 33 minutes) than in six DST suppressors (t1/2 = 422 +/- 172 minutes).,The plasma dexamethasone variable in depression: test-retest studies and early biophase kinetics. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3961034/),min,160,3256,DB00741,Hydrocortisone
,3961034,t1/2,The half-life of dexamethasone was markedly lower in five DST nonsuppressors (t1/2 = 160 +/- 33 minutes) than in six DST suppressors (t1/2 = 422 +/- 172 minutes).,The plasma dexamethasone variable in depression: test-retest studies and early biophase kinetics. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3961034/),min,422,3257,DB00741,Hydrocortisone
,11294518,flow rate,"The mobile phase consisted of 16% isopropanol in water containing 0.1% trifluoroacetic acid, set at a flow rate of 1.2 mL/min.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),[ml] / [min],1.2,3291,DB00741,Hydrocortisone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,7.2,3292,DB00741,Hydrocortisone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,5.8,3293,DB00741,Hydrocortisone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,5.6,3294,DB00741,Hydrocortisone
,11294518,imprecision,"Mean intra-assay and interassay imprecision levels were 6.0% and 7.2%, respectively, for prednisolone, 5.8% and 7.2% for prednisone, and 5.6% and 7.9% for cortisol.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,7.9,3295,DB00741,Hydrocortisone
,11294518,recoveries,"Corticosteroid recoveries were 73%, 74%, and 90% for prednisolone, prednisone, and cortisol, respectively.","Simultaneous determination of plasma prednisolone, prednisone, and cortisol levels by high-performance liquid chromatography. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11294518/),%,73,3296,DB00741,Hydrocortisone
