Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19750501,m/z,"The mass transition [M-H] ions used for detection were m/z 421.0 --> 127.0 for LOS, m/z 435.0 --> 157.0 for LA, and m/z 330.0 --> 239.0 for HFTZ.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),,421.0,16428,DB00774,Hydroflumethiazide
,19750501,m/z,"The mass transition [M-H] ions used for detection were m/z 421.0 --> 127.0 for LOS, m/z 435.0 --> 157.0 for LA, and m/z 330.0 --> 239.0 for HFTZ.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),,435.0,16429,DB00774,Hydroflumethiazide
,19750501,m/z,"The mass transition [M-H] ions used for detection were m/z 421.0 --> 127.0 for LOS, m/z 435.0 --> 157.0 for LA, and m/z 330.0 --> 239.0 for HFTZ.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),,157.0,16430,DB00774,Hydroflumethiazide
,19750501,m/z,"The mass transition [M-H] ions used for detection were m/z 421.0 --> 127.0 for LOS, m/z 435.0 --> 157.0 for LA, and m/z 330.0 --> 239.0 for HFTZ.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),,330.0,16431,DB00774,Hydroflumethiazide
,19750501,m/z,"The mass transition [M-H] ions used for detection were m/z 421.0 --> 127.0 for LOS, m/z 435.0 --> 157.0 for LA, and m/z 330.0 --> 239.0 for HFTZ.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),,239.0,16432,DB00774,Hydroflumethiazide
,19750501,overall recoveries,"The overall recoveries for LOS, LA, and IS were 96.53, 99.86, and 94.16%, respectively.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),%,96.53,16433,DB00774,Hydroflumethiazide
,19750501,overall recoveries,"The overall recoveries for LOS, LA, and IS were 96.53, 99.86, and 94.16%, respectively.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),%,99.86,16434,DB00774,Hydroflumethiazide
,19750501,overall recoveries,"The overall recoveries for LOS, LA, and IS were 96.53, 99.86, and 94.16%, respectively.",Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),%,94.16,16435,DB00774,Hydroflumethiazide
,19750501,Total MS run time,Total MS run time was 2.0 min/sample.,Rapid determination of losartan and losartan acid in human plasma by multiplexed LC-MS/MS. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19750501/),[min] / [sample],2.0,16436,DB00774,Hydroflumethiazide
,499309,half-lives,"Two distribution phases were observed, with mean half-lives of 0.26 and 0.85 h, reflecting distribution to red blood cells and tissues.",Distribution of elimination of hydroflumethiazide in man. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/499309/),h,0.26,26204,DB00774,Hydroflumethiazide
